question,gemini_reply
حسب القطعة، إيه النصيحة اللي مش مظبوطة في طرق العزف على الأكورديون؟,"The correct answer is **A: لو عاوز تعلي الصوت، اضغط على المفاتيح بقوة كبيرة** (If you want to increase the volume, press the keys with great force).

The passage explicitly states that you **don't** need to press the keys with great force to get a louder sound. It says that with an accordion, you use the bellows to control the volume, not the force with which you press the keys.
"
لما تيجي تعزف على الأكورديون، إيه اللي ممكن يساعدك في رفع الصوت؟,"The correct answer is **A: سرعة أكتر (Speed)**.

The passage states: ""في الأكورديون، عشان تاخد صوت أعلى إضافي، ممكن تستعمل المنفاخ بس بضغط أو سرعة كبيرة."" This clearly indicates that increased speed (or pressure) of the bellows is used to achieve a louder sound.
"
ليه الصور مالهاش حواف على التلفزيون؟,"الإجابة الصحيحة هي **B: عشان الصورة تملا الشاشة**.

النص يوضح أن التقطيع الزائد (overscan) يتم لضمان ملء الصورة لشاشة التلفزيون بالكامل، وليس له علاقة مباشرة بالترجمة (على الرغم من أن الترجمة قد تتأثر به).
"
حسب القطعة، إيه المشاكل اللي ممكن تقابلك وأنت بتحول فيلم لصيغة دي في دي؟,"The correct answer is **B: الترجمة تكون مقطوعة**.

The passage specifically mentions that if the video has subtitles close to the bottom, they might not be displayed completely due to overscan.
"
الحامية البريطانية كانت موجودة فين؟,"The correct answer is **B: ترينتون (Trenton)**.

The passage states that the main attack force would cross the river nine miles north of Trenton and then attack before dawn. This implies that Trenton is the target, and therefore where the British garrison is located.
"
مين اللي توقيعه موجود على المسودة المكتوبة يدوي؟,"الإجابة الصحيحة هي **D: تشارلز طومسون**.

النص يذكر صراحة أن المسودة المكتوبة بخط اليد موقعة من ""رئيس الكونجرس جون هانكوك وأمين السر تشارلز طومسون""."
من بين الأماكن دي، إيه هو آخر مكان وصلت له نشرات دنلاب؟,"The correct answer is **C: لندن (London)**.

The passage states that a copy of the Dunlap Broadsides reached London on August 10th. All other locations are mentioned as receiving copies earlier.
"
قوات العقيد ستارك كانت متمركزة فين؟,"الإجابة الصحيحة هي **A: الطرف الشمالي على طول السور**.

النص يذكر بوضوح أن ""رجال ستارك اتمركزوا في مواقع بطول السياج من الطرف الشمالي حتى مكان المستعمر"".
"
حسب القطعة، رجالة ستارك نصبوا السور إمتى؟,"The correct answer is **A: لما المستعمرين طلبوا الدعم (When the colonists requested reinforcements)**.

The passage states that after the colonists saw the activity and requested reinforcements, reinforcements arrived, and Stark's men were positioned and began building the wall. Therefore, the wall construction began after the request for reinforcements.
"
حسب القطعة، أي عصر من العصور دي كان أكتر عنف في الصين؟,"الإجابة الصحيحة هي **D: حكم الممالك التلاتة**.

القطعة تحدد بوضوح أن فترة الممالك الثلاثة كانت ""واحدة من أكتر الفترات اللي فيها دم في تاريخ الصين القديمة"".
"
حسب القطعة، إيه اللي بيعتبر صح عن دخول مستعمرة النمل العسكري لحالة البدو؟,"The correct answer is **B: مصادر الأكل قليلة (مصادر الأكل قليلة)**.

Here's why:

*   The passage states: ""المستعمرة بتبتدي مرحلة الترحال لما الأكل المتاح يقل (The colony begins the nomadic stage when the available food decreases)."" This directly links the start of the nomadic phase to a decrease in available food resources.

Let's look at why the other options are incorrect:

*   **A: بيعششوا بالليل (They nest at night):** The passage says they march at night and camp (hence build temporary nests) during the day in the nomadic phase.
*   **C: بيعملوا عشوش بتتغير بعد 17 يوم (They make nests that change after 17 days):** The passage says the raids or marches last for 17 days. The nests change *daily* during this phase.
*   **D: بيتمشوا بالنهار (They walk during the day):** The passage states they march at night and stop to camp during the day."
حسب القطعة، أي جملة بتوصف بالظبط عادات مستعمرات النمل العسكري في المرحلة البدوية؟,"The correct answer is **C: بيغيروا العشوش كل يوم (They change nests every day)**.

The passage states: ""في المرحلة دي بتبني المستعمرة عشش مؤقتة بتتغير كل يوم (In this stage, the colony builds temporary nests that change every day)."" This directly supports option C.
"
