question,gemini_reply
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটোৱে আধুনিক আইচ স্কেটৰ ব্লেডত থকা ফোঁপোলাটোক সঠিকভাৱে বৰ্ণনা কৰে?","সঠিক উত্তৰটো হ'ব **C: অৱতল**।

কাৰণ পাঠাংশত স্পষ্টভাৱে উল্লেখ আছে যে আধুনিক আইচ স্কেটৰ ব্লেডখনত দুটা মূৰ থাকে আৰু মাজত এটা অৱতল গহ্বৰ থাকে। বাকী বিকল্পসমূহ যেনে দ্বৈত-প্ৰান্ত, কৌণিক, হেলনীয়া- এইবোৰ ব্লেডৰ বৈশিষ্ট্য যদিও ফোঁপোলাক সঠিকভাৱে বৰ্ণনা কৰা নাই।
"
"পাঠাংশ অনুসৰি, পৰমাণুক পোহৰৰ পৰা অতিৰিক্ত শক্তি আঁতৰাবলৈ অনুমতি দিয়া প্ৰক্ৰিয়াটো কি?","উদ্ধৃত অংশটোত স্পষ্টভাৱে উল্লেখ কৰা হৈছে যে পৰমাণুৱে পোহৰৰ পৰা অতিৰিক্ত শক্তি আঁতৰাবলৈ কৰা প্ৰক্ৰিয়াটো হ'ল ""বিকিৰণৰ উত্তেজিত প্ৰসাৰণ"" (Stimulated emission of radiation)।

গতিকে, সঠিক উত্তৰটো হ'ব:
D: বিকিৰণৰ উদ্দীপিত নিৰ্গমন"
কিহৰ ফলত এটা পৰমাণুৱে এটা ফ'টন নিৰ্গত কৰে?,"উত্তৰ হ'ব B: উজ্জ্বল পোহৰৰ ফলত হোৱা উদ্দীপন।

কাৰণ, উত্তৰটো P অংশত স্পষ্টভাৱে উল্লেখ কৰা হৈছে। তাত কোৱা হৈছে যে উজ্জ্বল ৰশ্মিয়ে পৰমাণুক উত্তেজিত কৰে, যাৰ ফলত পোহৰৰ ফ'টন নিৰ্গত হয়।
"
"পাঠাংশ অনুসৰি, অৱশেষত কিহৰ ফলত লাইটৰ বাল্ব এটাই কাম কৰা বন্ধ কৰে?","সঠিক উত্তৰটো হ'ব **C: বাল্বৰ ভিতৰত থকা ফিলামেন্ট জ্বলি যোৱাৰ বাবে**।

কাৰণ পাঠ্যাংশত স্পষ্টভাৱে উল্লেখ আছে যে শ শ ঘণ্টা জ্বলাৰ পিছত বাল্বৰ ফিলামেন্টডাল জ্বলি শেষ হৈ যায় আৰু বাল্বটো নজ্বলা হয়। বাকী বিকল্পসমূহ বাল্বটো সলনি কৰাৰ সময়ত ল'বলগীয়া সাৱধানতাৰ বিষয়েহে কোৱা হৈছে, কিন্তু বাল্বটো কিয় নচলে তাৰ কাৰণ ফিলামেন্ট জ্বলি যোৱাটোৱেই।
"
"লাইট বাল্ব এটা সলনি কৰোঁতে, নিম্নলিখিত কোনটো স্পৰ্শ কৰাটো বিপদজনক হ'ব পাৰে?","সঠিক উত্তৰটো হ'ব **C: বাল্বৰ আধাৰ**।

কাৰণ বাল্বৰ আধাৰটো চকেটৰ ভিতৰত থাকে আৰু তাত বিদ্যুত প্ৰবাহিত হৈ থাকিব পাৰে। যদি ছুইচ বন্ধ নকৰাকৈ বা বৈদ্যুতিক তাঁৰডালৰ সংযোগ বিছিন্ন নকৰাকৈ বাল্বৰ আধাৰটো স্পৰ্শ কৰা হয়, তেন্তে বিদ্যুতৰ শ্বক্ লাগিব পাৰে।
"
"পাঠাংশ অনুসৰি, নিউক্লিয়াছ বিভাজিত হ'লে কি হয়?","সঠিক উত্তৰটো হ'ল:

B: শক্তি মুকলি হয়

কাৰণ পাঠ্যাংশত স্পষ্টভাৱে উল্লেখ আছে যে নিউক্লিয়াছ বিভাজন কৰিলে শক্তি মুকলি হয়।
"
নিম্নলিখিত কোনটোৱে দীঘলীয়া দূৰত্বৰ কলসমূহ পৃথিৱীলৈ ঘূৰাই প্ৰতিফলিত কৰে,"সঠিক উত্তৰটো হ'ল B: ছেটেলাইট।

P অংশত স্পষ্টভাৱে উল্লেখ কৰা হৈছে যে যেতিয়া আপুনি দূৰৈত থকা কোনো ব্যক্তিক ফোন কৰে, তেতিয়া এটা উপগ্ৰহ ব্যৱহাৰ হয়। এই উপগ্ৰহবোৰে বাৰ্তা গ্ৰহণ কৰে আৰু পৃথিৱীলৈ ঘূৰাই পঠায়। সেইকাৰণে, দীঘলীয়া দূৰত্বৰ কলসমূহ ছেটেলাইটে পৃথিৱীলৈ ঘূৰাই প্ৰতিফলিত কৰে।
"
"এইবোৰৰ কোনটোক, মহাকাশত দূৰবীণ স্থাপন কৰিবলৈ ব্যৱহাৰ কৰা হয়?","সঠিক উত্তৰটো হ'ল:
B: ৰকেট

ব্যাখ্যা:
অনুচ্ছেদটোত স্পষ্টভাৱে উল্লেখ আছে যে ৰকেটৰ সহায়ত কৃত্ৰিম উপগ্ৰহক মহাকাশলৈ পঠিওৱা হৈছিল। বৈজ্ঞানিকসকলে মহাকাশত দূৰবীন ব্যৱহাৰ কৰে, আৰু এই দূৰবীন স্থাপন কৰিবলৈ ৰকেট ব্যৱহাৰ কৰা হয়।"
এটা চক্ৰীয় ঘটনাৰ ক্ষেত্ৰত পাৰ হৈ যোৱা সময় ট্ৰেক কৰিবৰ বাবে কোনটো মন কৰিব লাগে?,"সঠিক উত্তৰটো হ'ল:

B: পুনৰাবৃত্তি

কাৰণ উত্তৰটোত উল্লেখ আছে যে এটা চক্ৰীয় কাৰ্যৰ পুনৰাবৃত্তি নিৰীক্ষণ কৰি সময় নিৰূপণ কৰিব পাৰি।
"
"পাঠাংশ অনুসৰি, কোনো ঘটনাৰ কোনটো দিশ তুলনা কৰিবলৈ সময় ব্যৱহাৰ কৰা হয়?","সঠিক উত্তৰটো হ'ল:
A: দৈৰ্ঘ্য
"
