question,gemini_reply
Co podle této pasáže není považováno za přesný tip pro správnou hru na akordeon?,"Správná odpověď je **A: Chcete-li zvýšit hlasitost, zvyšte sílu úderu prstů do kláves**.

Pasáž výslovně uvádí, že pro větší hlasitost není třeba tisknout klávesy velkou silou.
"
Co z následujících možností vám pomůže při hře na akordeon zvýšit hlasitost hry?,"The correct answer is **A: Vyšší rychlost** and **B: Vyšší síla**.

The passage explicitly states: ""Pokud chcete na akordeon hrát hlasitěji, musíte měch stlačovat silněji nebo rychleji."" This translates to ""If you want to play the accordion louder, you must squeeze the bellows harder or faster."" Therefore both higher speed and higher force are correct.
"
Proč mají záběry v televizi ořezané okraje?,"Správná odpověď je **B: Aby obraz zaplnil celou obrazovku**.

Text jasně uvádí, že důvodem ořezávání okrajů (overscan) je ""ujištění, že obrázek zakrývá celou obrazovku"".
"
"Se kterými z následujících problémů se podle této pasáže člověk může setkat, když převádí film na DVD formát?","Správná odpověď je **B: Částečně ořezané titulky** a **D: Ořezané okraje**.

Pasáž přímo říká, že kvůli overscanu se okraje videa ořezávají a titulky blízko spodního okraje se nemusí zobrazit celé.

Odpověď A je nesprávná, protože pasáž říká, že obraz zakrývá celou obrazovku, i když s ořezanými okraji. Odpověď C je protiklad pasáže.
"
Kde se tam nacházela britská posádka?,"Správná odpověď je **C: V Bordentownu**.

Text uvádí, že generál Cadwalader měl zaútočit na britskou posádku v Bordentownu.
"
Čí podpis se objevil na ručně sepsaném konceptu?,"Správná odpověď je **D: Charlese Thomsona**.

V textu se píše: ""ručně psaný návrh, který podepsal Předseda kongresu John Hancock a tajemník Charles Thomson"".
"
Kam z následujících míst dorazily Dunlapovy výtisky jako poslední?,"Správná odpověď je **C: Do Londýna**.

Z textu vyplývá následující chronologie:

*   **Dunlapovo tiskařství:** Výroba výtisků přes noc 4. července.
*   **Síň nezávislosti:** Veřejné předčítání 8. července.
*   **New York:** Dokument přečten vojákům 9. července.
*   **Londýn:** Dokument dorazil 10. srpna.

Protože dorazil do Londýna až 10. srpna, je to nejpozději ze všech uvedených míst.
"
Kde se nacházely jednotky plukovníka Starka?,"The correct answer is **A: Na severním konci, podél plotu**.

The passage states: ""Starkovi lidé obsadili pozice podél plotu na severním konci pozice kolonistů.""
"
Kdy podle dané pasáže prodloužili Starkovi muži plot?,"The correct answer is **C: Během odlivu**.

The passage states: ""Když odliv zpřístupnil prostor podél řeky Mystic na severovýchodě pevniny, rychle prodloužili plot..."". This clearly indicates the fence extension happened during low tide.
"
Které z následujících časových období v historii Číny bylo podle této pasáže jedním z nejvíce násilných?,"Správná odpověď je **D: V epoše Tří království**.

Pasáž uvádí: ""Epocha tří království byla jednou z nejkrvavějších epoch v historii starověké Číny...""
"
