question,gemini_reply
"Az alábbiak közül melyik gyorsabb, mint elődei?","A helyes válasz az **A: 802.11n**.

Az állítás (P) egyértelműen kijelenti, hogy a 802.11n sebessége lényegesen gyorsabb, mint az elődeié.
"
"Mi szükséges ahhoz, hogy a 802.11n fordított irányban kompatibilis legyen a 802.11b-vel?","A helyes válasz: **D: Kettős rádió**

Magyarázat:

A szövegben ez a mondat szerepel: ""Ez lehetővé teszi, hogy fordított irányban legyen kompatibilis a 802.11a, 802.11b és 802.11g-vel, feltéve, hogy a bázisállomás kettős rádióval rendelkezik."" Ez egyértelműen kimondja, hogy a kettős rádió megléte a feltétele a fordított kompatibilitásnak a korábbi szabványokkal, beleértve a 802.11b-t is.
"
Hány versenyszámban kellett volna úsznia az olimpiai aranyérmesnek a Nemzetközösségi Játékokon?,"A helyes válasz az **A: Öt**.

A szöveg szerint az úszónak 100 és 200 méteres gyorsúszásban (ez kettő versenyszám) és három váltó versenyszámban kellett volna indulnia. Tehát összesen 2 + 3 = 5 versenyszámban.
"
Miért nem szedett gyógyszert az olimpiai aranyérmes a fájdalmaira?,"A helyes válasz a **D: Nem megengedett a nemzetközösségi játékokon**.

A szöveg egyértelműen kijelenti, hogy a gyógyszerek tiltva vannak a játékokon, ezért nem szedhette be őket a sportoló.
"
A szöveg szerint mi okozhatta a földrengésekkel kapcsolatos zavart?,"A helyes válasz **A: A sötét felhők jelenléte**.

A szöveg szerint a sötét felhők ""potenciális zavaró tényezők abban a kérdésben, hogy történt-e kitörés"". A földrengések és a kitörések vulkanikus tevékenységhez kapcsolódnak, így a felhők zavart okozhatnak a tevékenység megítélésében, ami a földrengésekkel kapcsolatos információk értelmezését is befolyásolhatja.
"
A szöveg szerint mikor történt a fázisátalakulás?,"The text states: ""A fázisátalakulást eredményező jelentős földrengés március 10-én, a vulkán északkeleti csúcskalderáján történt.""

Therefore, the correct answer is C: Március 10-én.
"
Az alábbi állítások közül melyik nem igaz a Chandrayaan–1 holdszondával kapcsolatban?,"A helyes válasz: **A: A szondát felbocsátó keringő műholdnak volt legénysége**

Indoklás:

A szöveg expliciten kimondja, hogy a Chandrayaan-1 egy *pilóta nélküli* Hold körül keringő műhold volt. Ezért az A állítás, miszerint a keringő műholdnak volt legénysége, hamis.

A többi állítás mind igaz:

*   **B:** A szöveg említi, hogy a szonda fontos tudományos eszközöket szállított.
*   **C:** A szöveg említi, hogy a szonda sikeres kemény landolást hajtott végre.
*   **D:** A szöveg említi, hogy a szonda oldalai festve voltak (indiai zászlóval).
"
Az alábbi állítások közül melyik jellemzi pontosan a holdszondát?,"A helyes válasz a **B: A kemény leszállás sikeres volt**.

A P bekezdés közvetlenül kijelenti, hogy a MIP sikeres kemény leszállást hajtott végre.

A többi válasz miért nem helyes:
*   **A:** A P bekezdés azt mondja, hogy a Hold déli pólusánál landolt, nem az északinál.
*   **C:** A P bekezdés azt mondja, hogy egy pilóta nélküli (pilóta nélküli) keringő műholdból lőtték ki, nem pedig egy legénységgel rendelkezőből.
*   **D:** A P bekezdés azt mondja, hogy három fontos tudományos eszközt szállított, nem kettőt."
A szöveg alapján a betegség elleni védekezés mely intézkedését vezetik be utoljára?,"A helyes válasz a **C: Agyvelőgyulladás elleni oltások**.

Magyarázat:

A szöveg szerint a következő intézkedések történtek:

*   Sertéscsapdák elhelyezése
*   Szúnyogfüggönyök kiosztása
*   Rovarirtók permetezése
*   Agyvelőgyulladás elleni oltások ígérete, de elhalasztása a következő évre.

Tehát az agyvelőgyulladás elleni oltások bevezetését halasztották el utoljára, nem vezették be őket azonnal, mint a többi intézkedést."
Hogyan terjed át a betegség az emberre?,"A helyes válasz **A: Szúnyogok** és **C: Sertések**.

A szöveg szerint a betegséget sertések hordozzák, és szúnyogokon keresztül terjed át az emberekre.
"
