question,gemini_reply
Kapan Raja Tutankhamun mendapatkan ketenaran?,"Jawaban yang benar adalah **C: Setelah penemuan makamnya**.

Kutipan tersebut secara eksplisit menyatakan: ""Namun, penemuan makamnya pada tahun 1922 membuatnya masyhur.""
"
Apa yang membuat Tutankhamun terkenal sebagai raja Mesir?,"The correct answer is **A: Penemuan makamnya yang tak terusik**.

The passage explicitly states that Tutankhamun became famous due to the discovery of his undisturbed tomb in 1922. The other options are incorrect based on the information in the passage:

*   **B:** The passage says he wasn't considered important in ancient times and wasn't on most lists of kings.
*   **C:** The passage states that his tomb *wasn't* looted, which is why the artifacts were so well-preserved.
*   **D:** The passage implies that he wasn't an important ruler during the time of ancient Egypt."
"Apa yang tidak dapat dilakukan pujangga Yunani, Homer?","Jawaban yang benar adalah **B: Melihat**.

Teks tersebut menyebutkan Homer adalah ""penyair buta legendaris"". Buta berarti tidak bisa melihat.
"
Manakah orang Yunani berikut yang dikenal bukan terkait kesusasteraan?,"The correct answer is **C: Pythagoras**.

The passage states that Pythagoras is known as a mathematician for his theory about right triangles. The other options, Sophocles, Homer, and Aristophanes, are all mentioned as writers or poets, thus related to literature.
"
Di manakah keluarga Ibrani menghabiskan waktunya?,"The passage states: ""Sebagian besar kehidupan keluarga Yahudi berlangsung di tempat terbuka. Perempuan memasak di halaman, toko-toko dulunya hanya konter terbuka yang menghadap jalanan.""

Therefore, the best answer is **A: Di ruang terbuka**, as it encompasses both the yard and the street. While the other options are mentioned, ""ruang terbuka"" is the most general and accurate.
"
Hal apa yang tidak terlalu penting untuk keluarga Ibrani?,"The correct answer is **C: Rumahnya**.

The passage states, ""Di iklim hangat Timur Tengah, rumah tidak begitu penting"" (In the warm climate of the Middle East, the house was not so important). This directly supports the answer option C.
"
Manakah dari hal berikut yang tidak mendeskripsikan perbedaan negara-negara Skandinavia?,"B: Tanah airnya

Penjelasan:

Pernyataan dalam teks menyebutkan perbedaan antara negara-negara Skandinavia dalam hal:

*   **Orang:** ""perbedaan antara orang""
*   **Raja:** ""raja""
*   **Adat istiadat:** ""adat istiadat""
*   **Sejarah:** ""sejarah""

Pernyataan tersebut tidak menyebutkan perbedaan dalam hal **tanah air** (tempat fisik di mana mereka tinggal). Meskipun geografinya berbeda-beda, fakta bahwa mereka mendiami wilayah yang berbeda bukanlah poin utama dalam perbedaan yang ditekankan."
Siapa yang pertama kali menghuni Greenland?,"Jawaban yang benar adalah **A: Suku Eskimo**.

Paragraf tersebut secara eksplisit menyatakan: ""Meskipun setiap negara adalah 'Skandinavia', ada banyak perbedaan antara orang, raja, adat istiadat dan sejarah Denmark, Swedia, Norwegia, dan Islandia.""
"
Grup manakah yang lebih suka makan tanpa kursi?,"The correct answer is **C: Pria Roma kaya**

The passage states: ""Perbedaan lainnya yaitu saat orang miskin dan perempuan itu menyantap makanan sambil duduk di kursi, orang kaya suka menikmati jamuan makan bersama sambil bersantai dan menyantap makanannya."" This means the rich preferred to eat reclining (without chairs).
"
Manakah dari hal berikut yang bukan bagian dari pesta Romawi Kuno?,"Jawaban yang benar adalah **D: Sepiring kalkun panggang**.

Penjelasannya:

*   **Pilihan A:** Teks tersebut secara eksplisit menyebutkan bahwa orang miskin dan perempuan makan sambil duduk di kursi.
*   **Pilihan B:** Siput disebutkan sebagai bagian dari makanan pesta yang aneh dan tidak biasa.
*   **Pilihan C:** Teks tersebut menyatakan bahwa orang kaya suka menikmati jamuan makan sambil bersantai.
*   **Pilihan D:** Teks tersebut secara khusus menyatakan bahwa tidak ada orang Romawi kuno yang pernah mencicipi kalkun karena berasal dari Amerika dan belum diperkenalkan ke Eropa pada masa itu."
