question,gemini_reply
د عبارت له مخې، کوم به په بریالیتوب سره د اکارډین غږولو لپاره دقیق لارښود ونه ګڼل شي؟,"The correct answer is **A: د اضافي حجم لپاره، هغه ځواک زیات کړئ کوم سره چې تاسو بټنې ووهئ**.

The passage explicitly states *not* to hit the keys too hard. It says to use the bellows with more pressure or speed for extra volume, *not* to hit the keys harder. The other options are consistent with the advice given.
"
د اکارډین غږولو په وخت کښې، له لاندې څخه کوم یو به د حجم زیاتولو کې مرسته وکړي؟,"د پورتني متن له مخې، د حجم زیاتولو لپاره باید زنګونه د ډیر فشار یا سرعت سره وکارول شي. له دې امله، سم ځواب **A: ډیر سرعت** دی.
"
ولې په تلویزیونونو کې د عکسونو خپلې غاړې پرې وي؟,"The correct answer is **B: نو عکس ټوله پرده ډکه کړي (So the picture fills the entire screen).**

The passage explicitly states: ""دا د دې لپاره جوړ شوي چې ډاډ ترلاسه کړي چې عکس ټوله پرده پوښي (This is done to make sure the picture fills the entire screen).""
"
د عبارت له مخې، له لاندې ستونزو څخه یو څوک د فلم DVD فارميټ ته د بدلولو پرمهال له کومې ستونزې سره مخ کیدی شي؟,"صحیح ځواب **B: په جزوي توګه پرې شوي فرعي سرلیکونه** او **D: پرې شوي غاړې** دي.

تشریح:

*   عبارت په څرګنده توګه وایي چې کله DVD جوړېږي، امکان لري چې غاړې پرې شي (""غالباً سرحدونه یې هم پرې کړئ شي"") او همدارنګه که فرعي سرلیکونه ډېر لاندې ته نږدې وي، نو ښايي په بشپړه توګه ونه ښودل شي (""که چیرې ویډیو یې فرعي سرلیکونه بېخ ته خورا نږدې درلودل، نو دوی به په بشپړ ډول ونه ښودل شي"").
*   A او C غلط دي ځکه چې عبارت تشریح کوي چې د اوور سکین موخه دا ده چې عکس ټوله پرده ډکه کړي، خو په دې بهیر کې یوه ستونزه دا ده چې د عکس ځینې برخې پرې کېږي."
د برتانیې چاوڼۍ چیرته موقعیت درلود؟,"د متن په اساس، جنرال جان کاډوالډر به په بورډنټاون کې د برتانوي ځواکونو د کلا پرضد برید پیل کړي. نو، سمه ځواب **C: بورډن ټاون** دی.
"
په لاس لیکل شوې مسوده باندې د چا لاسلیک ښکاره شو؟,"The correct answer is **D: Charles Thomson**.

The passage states: ""په لاس لیکل شوې نسخه د کانګرس د رئیس جان هانکوک او منشي چارلس تامسن لخوا لاسلیک شوې..."" which translates to ""The handwritten version was signed by the President of Congress John Hancock and Secretary Charles Thomson...""
"
د لاندې ځایونو څخه، د ډنلاپ پراخه اړخ وروستی چیرته رسیدلی؟,"The correct answer is **C: لندن (London)**.

The passage states that ""یو نقل يې په 10 اګست لندن ته ورسېدو."" This indicates London was the last place mentioned where a copy of the Dunlap broadside was sent.
"
د کرنل سټارک لښكرونو چیرته موقعیت درلودو؟,"The correct answer is **A: په شمال پای باندې، د کټارې په اوږدو کښې** (په شمال پای باندې، د کټارې په اوږدو کښې).

The passage states: ""د سټارک سړو د استعماري ځای په شمال پای کې د باړ په اوږدو کې ځای پر ځای شوي دي"" which translates to ""Stark's men were stationed along the fence at the north end of the colonial site.""
"
د عبارت له مخې، د سټارک سړو کله خپله کټاره وغزوله؟,"The correct answer is C:
**C: د لږ څپو په وخت کښې**

The passage states: ""...کله چې د اوبو ټیټی سطحی د شمال مشرقی ټاپووزمی د مستک سیند mystic river په اوږدو کې خالیګاه جوړه کړه دوي په عاجله توګه د کوچنیو ډبرو د ديوال په کارولو سره کټاره په یو وړوکې سمندر غاړی تر شمالی برید پورې اوږده کړه...""
This clearly indicates that the men extended the fence when the tide was low, creating a gap along the Mystic River.
"
د عبارت له مخې، د لاندې څخه کوم یو د چین ترټولو تاوتریخوالی زمانه و؟,"د عبارت په وینا، د درې سلطنتونو زمانه د چین د لرغوني تاریخ یو له ترټولو خونړۍ زمانه وه. نو ځواب دی:

**D: د درې سلطنتونو زمانه**
"
د عبارت له مخې، د پوځی میږیانو کالونی د کوچیانو پړاو ته د ننوتلو په اړه کوم رښتيا دی؟,"The correct answer is **B: دوی د خواړو عرضې کمښت لري**.

Here's why:

*   The passage states: ""کله چې شته خوراک کم شي د مچۍ د کوچ کولو مرحله پیل کوي"" which translates to ""When the available food decreases, the ant's nomadic phase begins."" This directly links the nomadic phase to a shortage of food.

Let's look at why the other options are incorrect:

*   **A: دوی د شپې په اوږدو کښې ځاله کوي:** The passage says they *march* at night and establish temporary camps during the day. They don't build nests at night during the nomadic phase.
*   **C: دوی ځالې جوړوي چې د 17 ورځو وروستو بدلیږي:** The passage says that each ""revolt"" or nomadic phase lasts around 17 days, but that they change nests *every day* during this phase.
*   **D: دوی د ورځې په جريان کښې ګذشت کوي:** The passage says that during the nomadic phase, the ant armies ""march at night"" and ""establish temporary camps during the day"". So they move at night, not during the day."
د عبارت له مخې، کوم بیان په سمه توګه د کوچیانو په مرحله کښې د پوځی میږی استعماري عادتونه منعکس کوي؟,"The correct answer is **C: دوی هره ورځ ځالې بدلوي**.

The passage states ""په دي مرحله کې مچۍ موقتی ځالې جوړوي چې هره ورځ بدلیږی"" which directly translates to ""In this stage, the ants build temporary nests that change every day.""
"
له لاندې څخه کوم یو به د بهرنیو اشارو شتون سره سره دوام وکړي؟,"The correct answer is **C: بیولوژیکي ساعتونه (Biologic Clocks)**.

Here's why:

* **The passage states:** ""حیاتیاتي ساعتونه داسې خپل پایداره زنګوونکي دي چې د خارجي اشارو په نشتون کې به هم یوه موده ازاد روان مدار جاري ساتي.""  This directly says biological clocks maintain a free-running cycle even without external cues.  Because the question asks for what would continue with external cues, and the passage states biological clocks do without them, it's implied they would continue with them as well.

Let's look at why the other options are less suitable:

* **A: اينډوجنس دوره (Endogenous Cycle):** While related to biological clocks, the passage doesn't specifically state that *all* endogenous cycles continue despite external cues.  The clock *drives* these cycles.

* **B: دوراني تالونه (Periodic Rhythms):** The passage notes that the rhythms are not the only responses to periodic signals, suggesting that they are influenced by external signals.

* **D: مشاهده شوي تالونه (Observed Rhythms):** Because these rhythms are observed, and external signals can influence rhythms, these may not continue with external cues.

Therefore, **C** is the most accurate answer based on the provided text.
"
کوم يو اصطلاح هغه اشخاص بیانوي چې د یو ځانګړي فینوټایپیک نخښې توپیرونه ښیې؟,"سم ځواب دی: **D: پولیمورفیک**

ځکه چې پولیمورفیک هغه افراد بیانوي چې د یو ځانګړي فینوټایپیک نخښې توپیرونه ښیې، لکه څنګه چې په بیان P کې ویل شوي.
"
لاندې څخه کوم یو د ژوندی موجوداتو لپاره صحیح اصطلاح ده چې یو مخصوص ساحه نیسي؟,"د پوښتنې په اساس، هغه اصطلاح چې په یوه ټاکلې جغرافیایي ساحه کې د حیواناتو د خاصو نوعو راټولولو ارګانزم ته اشاره کوي ""نفوس"" دی.

نو ځواب **B: نفوس** دی.
"
د لاندې څخه کوم یو به د طبیعت پر بنسټ د سياحت فعالیت مثال نه وي؟,"سم ځواب C دی: د ساینس موزیم لیدنه کول.

دلایل:

*   **P** پاراګراف په واضح ډول تشریح کوي چې د طبیعت په بنسټ سیاحت طبیعي ځایونو او چاپېریال ته د خلکو سفرونه رانغاړي.
*   **A، B، او D** ټول انتخابونه په طبیعي چاپېریال کې فعالیتونه دي (آبشار، ځنګلي ګلان، او کب نیونه).
*   **C** د ساینس موزیم لیدنه، که څه هم ښوونیز کیدی شي، معمولا په طبیعي ځای کې نه وي او مستقیم ډول د طبیعت سره د تعامل پر بنسټ نه وي."
د عبارت له مخې، له لاندې څخه کوم يو د ترانسپورت سیسټم اساس دی؟,"The correct answer is **B: شخصي موټرې (personal cars)**.

The passage explicitly states ""په شخصي موټرو په بنسټ یو ټرانسپوټ نظام"" which translates to ""a transportation system based on personal cars."" Therefore, personal cars are the foundation of the transportation system described.
"
هغه ذرات چې د نیوکلیوس په مدار کښې ګرځي کوم ډول چارج لري؟,"The correct answer is **C: منفي چارج (Negative charge)**.

The passage states: ""الکترونونه منفی چارج لري (Electrons have a negative charge).""
"
نیوکلیوس له کومو ذراتو څخه جوړ دی؟,"The correct answer is **A: پروټون او نیوټرون**.

The text states: ""نیوکلیوز دوه برخې لري - نیوټران او پروټون."" Therefore, the nucleus is made of protons and neutrons.
"
د عبارت له مخې، د لاندې څخه کوم یو د پنځو بټ بائنری شمیرې مثال دی؟,"صحيح ځواب **C: 10010** دی.

دليل يې دا دی:

*   پنځه بټ بائنری شمېره بايد پنځه عددونه ولري.
*   هر عدد بايد 0 يا 1 وي.

**A: 1010** څلور عددونه لري.
**B: 12001** عددونه لري چې له 0 يا 1 څخه توپير لري (2).
**C: 10010** پنځه عددونه لري او هر عدد 0 يا 1 دی.
**D: 110101** شپږ عددونه لري."
بائنري عددونه هم څه ته ویل کیږي؟,"سم ځواب دی: **A: بټس**

په ورکړل شوي متن کې په واضح ډول ویل شوي چې دوه ګونو شمېرو ته، چې 0 یا 1 قدر لري، په کمپیوټر کې ""بټس"" ویل کیږي.
"
د لاندې څخه کوم یو د زده کونکي بلاګنګ لومړنۍ ګټې په توګه په عبارت کې ندي ذکر شوي؟,"The correct answer is **B: د ملګرو لخوا په تنقيد کښې کموالی (Decrease in criticism from friends)**.

Here's why:

*   **A: د ګرامر او لیکنی وړتوب کښې ښه والی (Improvement in grammar and writing ability):** The passage explicitly mentions that blogging improves students' grammar and spelling as they try to avoid criticism from readers.
*   **C: د شاوخوا پراخه پوهاوی (Broadened awareness of surroundings):** The passage states that students are ""forced to be attentive to the world around them"" when blogging.
*   **D: د دوامدارې زده کړې لپاره د خواهش زیاتوالی (Increased desire for continuous learning):** The passage mentions that blogging encourages students to extend their learning beyond the traditional school day.

The passage focuses on the *increased* criticism from readers as a motivator for improvement, not a decrease."
د بلاګنګ لاندې څخه کوم اړخونه د زده کونکو لپاره د دوی د لیکلو مهارتونو ته وده ورکولو لپاره د هڅونکي په توګه ذكر شوي؟,"Based on the provided text, the correct answer is:

**A, B, C, and D**. All the options are mentioned as motivational aspects for students to improve their writing skills through blogging. Here's why:

*   **A: په مکرر ډول په انټرنیټ کښې موادو ته ځواب ورکول (Responding frequently to content on the internet)** This aligns with the statement: ""...انټرنټ مواد ته د فعال ځواب سره، زده کوونکي د نورو د لیکلو په محتوا کې خپل ځای تعینوي او هم په ځانګړو مسایلو د خپل لیدلوري طرح کوي (اوراوېک، 2002).""

*   **B: د تنقيد څخه د مخنیوي لپاره مشوره (Advice to avoid criticism)** This is supported by: ""ځکه چې زده کوونکي اکثره وخت تر ټولو زیات نقاد کوونکي لوستونکي وي، د بلاګ لیکونکی هڅه پیل کړي چې له نیوکو څخه ځان وژغوري.""

*   **C: د دوی د اورېدونكو دلچسپى ساتل (Maintaining the interest of their audience)** This relates to: ""...ددې اړتیا لیدل کېږي تر څو د خپلو حاضرینو د ځیرکۍ او شوق لیوالتیا پوره کړي (Toto, 2004).""

*   **D: د همكاري لپاره اړتیا (The need for collaboration)** This is linked to the statement: ""بلاګنګ یوه وسیله ده چې د همارۍ الهام ورکوي""."
د لاندې څخه کوم یو د زده کونکو لپاره د غیر متناسب اړیکو ګټه نه ده؟ ,"سم ځواب B دی: د ورځې په هر وخت کښې ښوونکو ته مخامخ لاسرسی.

ځکه چې اسینکرونس اړیکه مخامخ (real-time) نه وي، نو د ورځې په هر وخت کې ښوونکو ته مخامخ لاسرسی نه ورکوي. نور انتخابونه (A, C, D) ټول په متن کې د اسینکرونس اړیکې د ګټو په توګه ذکر شوي دي.
"
د عبارت له مخې، د غیر متناسب مخابرې لاندې کوم اړخونه د زده کونکو لپاره انعطاف منونكى ندي؟,"د پوښتنې په اړه په پام کې نیولو سره، هغه اړخ چې د زده کوونکو لپاره په غیر متناسب مخابره کې انعطاف منونکی نه دی، هغه دی:

A: د زده کړې سرعت

ځکه چې په غیر متناسب مخابره کې زده کوونکي په خپل رفتار سره کار کولی شي. نور انتخابونه ټول انعطاف منونکي دي ځکه چې کاري ساعتونه انعطاف منونکي دي او د انټرنیټ کارول او لارښوونې مواد په هر وخت کې د لاسرسي وړ دي."
هغه څه چې په عبارت کښې د یو څه په توګه ندي ذکر شوي چې ممکن د مینځنۍ پيړيو کلا سره تړاو ولري؟,"The correct answer is **C: زړورتيا (Bravery)**.

Here's why:

*   **زندان یا خونې کندې (Dungeons):** The text alludes to the harsh realities associated with castles, so dungeons are likely present.
*   **نيزه بازى (Jousting):** The text explicitly mentions jousting.
*   **درناوى لقب وركولو والا (Knighthood/Dubbing):** The text mentions Arthurian knighthood, which would include ceremonies of knighting.

The passage focuses on the romanticized image of castles, but **zړورتيا (Bravery)**, while certainly *associated* with knights and castles, is not explicitly mentioned in the provided text. The text only talks about the imagery of the castles, jousting, feasts, and Arthurian legends.
"
د لاندې څخه کوم یو د بوی یا غږ په توګه په عبارت کې نه دی ذکر شوی چې کیدای شي د کلا د کنډوالو په مینځ کښې جادو ګرى شوي وي؟,"Based on the provided text, the following is the breakdown:

*   **Sounds mentioned:** Clanging of armor, the clip-clop of horses' hooves.
*   **Smells mentioned:** Smells rising from the dungeons.

Let's examine the options:

*   **A: جنګونه (Battles):** The text mentions ""battles of the past"" but doesn't specifically mention the *sound* or *smell* of battles themselves. The clanging of armour could be associated with it.
*   **B: ويره (Fear):** Fear is not mentioned as a sound or smell evoked by the castle ruins.
*   **C: ضیافتونه (Feasts):** The text mentions feasts, but doesn't imply smells or sounds specifically linked with feasts in ruins.
*   **D: سوه (Saw):** ""Saw"" (as in a tool) is not mentioned in the context of sounds or smells within the passage.

Considering this, the best answer is **D: سوه** because the text does not provide a sound or smell based impression of a saw within the context of the castle.
"
د لاندې څخه کوم یو د Kirby Muxloe کلا دقیق تشريح ده؟,"The correct answer is **B: د هیواد د سوله ایز طبیعت له امله دې د جوړولو په وخت کښې لږترلږه قلعه بندي ته اړتیا درلوده**

Here's why:

*   The passage states: ""په 1480 کې، کله چې د لارډ هیسټینګ لخوا د جوړولو کار پیل شو، دغه هیواد نسبتا سوله ایز و او دفاع یوازې د کوچني ټکي راټولوونکو ډلو په وړاندې اړین و."" This directly supports the idea that minimal fortification was needed due to the peaceful nature of the country at the time of construction.

Let's look at why the other options are incorrect:

*   **A: د کلا پريړ دیوالونه د لارډ هیسټینګ لخوا غوښتنه شوي و:** The passage mentions ""نری ديوالونه"" meaning thin walls, which contradicts this option.
*   **C: د کلا جوړول د وخت دورې لپاره عادي نه و:** The passage doesn't provide enough information to support whether the castle was ordinary or not.
*   **D: دا د اوږد او ټاکل شوي بریدونو جاري ساتلو لپاره جوړ شوی و:** The passage mentions, ""قصر یوه لويه پوښل شوي کړکې او نری ديوالونه به ونشي کړای چې یوه حتمی حملی څخه د ډیر وخت لپاره ژغورنه وکړي"" this shows that the castle was not built to withstand long and sustained attacks."
د لاندې جوړونې ځانګړتیاوو څخه کوم به د Kirby Muxloe کلا لپاره د وخت په جریان کښې چې په عبارت کښې تشریح شوي يو عاديي وګڼل شي؟,"د متن له مخې، د Kirby Muxloe کلا د وخت لپاره غیر معمولي ځانګړتیاوې لوی کړکۍ او نري دیوالونه دي. دغه کلا د دفاعي موخو لپاره په سمه توګه نه وه جوړه شوې، ځکه چې په هغه وخت کې هیواد سوله ایز و او د لویو بریدونو تمه نه کیده. د لږې قلعه بندي یادونه هم شوې، خو دا دومره مشخصه نه ده لکه لوی کړکۍ او نري دیوالونه.

نو، تر ټولو غوره ځوابونه دا دي:

*   **A: لوی کړکۍ**
*   **D: پتلی دیوالونه**

که څه هم، که یوازې یو ځواب انتخاب کیدی شي، **A: لوی کړکۍ** به غوره وي، ځکه چې په متن کې په واضح ډول د کړکیو لویوالی د دفاعي کمزورتیا په توګه یاد شوی."
د عبارت له مخې، د لاندې څخه کوم یو به د منډې وهونکی تياريدو لپاره د راتلونکي موسم کښې خورا ګټور وي؟,"Based on the passage, the correct answer is **D: د پورتنۍ بدن د کار کولو لپاره د جیم څخه کار اخیستل**.

Here's why:

*   **The passage explicitly states:** ""...د بدن د پاسنی برخی د جمنازیم د کار سره یوځای د منډی د سیزن لپاره یوه غوره تیاری دي"". This directly supports option D.
*   **Other options are not fully supported or contradict the passage:**
    *   **A:**While the passage mentions cross-country running in winter as *one* way to prepare, it's not stated to be the *most* beneficial for an upcoming running season.
    *   **B:**The passage mentions to cultivate endurance at all costs
    *   **C:**The passage doesn't mention breaking a three minute time."
د عبارت له مخې، د لومړي درجې نیم میل منډې وهونكى لپاره د لاندې څخه کوم یو بې كچه مهم دی؟,"The correct answer is **D: د زغملو په پرتله د سرعت کښت کول**.

Here's why:

*   The passage explicitly states that for the half-mile run, endurance is an ""absolute necessity"" and speed is less important (""speed becomes of very little importance"").
*   Option D is the only one that goes against what is stated in the passage, so it must be the least important.

Let's break down why the other options are incorrect:

*   **A: د ژمي میاشتو په جريان کښې د کراس هیواد منډه تمرین کول:** The passage suggests cross-country running in winter as a good preparation for the running season, making it relatively important.
*   **B: د سرعت په پرتله د زغم کښت کول:** This aligns directly with the passage's emphasis on endurance over speed for the half-mile.
*   **C: د دوو دقیقو څخه کم وخت کښې بیرته راتاويدل:** The passage mentions that a half-miler who can break two minutes has sufficient speed, implying it's important to have some level of speed."
د یو ورزشکار لپاره، له لاندې څخه کوم یو يواځې د تغذیې تمریناتو له لارې ترلاسه کیدی نشي؟,"د پورتني متن له مخې:

*   ښه فعالیت (A) - تغذیه او تمرین یوځای کولای شي ښه فعالیت تولید کړي.
*   د مزې زیاتوالی (B) - د ورزش څخه خوند اخستل د تغذیې له لارې ښه کېدای شي.
*   عمومي روغتیا (D) - په روغتیا باندې د تغذیې اغیز د پام وړ دی.

له دې امله، ځواب **C: د اشرافو فعالیت** دی. د اشرافو فعالیت یواځې د تغذیې په واسطه نه ترلاسه کیږي، بلکې تمرین، استعداد او نور عوامل هم په کې شامل دي."
د عبارت پر بنسټ، د لاندې څخه کوم یو د ځوانانو ورزشکارانو لپاره د دوی په سپورت کښې د لازیات خوند موندلو لپاره د یوې لارې په توګه وړاندیز شوی نه دی؟,"د سم ځواب لپاره، موږ اړتیا لرو د عبارت په دقت سره وګورو او وګورو چې کوم انتخاب د ځوانانو ورزشکارانو لپاره د سپورت څخه د لا ډیر خوند اخیستلو په توګه ندی یاد شوی.

*   عبارت د مناسب تغذیې تمرین کول، د سالم انرژي توازن ساتل، او په مؤثره توګه مایع اخیستل د ورزشکارانو سره د دوی د فعالیت په ښه والي او د ورزش څخه د خوند اخیستلو کې مرسته کوي.

په هرصورت، عبارت د اشرافو په کچه باندې په دوامداره توګه د ترسره کولو په اړه هیڅ یادونه نده کړې. په دې توګه، دا د ځوان ورزشکارانو لپاره د سپورت څخه د ډیرو خوند اخیستلو لپاره د یوې لارې په توګه ندی وړاندیز شوی.

نو ځواب دا دی:

**B: په دوامداره توګه د اشرافو په کچه باندې ترسره کول**"
د عبارت له مخې، ولې د منځني واټن منډې وهونكى ممکن د وسایلو یوه ډیره ګرانه ټوټه واخلي؟,"The correct answer is **D: د لږ قیمتي وسايلو شاوخوا غلطه ګڼنه شتون لري (There is a misconception around less expensive equipment)**.

Here's why:

*   The passage states that there are ""false assumptions about a few pieces of sports equipment"" and that runners ""may prefer products that offer no real benefit for them."" This implies that the runner might purchase an expensive piece of equipment due to a mistaken belief or assumption about its value compared to a less expensive alternative.
*   The passage indicates that more expensive equipments will not make much of impact on the performance of the runner.

Let's look at why the other options are not the best fit:

*   **A: دا د دوی شخصي غوره توب دی (It is their personal preference)**: While personal preference can play a role, the passage focuses on the *misconception* aspect, rather than just simply stating preferences.
*   **B: دا ثابت شوي ګټې لري (It has proven benefits)**: The passage directly contradicts this, saying these products offer ""no real benefit.""
*   **C: دا به د دوی فعالیت ډير اغیزمن کړي (It will make their performance more effective)**: The passage explicitly states that these products often have ""little or no impact on the performance""."
د عبارت له مخې، د منځنۍ واټن منډه وهنه څه ته اړتیا لري؟,"The correct answer is **C: ډیر لږ تجهیزات (ډیر لږ تجهیزات)**.

The passage states that middle-distance running is an inexpensive sport compared to others. This implies that it requires very little equipment. The rest of the passage discusses how people mistakenly believe they need more equipment than they actually do.
"
چا اټومي مقناطیسي ریزونانس کشف کړ؟ ,"The correct answer is **C: Bloch او Purcell**.

The passage explicitly states that nuclear magnetic resonance was discovered by Felix Bloch and Edward Purcell in the 1930s.
"
په کوم کال کښې د طبي عکس کولو ریزونانس لپاره لومړی پیټینټ ورکړل شو؟ ,"The correct answer is **B: 1974**.

The passage states: ""څلور کاله وروسته د اختراع امتیاز ورکړل شو چې د ام آر آیMRI په برخه کې د نړی لومړۍ اختراعی امتیاز و"" (Four years later, the patent was granted, which was the world's first patent in the field of MRI).  Since Raymond Damadian discovered the use of MRI for medical diagnosis in 1970, four years later would be 1974.
"
د عبارت له مخې، انسانان باید د نورو د فزیکي کړنو تفسير کولو لپاره په څه کښې قوي پوهه ولري؟,"The correct answer is **B: نیت (Intent)**.

The passage explicitly states that understanding other people's *intent* is important for resolving ambiguities in their actions. The example provided highlights how knowing the *intent* behind breaking a car window (theft vs. lost keys) changes the interpretation of the action.
"
