question,gemini_reply
"Marka loo eego qoraalka, maxaa aan loo qaadan doonin tilmaan sax ah oo si guul leh loogu ciyaaro turumbada?","Jawaabta saxda ah waa A: **Si aad u hesho mugga dheeraadka ah, kordhi xoogga aad ku dhufatey furayaasha.**

Qoraalka wuxuu si cad u sheegayaa in aanay jirin baahi loo qabo in furayaasha la riixo si codka loo dheereeyo, sida biyaanada. Codka dheer waxaa lagu helaa iyadoo la kordhiyo xawaaraha iyo cadaadiska tuunbooyinka, ma aha xoogga riixitaanka furayaasha.
"
"Markaad ciyaareyso turumbada, midkee ayaa kuwan soo socda gacan ka geysan doona kordhinta mugga?","Jawaabta saxda ahi waa **A: Xawaare badan**

Sharaxaada:

Qaybta P waxay si cad u sheegtay in codka dheeraadka ah ee biyaanada aanu ka iman cadaadis saaridda furayaasha, laakiin turumbada, codka dheeraadka ah wuxuu ka yimaadaa xawaare iyo cadaadis loo kordhiyay. Markaa, xawaaraha badan ayaa gacan ka geysan doona kordhinta mugga turumbada.
"
Maxay tahay sababta muuqaaladda telefishinada loo jaraa xuduudahooda?,"The correct answer is **B: Markaa muuqaalku wuxuu buuxiyaa shaashadda oo dhan**.

The passage explicitly states that televisions are made to please people, and therefore cut off the edges of the image to fill the entire screen.  This is done so the image fills the whole screen.
"
"Marka loo eego marinka, dhibaatooyinka soo socda midkee la kulmi kara marka filim loo beddelayo qaab DVD?","The correct answer is **B: Qayb hoosaadyada jaran**.

The passage specifically states that when creating a DVD, it's possible for the sides to be cut off, and ""if the footage has subtitles near the bottom, they won't be fully seen."" This directly translates to subtitles being cut off.
"
Xaggee ku tiillay xerada ciidanka Ingiriiska?,"The correct answer is **C: Bordentown**.

The passage states that General John Cadwalder was to launch a diversionary attack against the British troops stationed in Bordentown.
"
Kee ayuu saxeexiisu ka muuqday qabyo qoraalka gacanta lagu qoray?,"Jawaabta saxda ah waa **D: Charles Thomson**.

Qoraalku wuxuu sheegayaa in dukumeentigii gacanta lagu qoray ay saxeexeen Madaxwaynaha Koongareeska John Hancock iyo Xoghaye Charles Thomson.
"
"Marka laga reebo meelaha soo socda, xaggee buu ka yimid barxadka ballaaran ee Dunlap?","Jawaabta saxda ah waa **B: Dukaanka daabacaadda ee Dunlap**.

Qoraalka wuxuu si cad u sheegayaa in qoraalka gacanta lagu qoray loo diray ""madbacadii John Dunlap"" oo 150-200 oo koobi ah lagu sameeyay intii habeenkaas lagu jiray. Koobiyadaas waxaa loo yaqaanay ""bugaag Dunlap"". Sidaa darteed, meesha laga helay bugaagta Dunlap waa dukaanka daabacaadda ee John Dunlap.
"
Xaggee ayay ku sugnaayeen Gaashaanle Sare Stark ciidamadiisa?,"The correct answer is **A: Dhammaadka dhinaca woqooyi, oo ku teedsan xeyndaabka** (The northern end, along the fence).

The passage states: ""Raga Stark waxay qateen dhamaan goobaha xudduuda ee dhamaadka qeybta waqooyiga ee goobaha gumeystayasha."" which can be translated as ""Stark's men occupied all the frontier posts at the northern end of the colonial areas."" This indicates they were positioned at the northern end.

Additionally, the passage says they quickly added to a short stone wall fence ""oo dhanka waqooyiya kuna dhammaanaya dacalka xeeb yar."" (""on the north side ending at a small beach."") This also reinforces that they were positioned near the fence on the northern side.
"
"Marka loo eego qoraalka, goorma ayay ragga Stark waasiciyeen xayndaabkooda?","The correct answer is **C: Muddadii lagu jiray mowjadda hoose**.

The passage states: ""Markii mawjad hoose dalool ka sameysay meel la siman Webiga Mystic ee ku yaal koonfurta bari ee gacan biyoodka, ayay si dhakhso leh ugu kordhiyeen dayrkii gidaar gaaban oo dhagax ka samaysan..."" This directly indicates that they expanded their defenses during the low tide.
"
"Marka loo eego qoraalka, kee ayaa kuwan soo socda ah mid ka mid ah waayihii ugu rabshadaha badnaa ee China ?","Jawaabta saxda ah waa **D: Waagii Saddexda Boqortooyo**.

Qoraalka wuxuu si cad u sheegayaa in ""Saddexda boqortooyo ay ahaayeen xiliyada ugu dhiig daadinta badnaa ee taariikhda Shiinaha Qadiimka."""
