question,gemini_reply
فرانس کے ووٹنگ کے عمل کا حصہ مندرجہ ذیل میں سے کون سا نہیں ہے؟,"درست جواب ہے:

**D: امیدواروں کے نمائندوں کی ہی جانب سے ووٹوں کی گنتی**

پیراگراف میں واضح طور پر بتایا گیا ہے کہ شام کے وقت رضا کار (والنٹیرس) ووٹوں کی گنتی کرتے ہیں، اگرچہ یہ گنتی سخت نگرانی اور مخصوص ضابطوں کے تحت ہوتی ہے۔ امیدواروں کے نمائندے صرف اس عمل کی نگرانی کے لیے ہوتے ہیں۔
"
رائے دہندگان اپنے منتخب کردہ امیدوار کی ہی نشاندہی کہاں کرتے ہیں؟,"صحیح جواب ہے:

**B: کاغذ کی پری پرنٹ ہوئی شیٹ پر**

پیراگراف میں واضح طور پر بتایا گیا ہے کہ رائے دہندگان پہلے سے چھپی ہوئی کاغذ کی شیٹ پر اپنی پسند کے امیدوار کو نشان زد کرتے ہیں۔
"
ایلن کو موساشی کی آٹھ سالہ تلاش شروع کرنے پر کس چیز نے مجبور کیا؟,"درست جواب ہے:

**D: جنگ میں ان کی دلچسپی**

پیراگراف میں واضح طور پر بتایا گیا ہے کہ ایلن نے اپنی پوری زندگی جنگ میں دلچسپی رکھنے کی وجہ سے موساشی کو ڈھونڈنے کیلئے اپنی جدوجہد کی۔ باقی آپشنز درست نہیں ہیں کیونکہ وہ موساشی کی تلاش کی بنیادی وجہ نہیں ہیں۔
"
اقتباس کے مطابق، ایلن نے اپنی رقم کا ایک اہم حصہ کس چیز پر خرچ کیا؟,"درست جواب ہے:

**B: سمندری تلاش**

اقتباس واضح طور پر کہتا ہے کہ ایلن نے مبینہ طور پر اپنی زیادہ تر دولت سمندری تفتیش میں خرچ کی۔
"
اس پیسیج کے مطابق، مندرجہ ذیل میں سے پلانٹ کے اندر اور اس کے اطراف میں خطرناک حالات کا ممکنہ طور پر کیا سبب بنا؟,"درست جواب ہے:

**A: جوہری ایندھن**

وضاحت:

پیراگراف میں واضح طور پر بتایا گیا ہے کہ حکام کو شبہ ہے کہ ""جوہری ایندھن والے ڈبے پھٹ گئے ہیں اور اس سے رساؤ ہو رہا ہے۔"" اس سے پتہ چلتا ہے کہ خطرناک حالات کا بنیادی سبب جوہری ایندھن کا رساؤ ہے۔ اگرچہ تابکار سیسیئم اور آیوڈین بھی خطرناک ہیں، لیکن وہ جوہری ایندھن کے رساؤ کے نتیجے میں ہی خارج ہو رہے ہیں۔ سفید دھواں بھی ایک علامت ہے، سبب نہیں۔
"
پلانٹ میں پیش آنے والے واقعے کے بعد مقامی رہائشیوں کو تجویز کردہ حفاظتی تجاویز میں سے کیا نہیں ہے؟,"صحیح جواب ہے:

**C: سفید دھوئیں کے سانس لینے سے بچیں**

دی گئی معلومات میں مقامی حکام نے گھروں کے اندر رہنے، ایئرکنڈیشنر بند کرنے اور نل سے پانی نہ پینے کی صلاح دی ہے۔ سفید دھوئیں کے سانس لینے سے بچنے کے بارے میں کوئی ہدایت نہیں دی گئی ہے۔
"
XDR-TB کے بارے میں سب سے زیادہ تشویش ڈاکٹر مول کے مطابق کیا ہے؟,"The correct answer is **D: یہ اموات کی بلند شرح ہے (This is the high rate of mortality)**.

The passage states: ""نئی شکل """"بہت زیادہ پریشان کن ہے اور ہلاکت کی شرح بہت زیادہ ہونے کی وجہ سے زیادہ خطرناک ہے۔"""" (""The new form is """"much more worrying and dangerous because of the very high mortality rate."""") This directly indicates that the high mortality rate is Dr. Moll's primary concern.
"
نئی قسم سے متاثر ہونے والے کتنے ہی مریضوں کے ہیلتھ کیئر ورکرز ہونے کی تصدیق کی گئی؟,"درست جواب ہے: **B: 2**

پیراگراف میں واضح طور پر بتایا گیا ہے کہ ""ڈاکٹر مول اور اسپتال کے کم سے کم دو عملے کو لگتا ہے کہ ہوسکتا ہے کچھ مریض بگ کی ضد آگئے ہوں۔"" اس سے پتا چلتا ہے کہ کم سے کم دو ہیلتھ کیئر ورکرز کو اس نئی قسم سے متاثر ہونے کا خدشہ ہے۔
"
نیکسٹ جین سسٹم کس قسم کی ٹیکنالوجی استعمال کرتا ہے؟,"درست جواب ہے:
**A: سیٹلائٹ پر مبنی ٹیکنالوجی**

دیے گئے پیراگراف کے مطابق، نیکسٹ جین سسٹم سیٹلائٹ پر مبنی ٹیکنالوجی استعمال کرتا ہے۔
"
نیکسٹ جین براہ راست ایئر ٹریفک کنٹرولرز کو کس طرح فائدہ پہنچاتا ہے؟,"درست جواب ہے: **B: ہوائی جہاز کے صحیح مقامات**

تشریح: اقتباس میں واضح طور پر بتایا گیا ہے کہ نیکسٹ جین (NextGen) سیٹیلائٹ پر مبنی ٹیکنالوجی استعمال کرتا ہے جو ایئر ٹریفک کنٹرولرز کو ہوائی جہازوں کی زیادہ مہارت کے ساتھ نشاندہی کرنے میں مدد دیتی ہے، جس کا مطلب ہے کہ انہیں ہوائی جہاز کے صحیح مقامات کا پتہ چلتا ہے۔ باقی آپشنز نیکسٹ جین کے نتیجے میں ہونے والے فوائد ہیں، لیکن یہ براہ راست ایئر ٹریفک کنٹرولرز کو نہیں ملتے۔
"
