question,gemma3_reply
شو هيي الملاحظة الدقيقة اللي ممكن تساعدنا نتعلم العزف عالأكورديون بنجاح حسب النص؟,"The correct answer is **B: حاول تقلل من الحركات اللي مانا لازمة لحتى تحافظ على جهدك** (Try to reduce unnecessary movements to conserve your effort).

Here's why:

* The text explicitly states: ""جرب كمان ما تحرك أصابعك بطريقة غريبة. بهالطريقة حتتعب بأقل شكل ممكن."" (Also try not to move your fingers in strange ways. This way you will get tired with the least effort.) This directly relates to minimizing unnecessary movements.

Let's look at why the other options are incorrect:

* **A: لنحصل على صوت إضافي، منزيد قوة الضربات على المفاتيح** (To get extra sound, increase the force of hitting the keys) - The text says *not* to press keys hard like on a piano, and to use the bellows instead.
* **C: اتأكد من ضرب النغمات وإيدك مرتخية** (Make sure to hit the notes with your hand relaxed) - While this is *part* of the advice, it's not the most *precise* observation for successful playing. It's a contributing factor to minimizing effort, but not the main point.
* **D: زيد سرعة تشغيل المنفاخ لتحصل على صوت أعلى** (Increase the speed of operating the bellows to get a louder sound) -  The text says you can use the bellows with more *pressure* or *speed* for extra sound, but that's not the primary focus of the advice – which is on technique to reduce fatigue.



"
لما تعزف عالأكورديون، شو منعمل من الخيارات التالية لنزيد الصوت؟,"The correct answer is **A: سرعة أكبر**.

The passage explicitly states: ""لتحصل على صوت إضافي على الأكورديون، فيك تستعمل المنفاخ بضغط أو **سرعة أكبر**."" (To get extra sound on the accordion, you can use the bellows with greater pressure or **speed**)."
ليش حواف الصور بتكون مقطوشة على التلفزيون؟,"The correct answer is **B: حتى تساع الصورة على كامل الشاشة**.

The text explicitly states that TVs are made to satisfy the general public, and to ensure the image covers the entire screen, things are cut off from the top, bottom, and sides. This is what's called overscanning. The goal is to fit the image to the screen, not to make room for subtitles or for easier conversion.
"
أي المشاكل التالية ممكن نواجها لما نحول الفيلم لصيغة دي في دي حسب النص؟,"The correct answers are **B: الترجمة مقطوشة بشكل جزئي** and **D: الحواف مقطوشة**.

Here's why:

*   The text explicitly states that ""إذا كان الفيديو بيحتوي على ترجمات قريبة ما رح تظهر كاملة"" (if the video contains close subtitles, they won't appear complete) which translates to **B: الترجمة مقطوشة بشكل جزئي**.
*   The text also says ""وحدة من أكتر المشكال الشائعة...هيي المسح الزايد...ومنسمي هيدا الشي بالمسح الضوئي الزايد. للأسف لما تشغل الدي في دي من المرجح تكون حدود الشاشة مقطوشة"" (one of the most common problems... is overscan... and we call this overscan. Unfortunately when you play the DVD, the edges of the screen are likely to be cut off) which translates to **D: الحواف مقطوشة**.

Let's look at why the other options are incorrect:

*   **A: الصورة ما بتعبي كامل الشاشة** - The text says TVs are made to *ensure* the image fills the screen, so this is the opposite of the problem.
*   **C: الصورة بتعبي الشاشة كاملة** - Again, this is what TVs are designed to do, not a problem encountered during DVD conversion.



"
وين كان موقع الحامية البريطانية؟,"The correct answer is **C: بوردرتاون**.

The text states: ""رح يشن الجنرال جون كادوالدر هجوم مضلل ضد الموقع العسكري البريطاني ببوردنتاون"" which translates to ""General John Cadwalader will launch a diversionary attack against the British military site at Bordentown.""
"
توقيع مين ظهر على النسخة المكتوبة بالإيد؟,"The correct answer is **D: تشارلز تومسون**.

The text states: ""مسودة مكتوبة بخط اليد وقعها رئيس الكونجرس جون هانكوك والوزير **تشارلز تومسون**..."" 

Therefore, Charles Thomson's signature appeared on the handwritten copy."
من بين المواقع التالية، وين وصلت وثيقة «Dunlap broadside» آخر شي؟,"The correct answer is **C: لندن**.

Here's why:

The text states: ""وصلت نسخة على لندن بـ10 آب."" (A copy arrived in London on August 10th). This is the latest date mentioned for receiving the document.

Let's look at why the other options are incorrect:

*   **A: نيويورك** - The document reached Washington in New York on July 9th, which is earlier than August 10th.
*   **B: مطبعة دنلاب** - The document was *printed* at Dunlap's printing shop, but that was very early in the process (July 4th/5th).
*   **D: قاعة الاستقلال** - The first public reading was on July 8th, also earlier than August 10th.



"
وين كان موقع جنود الكولونيل ستارك؟,"The correct answer is **A: على الجهة الشمالية، على طول السياج**.

The text explicitly states: ""أخد رجال ستارك مواقعهن على طول السياج على الطرف الشمالي لموقع المستعمر."" (Stark's men took their positions along the fence on the northern side of the colonial site.)

Let's look at why the other options are incorrect:

*   **B: على الشط، عند حافة المي** - While they *extended* the fence towards the shore, their initial position wasn't *at* the shore.
*   **C: على الجهة الشمالية الشرقية لشبه الجزيرة** - This describes the general area where the low tide opened a gap, but not where Stark’s men were initially positioned.
*   **D: قدام السياج** - They placed sticks *in front* of the fence, but their primary position was *along* the fence."
حسب النص، أيمت اشتغل رجال ستارك على زيادة طول السياج؟,"The correct answer is **C: خلال فترة المد المنخفض**.

Here's why:

The text states: ""لما فتح المد المنخفض حفرة على طول نهر المستيك... بسرعة وسعوا السياج بجدار حجري قصير"". This directly links the expansion of the fence to the low tide revealing an opening.

Let's look at why the other options are incorrect:

*   **A: لما طالبوا المستعمرين بالتعزيزات** - They requested reinforcements *before* expanding the fence.
*   **B: بعد ما قطعوا العاديين السياج** - The text says they waited for the enemy to cross the 100-foot mark *before* firing, not after they cut the fence.
*   **D: لما اتخذ الجنود وضعية الهجوم لقدام** - The text doesn't mention soldiers taking an offensive position; it focuses on building a defensive position.



"
أي من الفترات التالية كانت أكثر الفترات الزمنية عنف بالصين حسب النص؟,"الجواب الصحيح هو **D: فترة الممالك التلاتة**.

النص يذكر صراحةً أن ""الممالك التلاتة واحدة من أكتر العصور الدموية بتاريخ الصين القديمة، مات الآلاف من الناس بسبب الصراع على أعلى كرسي بالقصر الكبير بشيان."" بينما النص يذكر السلالات الأخرى (هان وجين) وعائلة شيان، لكنه لا يصفها بأنها الأكثر عنفًا.
"
