question,gemma3_reply
"bena'an 3la alema3elewmat fi alfqrh, ayun men hedh leys methalaan 3la at3alam aletfa'eley?","The correct answer is **D: medreb dewrey alesghar** (a small tutorial figure).

Here's why, based on the provided text (P):

* **The text explicitly states:** ""...wa kadhalika al-rajul al-saghir fi Microsoft Office."" (…and also the small man in Microsoft Office). This directly refers to the ""tutorial figure"" often used in software like Microsoft Office to guide users.
* **The text defines ""assaqalat"" (scaffolding) as a support system.** It gives examples like a teacher and the Microsoft Office tutorial figure.
* **The question asks for an example of *interactive* learning.** A tutorial figure *is* interactive – it guides the user through steps.

Let's look at why the other options are incorrect:

* **A: bernamej t'eleymey fi bedayh l'ebh alekmebyewter** (a computer learning program at the beginning of the computer) – While a learning program *can* use scaffolding, the text doesn't specifically point to the program itself as the example, but rather the *within-program support* like the tutorial figure.
* **B: medres akhetbarat alekfa'h aledraseyh** (a school to train competent teachers) - This relates to *providing* scaffolding (training teachers) not *being* scaffolding itself.
* **C: bernamej derash mesteql** (an independent study program) – Independent study implies less direct support, the opposite of scaffolding.



Therefore, the small tutorial figure within software (D) is the most direct and accurate example of scaffolding as described in the text."
ay mema yely la yesf bedqh mefhewm at3alam aletfa'eley?,"The correct answer is **C: yu'eref ayedaan basem at3alam aleqa'em 3la alemsherw'** (It is known as learning based on projects).

Here's why:

* **The passage explicitly states:** ""Baynama yajib an yaj3al al-ta3allum al-8a2im 3ala al-mashari3 3amaliyati alta3allum ashal wa2akthar tashwi8an..."" (While it should make project-based learning easier and more engaging...). This directly defines the core concept.

Let's look at why the other options are incorrect:

* **A: yemken an yewjed at3alam aletfa'eley afetradeyaan** (Project-based learning can exist independently) - While possible, the passage focuses on *scaffolding* *within* project-based learning, not the existence of the learning style itself in isolation.
* **B: hew wesyelh mesa'edh akether men kewnh teryeqh t'elem** (It is a helping tool more than a learning method) - This describes *scaffolding* itself, not project-based learning. The passage emphasizes project-based learning *as* a method.
* **D: yusetkhedm at3alam aletfa'eley letqedyem aled'em fi bedayh tejrebh at3alam** (Project-based learning is used to provide support at the beginning of a learning experience) - This describes the *function of scaffolding* *within* project-based learning, not the learning itself.



Therefore, option C best captures the core idea presented in the passage regarding what project-based learning *is*."
"wefqaan llfqrh, ma hey meyzh may sebyes alety yemken an tefyed aletlab aledyen yewajhewn mesheklh fi aleqra'h?","The correct answer is **C: 3anewan weyb wahed** (a single web address).

Here's why:

The passage states: ""Yumkin alwusul ila hadhihi assaf7a bi suhula min khilal tawfir 3unwan web wa7id faqat, mimma yaj3al min assahl tadhakuriha wa kitabatiha lil tullab alladhina qad yuwajihuna mushkilatan fi istikhdam law7at almafati7 aw fi attahji2a.""

This translates to: ""These pages can be easily accessed by providing only one web address, which makes it easier to remember and write for students who may have difficulty using the keyboard or spelling.""

The question asks what feature helps students who struggle with reading/writing. A single, easy-to-remember web address directly addresses this difficulty.

Let's look at why the other options are incorrect:

*   **A: aletkhesyes** (the customization) - While customization is mentioned, it doesn’t *specifically* help students with reading/writing difficulties.
*   **B: alemdewnat** (the blog) - Blogs are a feature *within* the pages, not a solution for reading/writing problems.
*   **D: 54 milyun hesab** (54 million accounts) - This is just a statistic about the website's popularity and doesn't relate to accessibility for students.



"
"wefqaan llfqrh, ay mema yely lm yekn jez2aan men rad Krushchev 3la a3mal shaghab al 3ummal?","The correct answer is **C: zeyadh khafd al 2ujur (increasing wage cuts)**.

Here's why:

The passage states the workers were protesting *against* wage cuts (khafd al 2ujur). Krushchev responded by conceding to *some* economic demands (ala3teraf beb3d alemtaleb alaqetsadeyh) and appointing a new Prime Minister (t3eyn r2eyes wzra2 jedyed). He also used tanks to restore order (astkhdam aldbabat laset3adh alnzam).  Therefore, *increasing* wage cuts would be the opposite of his response.

Let's break down why the other options are incorrect:

*   **A: t3eyn r2eyes wzra2 jedyed (appointing a new Prime Minister):** The passage explicitly states Krushchev agreed to appoint Wladyslaw Gomulka.
*   **B: astkhdam aldbabat laset3adh alnzam (using tanks to restore order):** The passage says Krushchev *did* send tanks.
*   **D: ala3teraf beb3d alemtaleb alaqetsadeyh (conceding to some economic demands):**  The passage specifically states Krushchev opened the door to economic concessions.



"
ayun men ataly lm yekn sebbaan a3mal shaghab fi Bolanda?,"The correct answer is **D: t3eyn Wladyslaw Gomulka (the appointment of Wladyslaw Gomulka)**.

Here's why:

The passage states that Krushchev *agreed* to the appointment of Wladyslaw Gomulka as prime minister.  This was a *result* of the unrest, not a cause of it. 

Let's look at why the other options are incorrect:

* **A: ashhuyu3iyya (Communism):** The passage specifically says the protests were *against* communism.
* **B: naqs al ghidha2 (lack of food):** The passage states workers were protesting a ""lack of food.""
* **C: khafd al 2ujur (reduction of wages):** The passage states workers were protesting ""reduction of wages.""

Therefore, the appointment of Gomulka wasn't a *cause* of the unrest, making it the odd one out.



"
"wefqaan llfqrh, ay men ataly lm yu2ther 3la al3laqat beyn alSovieti wa al Wilayat al Mutta7ida al amrikiya?","The correct answer is **B: alara2 7wl Almanya (the dispute over Germany)**.

Here's why:

The passage states that Germany was a *common enemy* during WWII, *leading to* cooperation between the Soviet Union and the United States. This implies that once the common enemy (Germany) was removed, the underlying differences and conflicts began to surface. The text then explicitly states that disagreements over ideology, systems, and culture *led to* the breakdown of the alliance.

Let's look at why the other options are incorrect:

*   **A: alakhetlafat aletheqafeyh (cultural differences):** The passage states cultural differences *resulted* from the breakdown, not caused it.
*   **C: al 3amaliat al mutanaqida (conflicting operations):** This is linked to the broader system/ideological conflicts, and therefore not the initial trigger.
*   **D: almnaz3at almut3aliqh bi alanzimh (disputes related to systems):**  Similar to C, this is a *result* of the breakdown, not the initial cause.

The dispute *over what to do with Germany* after WWII is what directly transitioned the relationship from cooperation to potential conflict.



"
ay mema yely la yesf bedqh alegherd men eresal alenbedat al'esebyh fi jami3 anha' alejsem?,"The correct answer is **B: edarh tadfq aldam (regulating blood flow)**.

Here's why:

* **P (the passage) states:** ""...lil 7ifaz 3ala tadaffuq addam duna 3a2iq"" - ""...to maintain blood flow without obstruction.""  This means the nerve impulses are *about* controlling blood flow.

Let's look at why the other options are incorrect:

* **A: ebta2 tadfq aldam (starting blood flow):** The passage says maintaining, not starting.
* **C: al7efaz 3ala altawazn (maintaining balance):** While balance is *a result* of the system working, the passage focuses on the *mechanism* (nerve impulses controlling blood flow).
* **D: tejneb al thdidat aljsedyh almuhtmaleh (avoiding potential physical threats):**  Avoiding threats is a *consequence* of a healthy, functioning system, but not what the nerve impulses *directly* do.



Therefore, the passage specifically mentions the role of nerve impulses in regulating blood flow."
mada yemken al3thwr 3aleh fi hedbh alejyezh?,"The correct answer is **B: ma3abed** (temples).

Here's why:

The text explicitly states: ""...wa majmu3a min al-ma3abid..."" which translates to ""...and a collection of temples..."".  While the text *mentions* tombs (maqaber), the Great Pyramid (al-haram al-akbar), and the Seven Wonders, it doesn't say these are what can be *found* there in a general sense. The text specifically lists temples *among* the structures found at the Giza plateau.

Let's look at why the other options are incorrect:

* **A: meqaber (tombs):** While tombs *are* present (specifically for Pharaohs and their families), the text doesn't state they are the primary thing you can find there.
* **C: jami3 al3aja2eb alsb3 (all seven wonders):** The text says the Great Pyramid is *one* of the remaining Seven Wonders, not that *all* of them are there.
* **D: alharm alakbar (the Great Pyramid):**  The text focuses on the Great Pyramid, but also mentions other structures, making this too narrow of an answer.



"
ma kan alegherd men alharm alakbar?,"The correct answer is **B: letkeryem fer'eren** (to honor the Pharaoh).

Here's why:

The text explicitly states: ""Shuyyida 2al haram 2al akbar ka naw3 min 2al takareem lel fer3an 5ofo"" which translates to ""The Great Pyramid was built as a type of honoring for the Pharaoh Khufu.""

Let's look at why the other options are incorrect:

*   **A: an yesbh wahedh men 'eja'eb al'ealem alesb'** (to become one of the wonders of the world) - While true, this is a *result* of its construction, not the *reason* for it.
*   **C: leykewn ma3elemaan shheyraan** (to be a famous landmark) - Similar to A, this is a consequence, not the purpose.
*   **D: letkhezyen meqaber alashekhas aledyen matewa** (to store the tombs of the deceased) - While pyramids *contained* tombs, the primary purpose of *building* the Great Pyramid was to honor the Pharaoh Khufu, not simply to be a tomb. It was a monument to his power and divinity.



"
men alems'ewel 3an ma3ereftena balheryeq aledy demr alema3ebed?,"The correct answer is **A: سكان أفسس (The people of Ephesus)**.

Here's why:

The text states: ""2a3lana 2al 2afsasiyyoun 2alghadibun 2anna 2ism Herostratus lan yusajjala abadan."" (The angry Ephesians declared that the name of Herostratus would never be recorded.) This directly indicates that the people of Ephesus were the ones who knew about and were outraged by the arson that destroyed the temple.

Let's look at why the other options are incorrect:

*   **B: الإسكندر الأكبر (Alexander the Great):** While Alexander offered to rebuild the temple, he wasn't the one who knew *about* the fire initially.
*   **C: Strabo:** Strabo *recorded* the story of the temple's destruction later, he didn't witness or know about the fire at the time it happened.
*   **D: Artemis:** Artemis is a goddess, not a person who could know about the fire.



"
