question,gemma3_reply
Khargosh kon dhoroner shikarir jonyo sadharon shikar?,"The correct answer is **C: Majhari akarer biaal**.

Here's why:

The text states ""Taader adhine aro majhari akarer biaal achhe jeguli khargosh thekey shuru korey krishnasarmriga oo horin porjonto majhari akarer shikar khaa."" This directly translates to ""Under them are also medium-sized predators that hunt from rabbits to blackbuck and deer - medium-sized prey.""

Therefore, medium-sized predators (majhari akarer biaal) commonly hunt rabbits (khargosh).
"
Tulonamulok chhoto biaalra sadharonoto nicher konti shikar kore?,"The correct answer is **A: Indoor**.

Here's why:

The passage states that smaller weasels (""hariwe jaoa posha biaal"") hunt very small prey *like* insects, indoor animals (likely referring to house pets or pests), crickets, and birds.  The other options (rabbit, blackbuck, deer) are prey of *larger* weasels, as stated in the first sentence.
"
Nicher konti oceloto’er shikar poddhotir ongsho noy?,"The correct answer is **C: Tader shikarke rathe anusaran kora (Following prey at night)**.

Here's why:

The passage states ocelots have *prakhar drishti* (strong vision) at night and move stealthily. It doesn't say they *follow* prey at night. It says they *see well* in the dark and *ambush* their prey.

Let's look at why the other options *are* part of their hunting method:

*   **A: Tader charpasher poribesher saathe mishe thaka (Blending with their surroundings)** - The passage specifically mentions camouflage: ""ausilotshaw tar poribesher saathe mishe giye ebong shikarer upor jhanpiye pore shikar korey"" (they blend with their environment and pounce on prey).
*   **B: Tader shikarer gondho anusaran kora (Following the scent of their prey)** - The passage states ocelots track prey using scent: ""Bigyanira money koren je oselotguli anusaran cor ebong gondho dwara khaoa (shikar) korey"".
*   **D: Kebol chhoto akarer prani shikar kora (Only hunting small animals)** - The passage says ""oselot je sob pranider shikar korey taader pray sobioceloter cheye onek chhoto"" (the animals ocelots hunt are much smaller than ocelots themselves).



"
Nicher konti ekti oceloto ke sothikbhabe bornona kore na? ,"The correct answer is **C: Tader ghranshokti durbol** (Their sense of smell is weak).

Here's why:

The passage explicitly states: ""Bigyanira money koren je oselotguli anusaran cor ebong gondho dwara khaoa (shikar) korey, jekhane taaraa matite cholar somoy ghran niye pranider khunje."" This translates to ""Science shows that ocelots track and hunt by scent, where they use their sense of smell to find animals while walking on the ground.""

Therefore, ocelots have a *strong* sense of smell, not a weak one.

Let's look at why the other options are correct based on the passage:

*   **A: Tara rathe bhalo shikar korte pare** (They can hunt well at night) - The passage says ""Rather ondhokare prakhar drishti die taaraa bhaloi dekhte paya"" (At night, they have strong eyesight and can see well).
*   **B: Tara nisshobde cholachol kore** (They move silently) - The passage states ""chupisare cholaferao korey"" (they move silently).
*   **D: Tara chhoto prani shikar korte pochhondo kore** (They prefer to hunt small animals) - The first sentence says ""Ocelotora chhoto chhoto prani khete pochondo korey"" (Ocelots like to eat small animals).



"
Nicher konti ekti bagher borho shokti hisebe bibechito hobe na?,"The correct answer is **A: Gorjon kora (Roaring)**.

Here's why:

The passage states that roaring is *different* for tigers than for lions. It describes a tiger's roar as a ""gargling"" sound, unlike a lion's full-throated roar. While roaring is a characteristic of the *panthera* genus (tigers, lions, jaguars, leopards), the passage highlights it's not a display of strength *for tigers* in the same way it might be for lions.

The other options are all listed as displays of physical power:

*   **Arohon (Climbing):** The passage explicitly states tigers can climb well.
*   **Luffie luffie chola (Leaping/Jumping):** The passage says they can leap incredibly far.
*   **Tana (Stretching/Extending):** The passage mentions they can stretch with five times the strength of a human.

Therefore, roaring is the one activity that isn't presented as a demonstration of a tiger’s strength."
"Onucchhed onujaayi, bagh o shingher modhye parthokyo konti?","The correct answer is **B: Gorjoner shobdo (The sound of their roar)**.

Here's why:

The passage explicitly states the difference in their roars:

* **Bagh (Tiger):** ""Baghtir gorjon ekti singher purna-kanthaswarer gorjoner moto naya, borong gargar koraa oo chenchano shobder toiri ekti bakyer moto."" (A tiger's roar is not like a lion's full-throated roar, but rather a guttural, gargling sound made like a bark.)
* **Singh (Lion):** ""...ektie singher purna-kanthaswarer gorjon..."" (a lion's full-throated roar...)

Let's look at why the other options are incorrect:

* **A: Saantaar katar khomota (Swimming ability):** The passage states both can swim.
* **C: Tader luffanor durotwo (The distance they can jump):** The passage says tigers can jump very far, but doesn't compare it to lions.
* **D: Tader tanar shokti (Their strength):** The passage says tigers are 5 times stronger than a strong human, but doesn't explicitly compare their strength *to lions*.
"
"Onucchhed onujaayi, Onyanyo jibobigganir age Robbert Hooke ki korechhilen?","The correct answer is **A: Mrito kosh porikkha kora** (Examining dead cells).

Here's why:

The passage explicitly states: ""Tini chhilen prothom bekti jini **mrito koshguli porjobekkhon korechilen**"" (He was the first person to observe **dead cells**). 

Let's look at why the other options are incorrect:

* **B: Kono jibonto pranike dekhte anubikkhan jontrer byabohar kora** (Using a microscope to see any living organism) - While he *used* a microscope, the passage focuses on his observation of *dead* cells, not living organisms generally.
* **C: Chhoto chhoto borgokhetro porjobekkhon kora** (Observing small square areas) - This describes *what* he saw, but not *what he did* originally. He observed these areas *while* examining the dead cells.
* **D: Kono jeeber khudrotomo kathamogoto ekok abishkar kora** (Discovering the fundamental building block of living things) - He didn't discover the cell as the fundamental unit of life, he simply observed and named them. That discovery came later.



"
“Kosh” shobdotir utpottigoto ortho ki?,"The correct answer is **B: Chhoto chhoto ghar**.

The passage states: ""Latin shobdo cella thekey sell shobdoti eseche, jaar maane chhoto ghar."" (The word ""cell"" comes from the Latin word ""cella"" which means small house.)

Therefore, the origin of the word ""kosh"" (cell) means ""chhoto ghar"" (small house)."
"Onucchhed onujaayi, Odhikangsho pranir konti korar khomota royechhe?","The correct answer is **B: Cholafera** (Moving around/Locomotion).

Here's why:

The passage states: ""beshirbhag prani cholafera korte paare"" which translates to ""most animals can move around."" 

Let's look at why the other options are incorrect:

*   **A: Ura** (Flying) - The passage mentions some animals *do* fly, but doesn't say *most* do.
*   **C: Saantaar kata** (Swimming) -  The passage says some swim in the ocean, but not that most animals swim.
*   **D: Khonra** (Eating) - The passage mentions animals eat different things, but doesn't focus on the *ability* to eat as a defining characteristic of *most* animals.



"
"Onucchhed onujaayi, Kichhu pranir konti thake na?","The correct answer is **C: Mostishko**.

Here's why:

The passage states: ""Kebolmatro pranider mostishko thaake (jodio samasta pranider thaake naa; udahoronsorup jelifisher mostishko nei).""  This translates to ""Only animals have brains (though not all animals have them; for example, jellyfish do not have brains)."" 

Therefore, some animals *do not* have brains.

Let's look at why the other options are incorrect:

*   **A: Kosh (Cells):** The passage starts by saying life is made of cells (""Asankhya kosh die jeeber srishti""), so all living things have cells.
*   **B: Hojaam korar kkhomota (Ability to digest):** The passage states animals ""digest different things,"" implying all animals have this ability.
*   **D: Khawar kkhomota (Ability to eat):** Similar to digestion, the passage says animals ""eat different things,"" suggesting all animals eat.



"
