question,gemma3_reply
Co podle této pasáže není považováno za přesný tip pro správnou hru na akordeon?,"Správná odpověď je **A: Chcete-li zvýšit hlasitost, zvyšte sílu úderu prstů do kláves**.

Pasáž přímo uvádí: ""Nezapomeňte, že pro větší hlasitost není třeba tisknout klávesy velkou silou jako v případě klavíru.""  To znamená, že síla úderu prstů *není* správný způsob, jak zvýšit hlasitost na akordeonu.

Ostatní možnosti jsou správné rady z pasáže:

* **B:** ""Tímto způsobem se unavíte co nejméně."" (a omezování zbytečných pohybů souvisí s únavou)
* **C:** ""Ujistěte se, že máte ruku maximálně uvolněnou, přitom správně mačkejte všechny klávesy...""
* **D:** ""Pokud chcete na akordeon hrát hlasitěji, musíte měch stlačovat silněji nebo rychleji.""



"
Co z následujících možností vám pomůže při hře na akordeon zvýšit hlasitost hry?,"The correct answer is **A: Vyšší rychlost**.

The passage explicitly states: ""Pokud chcete na akordeon hrát hlasitěji, musíte měch stlačovat silněji nebo **rychleji**."" 

Let's look at why the other options are incorrect:

*   **B: Vyšší síla** - While force is mentioned, it refers to the bellows, not the keys.
*   **C: Méně tlaku** - The passage advises *against* pressing keys with great force.
*   **D: Menší pohyb prsty** - The passage specifically advises to keep finger movement minimal for efficiency, not to increase volume.



"
Proč mají záběry v televizi ořezané okraje?,"The correct answer is **B: Aby obraz zaplnil celou obrazovku**.

The passage explicitly states: ""Většina televizí je vyrobena tak, aby se líbila široké veřejnosti. Z tohoto důvodu má vše, co vidíte v televizi, oříznuté kraje nahoře, dole i po stranách. **Je to pro ujištění, že obrázek zakrývá celou obrazovku.**""

Let's look at why the other options are incorrect:

*   **A: Aby vzniklo místo pro titulky:** While overscan *can* cause issues with subtitles, it's not the *reason* for overscan itself.
*   **C: Aby byla možná jednoduchá konverze do jiných formátů:** The passage doesn't mention anything about format conversion being easier due to overscan.
*   **D: Aby se odstranily titulky, které se nacházejí příliš u dolního okraje obrazovky:** This is a *result* of overscan, not the cause.



"
"Se kterými z následujících problémů se podle této pasáže člověk může setkat, když převádí film na DVD formát?","The correct answer is **B: Částečně ořezané titulky**.

Here's why:

The passage explicitly states: ""if the video subtitles are too close to the bottom edge, they won't show up completely."" This directly relates to partially cropped subtitles.

Let's look at why the other options are incorrect:

*   **A: Obraz není roztažený na celou obrazovku** - The passage discusses *overscan*, which is the opposite of not filling the screen. It's about the image being *too* large and getting cropped.
*   **C: Obraz je roztažený na celou obrazovku** - Same reasoning as A.
*   **D: Ořezané okraje** - While the passage mentions edges being cropped, the *problem* it focuses on is specifically how this affects subtitles. Ořezané okraje jsou příčina, ne problém, který řeší."
Kde se tam nacházela britská posádka?,"The correct answer is **C: V Bordentownu**.

The passage states: ""Generál John Cadwalder měl spustit útok proti britské posádce v Bordentownu..."" 

Therefore, the British garrison was located in Bordentown."
Čí podpis se objevil na ručně sepsaném konceptu?,"The correct answer is **D: Charlese Thomsona**.

The passage states: ""...návrh, který podepsal Předseda kongresu John Hancock a tajemník Charles Thomson..."" 

Therefore, Charles Thomson's signature was on the handwritten draft.
"
Kam z následujících míst dorazily Dunlapovy výtisky jako poslední?,"The correct answer is **C: Do Londýna**.

Here's why:

The passage states: ""Do Londýna se jedna z kopií dostala 10. srpna."" This is the latest date mentioned for the arrival of a Dunlap broadside.

Let's look at why the other options are incorrect:

*   **A: Do New Yorku** - Arrived July 9th.
*   **B: Do Dunlapova tiskařství** - This is where they were *made*, not where they were *sent*.
*   **D: Do Síně nezávislosti** - Publicly read July 8th.



"
Kde se nacházely jednotky plukovníka Starka?,"The correct answer is **A: Na severním konci, podél plotu**.

The text explicitly states: ""Starkovi lidé obsadili pozice podél plotu na severním konci pozice kolonistů."" 

Let's look at why the other options are incorrect:

* **B: Na pláži těsně u vody:** While they *extended* the plot to the beach, they weren't initially *located* there.
* **C: Na celém severovýchodu poloostrova:** The text only mentions them along the fence at the north end.
* **D: Před plotem:** They were *in front* of the fence by about 100 feet, but their initial position was *along* the fence.



"
Kdy podle dané pasáže prodloužili Starkovi muži plot?,"The correct answer is **C: Během odlivu**.

Here's why:

The passage states: ""Když odliv zpřístupnil prostor podél řeky Mystic na severovýchodě pevniny, rychle prodloužili plot o krátkou kamennou zeď..."" This directly links the extension of the fence to the occurrence of low tide.

Let's look at why the other options are incorrect:

*   **A: Když kolonisté zavolali posily** - While the passage mentions reinforcements being called, it doesn't say the fence was extended *when* they were called.
*   **B: Poté, co protivníci minuli kůl** - The passage states the kůl was there to *prevent* firing until the enemy passed, not that the fence was extended *after* they passed.
*   **D: Během toho, co vojáci zaujímali pozice vepředu** - The passage mentions the soldiers taking positions, but doesn't specifically tie the fence extension to that action.



"
Které z následujících časových období v historii Číny bylo podle této pasáže jedním z nejvíce násilných?,"The correct answer is **D: V epoše Tří království**.

The passage specifically states: ""Epocha tří království byla jednou z nejkrvavějších epoch v historii starověké Číny..."" 

Let's look at why the other options are incorrect:

*   **A: Za doby Dynastie Ťin:** The passage mentions the Ťin dynasty *after* the Three Kingdoms period, not as being particularly violent itself.
*   **B: Za éry Si-anu:** Si-an is a city (specifically, the location of the palace), not a time period. The passage says people died *fighting for the throne in* Si-an, but doesn't say the era itself was violent.
*   **C: Za doby Dynastie Han:** The Han dynasty is mentioned as being *before* the Three Kingdoms period, not as being particularly violent.



"
Co je podle této pasáže pravdou o přechodu kolonie mravenců legionářů do kočovné fáze?,"The correct answer is **B: Mají malé zásoby potravy**.

Here's why:

The passage states: ""Kolonie zahájí kočovnou fázi poté, co se sníží dostupnost potravy."" (The colony initiates the nomadic phase after the availability of food decreases.)

Let's look at why the other options are incorrect:

*   **A: V noci vytvářejí hnízda** - The passage says they *rest* during the day and *march* at night, not build nests.
*   **C: Budují hnízda, která se po 17 dnech mění** - They change nests *every day*, not every 17 days. The 17 days refers to the length of the nomadic phase itself.
*   **D: Pochodují za dne** - The passage specifically states they march at *night*.



"
