question,gemma3_reply
"Pasartearen arabera, zein ez litzateke izango akordeoia ondo jotzeko aholku zehatz bat?","The correct answer is **A: Bolumen gehigarria lortzeko, sakatu teklak indar handiagoz**.

Here's why:

The passage explicitly states that unlike a piano, you **don't** need to press the keys harder to get more volume on an accordion. Instead, you should use ""presio edo abiadura handiagoarekin"" (greater pressure or speed) with the bellows.  The other options are all directly supported by the text:

* **B:** The passage encourages minimizing unnecessary movements to avoid fatigue.
* **C:** The passage stresses keeping your hand relaxed while playing the notes correctly.
* **D:** The passage states that increased bellows pressure/speed creates more volume.



"
"Akordeoia jotzean, zeri esker lortuko duzu bolumen gehigarria?","The correct answer is **A: Abiadura handiagoa**.

The passage explicitly states: ""...akordeoiaren kasuan, bolumen gehigarria lortzeko, hauspoak presio edo **abiadura** handiagoarekin erabili behar dituzu."" (In the case of the accordion, to get more volume, you need to use the bellows with greater **speed** or pressure.)

Let's look at why the other options are incorrect:

* **B: Indar handiagoa:** The passage specifically says you *don't* need more force like with a piano.
* **C: Presio txikiagoa:** The passage mentions pressure *along with* speed.
* **D: Hatzen mugimendu txikiagoa:** This relates to efficiency and avoiding fatigue, not volume.



"
Zergatik dauzkate ertzak ebakita telebistako irudiek?,"The correct answer is **B: Horrela, irudiak pantaila osoa hartuko du**.

Here's why:

The text explicitly states that televisions cut off the edges of images ""Horregatik, ertzak ebaki zaizkio telebistan ikusten duzun guztiari (goian, behean, zein alboetan). Helburua da irudiak pantaila osoa betetzea"" - ""Therefore, the edges of everything you see on television are cut off (top, bottom, and sides). The goal is for the images to fill the entire screen.""

Let's look at why the other options are incorrect:

*   **A: Azpitituluak ikusteko** - While overscan *can* affect subtitles, it's not the primary reason for it.
*   **C: Beste formatu batzuetara erraz bihurtzeko** - The text doesn't mention anything about converting to other formats.
*   **D: Azpitituluak behealdetik hurbilegi ebakitzeko** - This is a *result* of overscan, not the reason for it.



"
"Pasartearen arabera, arazo hauetako zein izan genezake film bat DVD formatura bihurtzean?","The correct answer is **B: Azpitituluak partzialki ebakita daude**.

Here's why:

The passage specifically states that a common problem when converting film to DVD is overscan, which can cause subtitles to be cut off if they are too close to the bottom of the screen.

Let's look at why the other options are incorrect:

*   **A: Irudi batek ez du pantaila osoa hartzen:** The passage explains overscan *causes* the image to fill the screen, not the opposite.
*   **C: Irudi batek pantaila osoa hartzen du:** While overscan aims for this, it's not the *problem* described.
*   **D: Ertzak ebakita dauzka:** This is a description of overscan itself, not the resulting *problem* when converting to DVD, particularly as it affects subtitles."
Non zegoen garnizio britainiar bat kokatuta?,"The correct answer is **C: Bordentown**.

The passage states: ""John Cadwalder jeneralak despistatzeko erasoa joko zuen **Bordentownen** garnizio britainarraren aurka..."" (John Cadwalder general will play a feint attack against the British garrison at **Bordentown**...)

Let's look at why the other options are incorrect:

*   **A: Assunpink Creek** - Ewing aimed to control the bridge *over* Assunpink Creek, not where the garrison was located.
*   **B: Trenton** - Trenton was the starting point for the main assault, not where a garrison was.
*   **D: Princeton** - Princeton is not mentioned in this excerpt."
Noren sinadura zegoen eskuz idatzitako zirriborroan?,"The correct answer is **D: Charles Thomson-ena**.

Here's why:

The text states: ""...eskuz idatzitako eta John Hancock Kongresuko presidenteak eta Charles Thomson idazkariak sinatutako zirriborro bat..."" ( ""...a handwritten draft signed by John Hancock, President of the Congress, and Charles Thomson, Secretary..."").

Let's look at why the other options are incorrect:

*   **A: John Dunlap-ena:** John Dunlap was the printer, not a signer of the original draft.
*   **B: George Washington-ena:** George Washington received a copy *after* it was signed.
*   **C: John Nixon-ena:** John Nixon was the one who did the first public reading of a printed copy.



"
Nora iritsi zen azkenekoz Dunlap-en paper bat?,"The correct answer is **C: Londresera**.

Here's why:

The passage states: ""Abuztuaren 10ean, Londresera iritsi zen kopia bat."" (On August 10th, a copy arrived in London.)

Let's look at why the other options are incorrect:

*   **A: New Yorkera** - While a copy *was* read to George Washington's army in New York, that wasn't the *final* destination mentioned in the passage.
*   **B: Dunlap-en inprimategira** - The papers *originated* from there, but weren't its final destination.
*   **D: Independence Hall-era** - The first public reading was there, but it wasn't the last place a copy reached.



"
Non zeuden kokatuta Stark koronelaren soldaduak?,"The correct answer is **A: Iparraldeko muturrean, hesian**.

The text explicitly states: ""Starken gizonak kokatu ziren kolonoen kokapenaren **iparraldeko muturrean zegoen hesian**."" (Stark's men were located on the **northernmost end of the fence**.)

Let's look at why the other options are incorrect:

*   **B: Hondartza batean, uraren ertzean** - While the fence *ended* at a small beach, Stark's men weren't initially *on* the beach.
*   **C: Penintsularen ipar-ekialdean** - This describes the general area, but not the specific location of Stark's men.
*   **D: Hesiaren aurrean** -  A 100-foot area was set up *in front* of the fence, but Stark's men were *on* the fence itself.



"
"Pasartearen arabera, noiz luzatu zuten hesia Stark-en gizonek?","The correct answer is **C: Itsasbeheran**.

The passage states: ""Itsasbeherak Mystic ibaian hutsunea ireki zuenean, penintsularen ipar-ekialdean, hesia azkar luzatu zuten harrizko horma labur batekin..."" This directly links the extension of the fence to the low tide.



"
"Pasartearen arabera, zein izan da Txinako arorik odoltsuena?","The correct answer is **D: Hiru Erreinuen aroa**.

The passage explicitly states: ""Hiru Erreinuen aroa antzinako Txinako historiako garai odoltsuenetako bat izan zen"". The other options are either dynasties (Jin, Han) or a city (Xi’an) and are not identified as the bloodiest period."
