question,gemma3_reply
Mikä tekstikatkelman mukaan ei olisi oikea vinkki harmonikan soittamiseen?,"Oikea vastaus on **A: Lisäät äänenvoimakkuutta, kun painat näppäimiä voimakkaammin**.

Tekstissä nimenomaan sanotaan, että näppäimiä *ei* tarvitse painaa voimakkaasti suuremman äänenvoimakkuuden saavuttamiseksi, kuten pianolla. Äänenvoimakkuutta säädetään palkeilla.

Muut vaihtoehdot ovat tekstin mukaisia:

*   **B:** Teksti korostaa rentoutta ja vähäisiä liikkeitä väsymisen välttämiseksi.
*   **C:** Teksti kehottaa varmistamaan oikean painalluksen ja rentouden.
*   **D:** Teksti mainitsee palkeiden paineen ja nopeuden äänenvoimakkuuden säätelyn keinoina."
"Kun soitat harmonikkaa, mikä seuraavista auttaa sinua lisäämään äänenvoimakkuutta?","The correct answer is **A: Nopeuden lisääminen**.

The passage explicitly states: ""Harmonikkaan saa lisää äänenvoimakkuutta, kun käyttää palkeita suuremmalla paineella *tai nopeudella*."" 

Let's look at why the other options are incorrect:

* **B: Voiman lisääminen:** The passage specifically contrasts playing the harmonica with playing the piano, stating you *don't* need more force on the keys to get more volume.
* **C: Paineen vähentäminen:**  The passage states increasing pressure increases volume.
* **D: Sormien liikkeen vähentäminen:** While reducing unnecessary finger movement is good for efficiency, it doesn't directly affect volume. The passage focuses on bellows (palkeet) control for volume.



"
Miksi televisiossa olevien kuvien reunat on leikattu?,"The correct answer is **B: Jotta kuva täyttää koko ruudun**.

The passage explicitly states: ""Näin varmistetaan, että kuva täyttää koko näyttöruudun."" (This ensures that the image fills the entire screen.)

Let's look at why the other options are incorrect:

* **A: Tekstitysten vuoksi** - While overscan *can* cut off subtitles, that's a consequence, not the reason for overscan.
* **C: Jotta se voidaan muuntaa yksinkertaisesti muihin muotoihin** - The passage doesn't mention anything about format conversion being the reason for overscan.
* **D: Jotta liian lähellä alareunaa olevat tekstitykset voidaan leikata** - Again, cutting off subtitles is a result of overscan, not the purpose of it.



"
"Millaisia ongelmia saatat kohdata tekstikatkelman mukaan, kun muunnat elokuvan DVD-muotoon?","The correct answer is **B: Osittain leikkautuneet tekstitykset**.

Here's why:

The passage specifically states that ""if the video had subtitles too close to the bottom edge, they may not show up completely"" due to overscanning when converting to DVD.

Let's look at why the other options are incorrect:

*   **A: Kuvan, joka ei täytä koko ruutua:** The passage explains overscanning *causes* the image to fill the whole screen, not the opposite.
*   **C: Kuvan, joka täyttää koko ruudun:** This is the *result* of overscanning, not a problem encountered *during* the conversion.
*   **D: Reunat leikkautuvat:** While the passage discusses edges being cut off (overscanning), it specifically points to *subtitles* as the problem encountered during DVD conversion.



"
Missä brittiläinen varuskunta sijaitsi?,"The correct answer is **C: Bordentown**.

The passage states: ""Kenraali John Cadwalderin oli tarkoitus aloittaa harhautushyökkäys **Bordentownin** brittiläistä varuskuntaa vastaan..."" 

Therefore, the British garrison was located in Bordentown."
Kenen allekirjoitus näkyi käsinkirjoitetussa kappaleessa?,"The correct answer is **D: Charles Thomsonin**.

The passage states: ""Sen jälkeen, kun kongressi oli 4. heinäkuuta hyväksynyt sen, kongressin puheenjohtajan John Hancockin ja sihteerin Charles Thomsonin allekirjoittama käsinkirjoitettu kappale lähetettiin sitten..."" This directly states that Charles Thomson signed the handwritten copy.

Let's look at why the other options are incorrect:

*   **A: John Dunlapin** - John Dunlap was the printer, not a signer.
*   **B: George Washingtonin** - George Washington received a copy but didn't sign the original.
*   **C: John Nixonin** - John Nixon read the document aloud, but didn't sign it."
Minne Dunlapin avoarkki saapui viimeisenä?,"The correct answer is **C: Lontooseen**.

The text states: ""Yksi kappale ehti Lontooseen 10. elokuuta."" (One copy reached London on August 10th). This indicates London was the last place mentioned where a Dunlap broadside arrived.

Let's look at why the other options are incorrect:

* **A: New Yorkiin** - It arrived in New York before London.
* **B: Dunlapin kirjapainoon** - That's where they were *printed*, not where they ultimately arrived.
* **D: Independence Halliin** - It was read there publicly, but that wasn't its final destination.



"
Missä eversti Starkin joukot sijaitsivat?,"The correct answer is **A: Pohjoisosassa, aidan vieressä**.

The text states: ""Starkin miehet kävivät asemiin aidan viereen siirtokuntalaisten aseman pohjoispäässä."" This directly answers the question.

Let's look at why the other options are incorrect:

*   **B: Rannalla, veden äärellä** - While they *extended* the fence *to* a small beach, they weren't initially *on* the beach.
*   **C: Niemen koillispuolella** - They were near the northeast side of the peninsula, but their position was specifically *by the fence* on the north end of the colonial line.
*   **D: Aidan edessä** - They placed a pole *in front of* the fence, but they weren't *positioned* in front of it; they were *beside* it.



"
Milloin Starkin miehet pidensivät aitaa tekstikatkelman mukaan?,"The correct answer is **C: Laskuveden aikana**.

The text states: ""Kun laskuvesi avasi aukon Mystic Riverin varrelle niemimaan koillispuolelle, he pidensivät nopeasti aitaa pohjoiseen..."" This directly links the extension of the fence to the receding tide (laskuvesi).

Let's look at why the other options are incorrect:

*   **A: Kun siirtokuntalaiset kutsuivat vahvistuksia** - While reinforcements *arrived* before the fence was extended, the text doesn't say the extension happened *because* of the call for reinforcements.
*   **B: Kun sotilaat ohittivat paalun** - The paalu (post) was put in place *after* the fence was extended, to control *when* they fired, not to trigger the extension.
*   **D: Kun joukot lähtivät etenemään** - The text doesn't mention any movement of troops triggering the fence extension.



"
Mikä seuraavista oli tekstikatkelman mukaan Kiinan väkivaltaisin ajanjakso?,"The correct answer is **D: Kolmen kuningaskunnan aika**.

The passage explicitly states: ""Kolmen kuningaskunnan kausi oli yksi muinaisen Kiinan historian verisimmistä aikakausista."" (The Three Kingdoms period was one of the bloodiest eras in ancient Chinese history.)

Let's look at why the other options are incorrect:

*   **A: Jin-dynastia:** The passage mentions the Jin dynasty *in relation* to the Three Kingdoms period, but doesn't state it was the most violent.
*   **B: Xi’an-kausi:** Xi'an is mentioned as the location of the palace, but there's no mention of a ""Xi'an period"" being particularly violent.
*   **C: Han-dynastia:** The Han dynasty is mentioned as preceding the Three Kingdoms period, but is not identified as the most violent."
