question,gemma3_reply
"Passage ke hisab se, accordion ache se bajaane ki kaun si sabse sahi tip nhi kehlayegi?","The correct answer is **D: Atirikt volume praapt karne ke liye apni gati badhayein.**

Here's why:

The passage specifically states: ""**accordion par, atirikt volume praapt karne ke liye, aap kuhni ka upyog adhik dabaav ya gati ke saath karte hain.**"" (To get extra volume on the accordion, use your elbow with more pressure or *motion*). However, it also says, ""**Yeh bhi prayaas karein ki aapki ungaliyaan atyadhik gatiwan naa ho.**"" (Also try to make sure your fingers aren't overly fast).  Therefore, increasing speed is *not* the recommended way to increase volume, and the passage actually cautions *against* excessive finger movement.

Let's look at why the other options *are* correct tips according to the passage:

*   **A: Zyada aawaaz ke liye kunji ko zyada dabaav ke sath dabaayein:** The passage explicitly says this is *not* how to get more volume on an accordion (unlike a piano).
*   **B: Apna stamina barkarar rakhne ke liye bevajah ka movement kam se kam karein:** The passage advises to keep your hand as steady as possible and avoid unnecessary finger movement to conserve energy (""jitna ho sakega, apne ko thaka lenge"").
*   **C: Sthir hath rakhte hue notes bajate hue dhyan dein:** The passage directly states, ""**Sunishchit karein ki aapka haath sabhi notes ko sahi se bajaate hue bhi jitna ho sake, utna sthir hai**"" (Ensure your hand is as steady as possible while playing all the notes correctly).



"
"Accordion bajate hue, inmein se kya volume ko badhane mein madad karega?","The correct answer is **B: Zyada dabaav**.

Here's why:

The passage explicitly states: ""Accordion par, atirikt volume praapt karne ke liye, aap kuhni ka upyog adhik dabaav ya gati ke saath karte hain."" (On the accordion, to obtain additional volume, you use the bellows with more pressure or motion.)

Let's look at why the other options are incorrect:

*   **A: Zyada gati** (More motion) - The passage mentions motion *along with* pressure, but pressure is specifically highlighted as a way to increase volume.
*   **C: Kam dabaav** (Less pressure) - This would decrease volume.
*   **D: Ungliyon ka kam gatiwaan hona** (Fingers being less active) - The passage actually advises against excessive finger movement.



"
Television par dikhne wali images ki seemaayein kyu cut jaati hain?,"The correct answer is **B: Image puri screen par dikhe**.

The passage explicitly states: ""Ise yah sunishchit karne ke liye banaaya gaya taaki tasveer puri screen ko cover kare."" (It was created to ensure the image covers the entire screen). This is the reason for overscan and cutting the edges of the image.

Let's look at why the other options are incorrect:

*   **A: Subtitles dikh jaye** - The passage actually states that subtitles can *be cut off* due to overscan.
*   **C: Dusre formats mein aasaani se conversion ke liye** - The passage doesn't mention anything about easy conversion to other formats.
*   **D: Nichle bhaag ke atyadhik pas subtitles cut ho** - This is a *result* of overscan, not the *reason* for it.



"
"Passage ke hisaab se, movie to DVD format mein badalne mein kisi bhi vyakti ko inmein se kaun si dikkat aa sakti hain?","The correct answer is **D: Seemaayein cut jayein**.

Here's why:

The passage explicitly states: ""jab aap ek DVD bante hain, toh adhik sambhavana hai ki seemaayein cut jaayengi"". This directly addresses the problem encountered when converting a movie to DVD format.

Let's look at why the other options are incorrect:

*   **A: Aisi image jo puri screen par na dikhe:** While overscan *causes* parts of the image to be cut off, it doesn't mean the entire image won't be visible.
*   **B: Aadhe cut hue subtitles:** The passage mentions subtitles being affected *because* the bottom margin is cut, but the primary problem is the margin cut itself.
*   **C: Aisi image jo puri screen par dikhe:**  This is the *intention* of overscan in televisions, but the problem when converting to DVD is that the image is cut *to* fit the screen, not that it naturally fits.



"
British garrison kahan istith tha?,"The correct answer is **C: Bordentown**.

The passage states: ""General John Cadwalder will begin a diversionary attack against the British garrison in Bordentown to prevent any of their reinforcements."" This directly indicates the British garrison was located in Bordentown."
Hath se likhe masaude par kiske hastakshar kiye gaye the?,"The correct answer is **D: Charles Thomson**.

Here's why:

The passage states: ""...ek haath se likhe gaye masaude par congress ke adhyaksh John Hancock **aur sachiv Charles Thomson** dwara hastakshar kiye gaye the..."" ( ""...on a handwritten draft were signed by the president of Congress John Hancock and secretary Charles Thomson..."")

Therefore, Charles Thomson was one of the people who signed the handwritten draft.

Let's look at why the other options are incorrect:

*   **A: John Dunlap:** He printed the broadsides, he didn't sign the original draft.
*   **B: George Washington:** He *received* a copy and read it to his troops.
*   **C: John Nixon:** He did the first public reading of the document.



"
Di gayi location mein se Dunlap broadside aakhiri baar kahaan pahuchi thi?,"The correct answer is **C: London**.

Here's why:

The passage states: ""Uski ek copy 10 August ko london pahunchi."" (One copy reached London on August 10th.) This indicates that London was the final location mentioned where a Dunlap broadside arrived.

Let's look at why the other options are incorrect:

*   **A: New York:** While a broadside was *read* in New York, it wasn't the final destination mentioned in the text.
*   **B: Dunlap ki printing ki dukaan (Dunlap's printing shop):** The broadsides were *made* there, but not their final destination.
*   **D: Independence Hall:** It was the location of the first public reading, but not the final location of a copy.



"
Colonel Stark ke sainikon ka morcha kahan maujood tha?,"The correct answer is **A: Uttari chor par baad ke saath** (On the northern shore with the rear).

The text states: ""Stark ke aadmiyon ne upniveshvadiyon ki isthiti ke **uttari chor par baad ke saath-saath** apna morcha sambhala."" This directly translates to ""Stark's men handled their front on the **northern shore with the rear** of the colonial position.""

Here's why the other options are incorrect:

* **B: Samudra tat ke kinare par** (On the ocean shore) - While they eventually extended their line *towards* the ocean shore, their initial position wasn't *on* it.
* **C: Praaydweep ke uttar-poorva mein** (Northeast of Praaydweep) - This is a general location, but doesn't specify *where* on the northeast side their front was.
* **D: Baad ke saamne** (In front of the rear) - This is vague and doesn't describe their position as accurately as option A.



"
"Passage ke anusaar, Stark ke admiyoon ne baad ko aage badhaya?","The correct answer is **B: Sainikon ke nikal jane tak**.

Here's why:

The passage states: ""Gridley ya Stark ne baad ke aage 100 feet (30 meter) tak ek khoonta lagaa rakhaa tha aur order diya tha ki sainikon ke nikal jaane tak koi bhi goli nahin chalaayega.""  This directly translates to ""Gridley or Stark had placed a stake 100 feet (30 meters) beyond the barrier and ordered that no shots be fired until the soldiers had retreated.""

Let's look at why the other options are incorrect:

* **A: Upniveshvadiyon ke balvriddhi ke liye bulane par** - While Stark was called for reinforcements, the passage doesn’t state he advanced the barrier *because* of this.
* **C: Kaam bahav ke dauraan** - The passage mentions a low water flow, but doesn't link it to the barrier's advancement.
* **D: Sainikon ke agrim morche par sochne par** - This option is not mentioned in the passage.



"
"Passage ke anusaar, inmein se kaun sa yug Cheen ka sabse khooni yug tha?","The correct answer is **D: Three Kingdoms wala yug**.

The passage explicitly states: ""The Three Kingdoms was one of the bloodiest periods in ancient Chinese history, with thousands of people dying to fight for the highest seat in the grand palace in Xian."" 

Let's look at why the other options are incorrect:

*   **A: Jin Rajvansh:** The passage mentions the Jin dynasty *in relation* to the Three Kingdoms period, but doesn't describe it as the bloodiest.
*   **B: Xi yug:** This period isn't mentioned in the passage.
*   **C: Han rajvansh:** The passage doesn't specify the Han dynasty as the bloodiest, it only states that the instability occurred *within* dynasties.



"
