question,gemma3_reply
"Az alábbiak közül melyik gyorsabb, mint elődei?","A helyes válasz: **A: 802.11n**

A szöveg egyértelműen azt állítja: ""A 802.11n sebesség lényegesen gyorsabb, mint elődeinél...""  A többi lehetőség (802.11b, 802.11g, 802.11a) mind elődei a 802.11n-nek, tehát nem lehetnek gyorsabbak nála.
"
"Mi szükséges ahhoz, hogy a 802.11n fordított irányban kompatibilis legyen a 802.11b-vel?","A helyes válasz a **D: Kettős rádió**.

A szövegben szerepel, hogy a 802.11n fordított irányban kompatibilis a korábbi szabványokkal (beleértve a 802.11b-t is), *feltéve, hogy a bázisállomás kettős rádióval rendelkezik*. Ez azt jelenti, hogy a bázisállomásnak képesnek kell lennie a 2.4 GHz-es és az 5.0 GHz-es frekvenciák egyidejű használatára.

A többi válaszpont helytelen, mert:

*   **A: Jelentősen nagyobb sebesség:** Bár a 802.11n gyorsabb, a kompatibilitás nem a sebességen múlik.
*   **B: A 802.11b 5,0 GHz-en való működésének képessége:** A 802.11b csak 2.4 GHz-en működik.
*   **C: 600 Mbit/s átviteli sebesség:** Ez a 802.11n maximális sebessége, nem feltétele a kompatibilitásnak."
Hány versenyszámban kellett volna úsznia az olimpiai aranyérmesnek a Nemzetközösségi Játékokon?,"The correct answer is **D: Négy**.

Here's why:

* The passage states the swimmer was scheduled to compete in 100m and 200m freestyle (2 events).
* It also mentions three relay races.
* 2 + 3 = 5 

However, the question asks how many events they *were going to* swim, not how many they actually did. Since the relay team is often made up of 4 swimmers, they are counted as one event for the individual swimmer. 

Therefore, 2 individual events + 2 relay events = 4 events.



"
Miért nem szedett gyógyszert az olimpiai aranyérmes a fájdalmaira?,"The correct answer is **D: Nem megengedett a nemzetközösségi játékokon** (Not allowed at the Commonwealth Games).

The passage explicitly states: ""Nem tudta beszedni azokat a gyógyszereket, melyek a fájdalom legyőzéséhez kellettek, mivel **tiltva vannak a játékoktól**."" (He couldn't take the medications needed to overcome the pain, as they are **banned from the games**.)

Let's look at why the other options are incorrect:

*   **A: Nem voltak fájdalmai** (He had no pain) - The passage states he *had* pain and needed medication for it.
*   **B: Rosszul érezte magát tőle** (He felt sick from them) - The passage doesn't mention any side effects.
*   **C: Aggódott, hogy ez negatív hatással lesz a fizikai teljesítményére** (He worried it would negatively affect his physical performance) - While possible, the passage directly states the reason is the ban on the drugs.



"
A szöveg szerint mi okozhatta a földrengésekkel kapcsolatos zavart?,"The correct answer is **A: A sötét felhők jelenléte**.

Here's why:

The text explicitly states: ""The dark clouds at the base of the mountain are reported, not associated with any volcanic activity. The clouds are potential confounding factors in whether an eruption has occurred.""  This directly links the clouds to causing confusion or uncertainty about whether an eruption (and thus potentially a related earthquake) happened.

Let's look at why the other options are incorrect:

* **B: Az Izlandi Meteorológiai Hivatal jelentései** - The text says the office *didn't* report an earthquake, but this isn't the *cause* of the confusion, just a data point.
* **C: A nemzetközi földrengéstérkép** - Similar to B, the map not showing the earthquake is a lack of information, not the source of the confusion.
* **D: Izland más területeiről jelentett tevékenység** - The text doesn't mention any activity elsewhere in Iceland.



"
A szöveg szerint mikor történt a fázisátalakulás?,"The correct answer is **C: Március 10-én**.

The text specifically states: ""A fázisátalakulást eredményező jelentős földrengés március 10-én, a vulkán északkeleti csúcskalderáján történt."" (A significant earthquake resulting in phase transition occurred on March 10th, on the volcano's northeastern summit caldera.)"
Az alábbi állítások közül melyik nem igaz a Chandrayaan–1 holdszondával kapcsolatban?,"A helyes válasz **A: A szondát felbocsátó keringő műholdnak volt legénysége**.

A szöveg egyértelműen azt mondja, hogy a Chandrayaan-1 **pilóta nélküli** műhold volt. Ezért az állítás, hogy legénysége volt, nem igaz.

A többi állítás helyes:

* **B:** A szöveg azt mondja, hogy a szonda három fontos tudományos eszközt szállított.
* **C:** A szöveg azt mondja, hogy a leszállás (kilövés) sikeres volt.
* **D:** A szöveg azt mondja, hogy a szonda oldalaira az indiai nemzeti zászló képét festették.
"
Az alábbi állítások közül melyik jellemzi pontosan a holdszondát?,"The correct answer is **B: A kemény leszállás sikeres volt**.

Here's why:

* **The passage explicitly states:** ""...sikeres kemény landolást hajtott végre a Hold déli pólusánál."" (successfully performed a hard landing near the south pole of the Moon).

Let's look at why the other options are incorrect:

* **A: A Hold északi pólusa közelében landolt:** The passage states it landed near the *south* pole, not the north pole.
* **C: Egy legénységgel rendelkező keringő műholdból lőtték ki:** The passage says it was launched from a *pilóta nélküli* (unmanned/pilotless) orbiting satellite.
* **D: Két kulcsfontosságú eszközt szállított:** The passage mentions *három fontos tudományos eszköz mellett* (along with three important scientific instruments), meaning it carried more than two.



"
A szöveg alapján a betegség elleni védekezés mely intézkedését vezetik be utoljára?,"A helyes válasz a **C: Agyvelőgyulladás elleni oltások**.

A szöveg egyértelműen azt állítja, hogy a kormány *ígérte* a többmillió fiola agyvelőgyulladás elleni oltást, de a történelmileg leginkább érintett területek oltása elhalasztásra került, mivel nem állt rendelkezésre elég pénz és alacsonyabb prioritást élvezett. Ez azt jelenti, hogy az oltások bevezetése a legutolsó lépés, ami még nem valósult meg.

A többi intézkedés (peszticidek, sertéscsapdák, szúnyogfüggönyök) már megvalósult, a szöveg szerint.
"
Hogyan terjed át a betegség az emberre?,"A helyes válasz: **A: Szúnyogok**

A szöveg egyértelműen kimondja: ""A betegséget sertések hordozzák, amelyek **szúnyogokon keresztül** az emberekre is átterjednek.""
"
Milyen eredményre vezethet a második mondattal kapcsolatos kudarc?,"The correct answer is **B: Az azonos neműek polgári házasságához való jövőbeli jog**.

Here's why:

The text states: ""A második mondat elbukása valószínűleg a jövőben megnyithatja az utat a civil szakszervezetek számára.""  ""Civil szakszervezetek"" in this context refers to organizations advocating for same-sex marriage.  The failure of the amendment banning same-sex civil unions likely *allows* for future progress towards same-sex marriage rights.

Let's look at why the other options are incorrect:

*   **A: A HJR-3 azonnali felülvizsgálata:** While the text mentions future review of HJR-3, the *failure of the second sentence* isn't what triggers immediate review.
*   **C: Rendkívüli törvényhozási ülésszak:** The text doesn't suggest an emergency session is needed.
*   **D: Az azonos neműek polgári házasságának megtiltása:** The failure of the amendment *removes* a potential ban, not reinforces one.



"
A szöveg szerint mikor törölték a második mondatot?,"The correct answer is **A: A törvényhozási ülésszak során** (During the legislative session).

Here's why:

The text states: ""Ezen ülésszak során megváltoztatták, amikor a második mondatot először a képviselőház törölte..."" which translates to ""It was changed during this session when the second sentence was first deleted by the House...""

Let's look at why the other options are incorrect:

* **B: 2011-ben** - While the amendment was *approved* in 2011, the second sentence was deleted *during* a later session.
* **C: Hétfőn** - Monday is when the Senate approved a similar form of the amendment, not when the sentence was deleted.
* **D: 2015-ben** - 2015 is when the review is *scheduled* to happen, not when the deletion occurred.



"
Kinek szivárogtak ki a „Panama-akták”?,"The correct answer is **A: Mossack Fonseca ügyvédi iroda**.

The passage states the Panama Papers *originated from* the Mossack Fonseca law firm and *leaked to the press*. Therefore, the documents came from the law firm.

Here's why the other options are incorrect:

*   **B: Sajtó (Press)** - The press *received* the leak, they didn't originate it.
*   **C: Deutsche Bank** - Deutsche Bank was involved in *using* shell companies, but didn't leak the documents.
*   **D: Izland kormányának vezetői (Iceland's government leaders)** - They were affected *by* the leak, causing them to resign, but didn't leak the documents themselves.



"
A szöveg alapján a brit sajtó szerint ki irányította a vagyon eltitkolására használt cégek nagy részét?,"A helyes válasz a **C: Deutsche Bank**.

A szövegben egyértelműen szerepel, hogy ""A The Guardian brit újság szerint a Deutsche Bank irányította az ennek eléréséhez használt 1200 fedővállalat nagyjából kétharmadát.""
"
Az alábbi repülőgép-balesetek közül melyik járt a legtöbb halálos áldozattal?,"The correct answer is **A: Az Iránból Örményországba tartó lezuhant repülő**.

The passage states that the plane crash heading to Armenia resulted in the deaths of all 168 passengers, which is significantly more than the other accidents mentioned (3 deaths in the helicopter crash and 17 in the Mashhad incident)."
Az alábbiak közül melyik nem oka az Iránban bekövetkező légi balesetek nagy számának?,"The correct answer is **B: Az új repülőgépek beszerzését lehetővé tevő költségkeret hiánya**.

Here's why:

* **The passage states that international sanctions prevent Iran from *buying* new airplanes.** This is a direct barrier to acquiring new planes.  A lack of a budget to *spend* on planes is implied by the sanctions, but the sanctions themselves are the primary reason.

Let's look at why the other options are correct reasons for the high number of air accidents:

* **A: Polgári és katonai repülőgépek régi flottája (Old fleet of civilian and military aircraft):** The passage explicitly states Iran has an aging fleet.
* **C: Új repülőgépek vásárlását megakadályozó szankciók (Sanctions preventing the purchase of new airplanes):**  The passage directly mentions sanctions as preventing new plane purchases.
* **D: Rosszul karbantartott repülőgépflotta (Poorly maintained aircraft fleet):** The passage also states the fleet is poorly maintained.



"
Az alábbiak közül melyik nem szerepelt az iraki tudományos csoport jelentésében?,"The correct answer is **B: Nyilatkozat arról, hogy bizonyos változtatásokkal elkerülhető a növekvő erőszak Irakban**.

Here's why:

The passage explicitly states: ""senki sem tudja garantálni, hogy bármilyen lépés Irakban ezen a ponton megállítja a felekezeti háborút, a növekvő erőszakot vagy a bekövetkező káoszt."" This means the report *does not* offer assurances that changes will prevent violence. It's a pessimistic assessment, not an optimistic one.

Let's look at why the other options *are* in the report:

*   **A: A jelenlegi politikával szembeni kritika** - The text states the report ""erősen bírálja a végrehajtó hatalom Irakkal szembeni aktuális politikájának szinte minden pontját"".
*   **C: Ajánlások Irak határainak biztosítására** - The report's first recommendation is ""új diplomáciai kezdeményezés szükséges...Irak határainak biztosítása érdekében"".
*   **D: Az amerikai konszenzus szorgalmazása** - The report ""konszenzus kialakítására szólít fel az USA közel-keleti politikájával kapcsolatban.""



"
Az alábbiak közül melyiket nem sürgette jelentésében az iraki tudományos csoport?,"The correct answer is **A: Garanciát kell vállalni az erőszak terjedésének megállítására**.

Here's why:

The passage explicitly states: ""senki sem tudja garantálni, hogy bármilyen lépés Irakban ezen a ponton megállítja a felekezeti háborút, a növekvő erőszakot vagy a bekövetkező káoszt."" This means the report *doesn't* claim to be able to guarantee a stop to the violence, and in fact acknowledges the impossibility of such a guarantee.

Let's look at why the other options *are* supported by the text:

*   **B: Azonnali irányváltás:** The report ""sürget azonnali irányváltást.""
*   **C: A nyílt vita alkalmazása:** The report ""kezdeményez egy nyílt vitát"" and ""konszenzus kialakítására szólít fel.""
*   **D: Egy új diplomáciai kezdeményezés kidolgozása:** The report recommends ""új diplomáciai kezdeményezés szükséges ez év vége előtt.""



"
