question,gemma3_reply
"Hashingiwe ku nyandiko, ni iki kitafatwa nk’inama nziza yo gucuranga neza akorudewo?","The correct answer is **A: Gukanda utubuto n'imbaraga nyinshi kugira ngo wongere amajwi**.

Here's why:

The text specifically states: ""Wibuke ko nta mpamvu yo gukanda utubuto n'imbaraga nyinshi kugira ngo wongere amajwi..."" which translates to ""Remember there's no reason to press the buttons with a lot of force to increase the volume...""  This clearly indicates it's *not* good advice.

The other options are all presented as positive instructions or techniques within the text:

*   **B:** ""Ntugerageze gukora ibintu byinshi byananiza intoki zawe"" - ""Don't try to do things that strain your fingers.""
*   **C:** ""Reba neza niba ukuboko kwawe koroheje bishoboka mu gihe ukanda ku manota"" - ""Make sure your hand is relaxed as much as possible when pressing the notes.""
*   **D:** ""Wongere umuriro, ukoresha ibintu bikurikira ukoresheje umuvumba mwinshi cyangwa umuvuduko"" - ""To increase the fire, use the following things using a lot of dust or speed.""



"
"Igihe ucuranga korudewo, ni iki mu bikurikira kizagufasha kongera amajwi?","The correct answer is **A: Kongera umuvuduko** (Increase the speed).

Here's why:

The passage (P) specifically states: ""Kuri Korudewo, kugira ngo wongere umuriro, ukoresha ibintu bikurikira ukoresheje **umuvumba mwinshi cyangwa umuvuduko**"" which translates to ""On Korudewo, to increase the sound, you use the following by using **more dampening or speed**.""

Let's look at why the other options are incorrect:

*   **B: Imbaraga nyinshi** (A lot of force) - The passage explicitly says *not* to use a lot of force.
*   **C: Umuvumba muke** (Little dampening) - The passage mentions *more* dampening as an option, not less.
*   **D: Gukoresha intoki woroheje** (Using relaxed fingers) - While good technique, it doesn't directly relate to *increasing* the sound on Korudewo according to the text.



"
Kubera iki ikintu cyose ubona kuri televiziyo kiba gikaswe umuzenguruko?,"The correct answer is **B: Kugira ngo umenye neza ko ishusho yose ikwiriye muri ekara**.

Here's why:

The text explicitly states: ""Ibi bikorwa kugira ngo umenye neza ko ishusho yose ikwiriye muri ekara."" (This is done so you can be sure that the entire image fits within the screen).

Let's look at why the other options are incorrect:

* **A:** While the text mentions issues with things near the bottom being cut off, the *reason* for cropping isn't to *have* information near the bottom.
* **C:** Cropping is a step *in* making a DVD, but not the reason it exists in the first place.
* **D:** This is a consequence of the cropping, not the reason for it.



"
"Hashingiwe ku nyandiko, ni ikihe mu bibazo bikurikira umuntu ashobora guhura na cyo igihe ashyira filimi kuri DVD?","The correct answer is **A: Imwe mu bice by'amashusho bitagaragara**.

Here's why:

The passage explicitly states: ""Kimwe mu bibazo bikunze kugaragara kurusha ibindi iyo ugerageza guhindura filimi mu buryo bwa DVD ni uko **imwe mu bice by'amashusho bitagaragara**."" (One of the most common problems when trying to convert a movie to DVD format is that **some parts of the image are not visible**.)

Let's look at why the other options are incorrect:

*   **B: Ibisobanuro bigabayijemo kabiri** - The passage doesn't mention anything about duplicated details.
*   **C: Ishusho yose ikwiriye muri ekara** - The passage says this *happens* to televisions, not as a problem with DVD conversion. It's part of the original broadcast, and the DVD process can *cut off* that part.
*   **D: Gikaswe umuzenguruko** - While the passage explains that images are often cropped, it states that this cropping is *lost* when making a DVD, leading to the problem of missing image parts. It's not the problem itself, but a characteristic of the source that can *cause* a problem when converting to DVD.



"
Inkambi y’Abongereza yari he?,"The correct answer is **C: Bordentown**.

The text states: ""Jenerali John Cadwalder yagabye igitero cyo kurangaza ku nkambi y’Abongereza i **Bordentown**..."" 

Therefore, the British camp was located in Bordentown."
Umushinga wandikishijwe intoki washyizweho umukono na nde?,"The correct answer is **A: John Dunlap**.

Here's why:

The text states: ""umushinga wandikishijwe intoki washyizweho umukono na Perezida wa Kongere John Hancocki n’umunyamabanga **John Dunlap**..."" (The drafted declaration was signed by President of Congress John Hancock and secretary **John Dunlap**...)

Let's look at why the other options are incorrect:

*   **B: George Washington** - He *received* a copy and read it to his troops, but didn't sign the original draft.
*   **C: John Nixon** - He read the declaration publicly, but didn't sign it.
*   **D: Charles Thomson** - This name isn't mentioned in the text.



"
"Mu hantu hakurikira, ni he amatangazo ya Danilapu yageze nyuma?","The correct answer is **C: London**.

The text states: ""Kopi yayo yageze i London kuwa 10 Kanama."" (A copy of it arrived in London on August 10th).

Let's look at why the other options are incorrect:

* **A: New York** - While the declaration was read to the troops in New York, it doesn't say the Dunlap broadsides *arrived* there.
* **B: Icapiro rya Dunlap** - The broadsides were *made* at Dunlap's printing shop, but the question asks where they went *after*.
* **D: Ikibuga cy’Inzu y’Ubwigenge** - The declaration was first publicly read there, but it doesn't say the broadsides went there.



"
Ingabo za koloneri Stark zari he?,"The correct answer is **A: Zafashe ibirindiro ku rukuta ku mpera y’amajyaruguru y’ibirindiro by’Abakoloni**.

The text specifically states: ""Ingabo za Stark zafashe ibirindiro ku rukuta ku mpera y’amajyaruguru y’ibirindiro by’Abakoloni."" (Stark's troops took the fortifications on the wall at the northern end of the Colonial fortifications.)

Let's look at why the other options are incorrect:

* **B: Ku nkengero y’amazi ku nkombe ntoya** - This describes where the wall extended *to*, not where Stark's troops were located.
* **C: Amajyaruguru y’iburasirazuba bw’umwigimbakirwa** - This refers to the location of a breach in the Mystic River, near the fort.
* **D: Ku rukuta ku mpera** - This is too vague. The text specifies the *northern end* of the fortifications.



"
"Hashingiwe ku nyandiko, abantu ba Stark baguye urukuta ryari?","The correct answer is **B: Kugeza abahatuye bahatambutse**.

Here's why:

The text states: ""Gridley cyangwa Stark yashyize kuri fiti 100 (30 m) imbere y’urukuta kandi ategeka ko nta wurasa kugeza abahatuye bahatambutse."" This directly translates to ""Gridley or Stark put a limit of 100 feet (30 m) in front of the wall and ordered that no one shoot until they passed through it."" 

This means the wall was held/not fired upon until the enemy was close enough to pass it.

Let's look at why the other options are incorrect:

*   **A: Ubwo abakoloni basabaga izindi ngabo** - The text mentions the request for reinforcements, but doesn't connect it to when the wall was held.
*   **C: Igihe umuvumba waciye icyuho** - The text says they *repaired* the wall when a breach was made, not when it was initially held.
*   **D: Ubwo ingabo zafataga ibirindiro bigana imbere** - While Stark's troops took the initial position, the text doesn't specify that holding fire was related to taking the position. It relates to a specific tactic once they were in place."
"Hashingiwe ku nyandiko, ni ikihe mu bihe by’Ubushinwa cyabayemo intambara ikomeye?","The correct answer is **D: Igihe cya Three Kingdoms**.

The text explicitly states: ""Igihe cya Three Kingdoms cyari kimwe mu gihe cyamenetsemo amaraso mu mateka y'Ubushinwa bwa kera abantu ibihumbi bapfuye barwanira kwicara ku ntebe z’icyubahiro mu ngoro nkuru ya Xi'an."" This directly connects the Three Kingdoms period to a time of significant warfare.

Here's why the other options are incorrect:

*   **A: Ingoma Jin:** The text mentions the Jin dynasty *after* the Three Kingdoms period.
*   **B: Mu ngoro nkuru ya Xi'an:** This is a *location* where battles were fought, not a time period.
*   **C: Ingoma ya Han:** The text mentions the Han dynasty *before* the Three Kingdoms period."
