question,gemma3_reply
"Үзүндүгө таянсак, кээ бир адамдар төмөндөгүлөрдүн кайсынысына ишенишет?","Correct answer: **C: Башка планеталарда жашоо бар**

**Explanation:**

The passage specifically states: ""айрымдары болсо башка планетада чоочундар же башка нерселер жашашы мүмкүн деп ишенишет"" (some believe that aliens or other things may live on other planets). This directly corresponds to option C.

Let's look at why the other options are incorrect:

*   **A: Адамдар башка жылдыздарга саякат кылышкан** - The passage talks about *dreaming* of traveling to other stars, but doesn't state that it has already happened.
*   **B: Адамдар башка дүйнөлөрдү изилдөөгө кудуреттүү эмес** - The passage discusses the immense distances between stars, implying challenges, but doesn't definitively say it's impossible.
*   **D: Жылдыздардын ортосунда триллиондогон милядан азыраак аралык бар** - The passage says the distance is *trillions of kilometers* – this contradicts option D."
Күндүн борборунан алыстаган сайын эмне суюла баштайт?,"Correct answer: **C: Газ**

The passage states: ""Күндүн борборунан алыстаган сайын газ суюла баштайт."" which translates to ""As you move away from the center of the Sun, gas begins to liquefy."""
Үзүндү боюнча Күндүн кайсы бөлүгү Жерден көрүнүп турат?,"The correct answer is **C: Фотосферасы**.

The passage explicitly states: ""Күндү караганда көрүнө турган сырткы бөлүгү """"жарыктын тобун"""" билдирип, фотосфера деп аталат."" (The outer part that is visible when looking at the Sun is called the photosphere, which means ""sphere of light"").

Let's look at why the other options are incorrect:

*   **A: Кыртышы** (Crust) - The passage states the Sun *doesn't* have a crust like Earth.
*   **B: Плазмасы** (Plasma) - While the Sun is made of plasma, it's not the part we *see*.
*   **D: Борбору** (Core) - The core is inside the Sun and not visible."
Төмөндөгү байкоолордун кайсынысы Коперниктин теориясын ырастоого жардам берген?,"Туура жооп: **A: Венеранын фазалары**

Текстте Венеранын фазалары Коперниктин планеталар Күндү тегеренип өтөт деген теориясына туура келишээри айтылат. Венеранын өткөнү да Коперниктин теориясынын далили болгон, бирок текстте атайын Венеранын фазалары жөнүндө айтылган."
Төмөнкүлөрдүн кайсынысын 1610-жылы Галилео Галилей байкаган?,"Тексттен көрүнүп тургандай, Галилео Галилей 1610-жылы Венеранын фазаларын байкаган. Ошондуктан, туура жооп:

**B: Венеранын фазалары**
"
Үзүндү боюнча Амазонка дарыясына суу кайдан кирет?,"Туура жооп: **A: Кичинекей дарыялардан**

Текстте мындай деп айтылган: ""Ага миңдеген кичи дарыялар кирет."" Ошондуктан Амазонка дарыясына суу кичинекей дарыялардан келет."
Кайсы мүнөздөмө Амазонка дарыясына таандык эмес?,"Туура жооп: **C: Ал эң узун дарыя**

Текстте Амазонка жер жүзүндөгү эң узуну боюнча экинчи орундагы дарыя деп айтылат. Башка бардык мүнөздөмөлөр текстте келтирилген маалыматтар менен дал келет:

*   **A: Ал экинчи узун дарыя** - Текстте айтылган.
*   **B: Ал эң чоң дарыя** - Текстте айтылган.
*   **D: Ал эң кең дарыя** - Текстте айтылган."
Үзүндүдө айтылган жумуштун кайсы тармагында эң аз венесуэлалыктар иштейт?,"Туура жооп C: Мунайзат чыгаруу.

Текстте Венесуэла элчилеринин бир пайызы гана мунайзат өнөр жайында иштегени айтылат, бул башка тармактарга карамакта эң аз көрсөткүч."
Үзүндүгө ылайык төмөндөгү секторлордун кайсынысында венесуэлалыктардын эң көп саны иштейт?,"Тексттен алынган маалыматка ылайык, венесуэлалыктардын үчтөн экиси тейлөө тармагында иштешет. Ошондуктан, туура жооп:

**A: Кызмат көрсөтүү**"
Үзүндүгө ылайык эрүү жылдыздарга эмне мүмкүндүк берет?,"Correct answer: **C: Жарык менен жылуулук берүү**

**Explanation:**

The passage states: ""суутек атомдору оорураак элементтерди түзүү үчүн биригип (же эригенде) андан келип чыккан кубаттан улам жылдыздар жарык менен жылуулук берет.""  This directly translates to ""when hydrogen atoms combine (or fuse) to form heavier elements, the resulting power is what allows stars to emit light and heat.""

Let's look at why the other options are incorrect:

*   **A: Оорураак элементтерди түзүү (Forming heavier elements)** - While fusion *does* create heavier elements, the passage states this is the *process* that *leads to* the light and heat, not what stars *do*.
*   **B: Термоядролук реакторлорду куруу (Building fusion reactors)** - This is something scientists are *trying* to do, but not what happens in stars.
*   **D: Суутек атомдорун түзүү (Forming hydrogen atoms)** - Fusion *uses* hydrogen atoms, it doesn't create them."
