question,gemma3_reply
Welke uitspraak over de gasten van het hostel is onjuist?,"The correct answer is **D: De gasten waren daar op de vooravond van de Hajj**.

Here's why:

* **P** states the guests were there *on the evening of the Hajj pilgrimage*, not the *eve* of it. The eve would be the night *before* the Hajj begins. This is a subtle but important difference.

Let's look at why the other options are correct based on the text:

* **A: Ze waren in Mekka voor een pelgrimstocht** - The text explicitly states they were pilgrims visiting the holy city.
* **B: Sommige gasten waren geen lokale inwoners** - The text states *most* were from the UAE, implying some were from elsewhere.
* **C: De gasten waren daar op de vooravond van de Hajj** - The text states they were there *on the evening of* the Hajj, which is close enough to the eve to be considered correct.



"
Welke uitspraak is waar volgens de tekst?,"The correct answer is **C: De gasten waren daar op de vooravond van de Hajj-pelgrimstocht.**

Here's why:

* **The text states:** ""In het gebouw verbleven een aantal pelgrims die de heilige stad bezochten op de avond van de Hajj-pelgrimstocht."" (In the building stayed a number of pilgrims who visited the holy city on the eve of the Hajj pilgrimage.)

Let's look at why the other options are incorrect:

* **A: Er zijn geen mensen omgekomen** - The text clearly states ""Er zijn ten minste 15 mensen omgekomen"" (At least 15 people have died).
* **B: Alle gasten waren afkomstig uit de Verenigde Arabische Emiraten** - The text says ""De meeste gasten van het hostel waren inwoners van de Verenigde Arabische Emiraten"" (Most of the hostel guests were residents of the United Arab Emirates) - meaning *most*, not *all*.
* **D: De meeste gasten waren lokale inwoners van Mekka** - The text specifically says the guests were pilgrims and *from* the United Arab Emirates, not local to Mecca.



"
Welke informatie over de botsing is volgens de tekst onzeker?,"The correct answer is **C: De impact van de botsing op de aarde**.

Here's why:

The text states: ""Ze proberen nog steeds te achterhalen hoe groot de botsing is geweest en hoe deze de aarde zal beïnvloeden."" (They are still trying to figure out how big the collision was and how it will affect Earth.) This directly indicates uncertainty about the impact on Earth.

Let's look at why the other options are incorrect:

*   **A: De afmeting van de botsing (The size of the collision):** The text also states they are trying to determine the size, but it's bundled *with* the impact on Earth, making C a more complete answer to the question of what is uncertain.
*   **B: De locatie van de botsing (The location of the collision):** The text states the collision happened ""491 miles above Earth,"" so the location is known.
*   **D: De locatie van het puin (The location of the debris):** The text says the US Strategic Command is tracking the debris and posting the information online, meaning its location is being determined, not that it's unknown.



"
Wat moet er volgens de tekst nog worden achterhaald over de botsing?,"The correct answer is **D: De exacte omvang van de botsing**.

Here's why:

The text specifically states: ""Ze proberen nog steeds te achterhalen hoe groot de botsing is geweest en hoe deze de aarde zal beïnvloeden."" (They are still trying to figure out how big the collision was and how it will affect Earth.)

Let's look at why the other options are incorrect:

*   **A: Wie het traceren van het puin voor zijn rekening neemt** - The text states ""De United States Strategic Command van het Amerikaanse ministerie van Defensie traceert het puin."" (The United States Strategic Command of the US Department of Defense is tracking the debris.)
*   **B: Hoe snel de satellieten zich voortbewogen op het moment van de botsing** - The text *already* states the speed: ""ongeveer 17.500 mijl per uur"" (approximately 17,500 miles per hour).
*   **C: Hoe het resultaat van de plotanalyse wordt gedeeld** - The text states: ""Op een openbare website wordt het resultaat van de plotanalyse geplaatst."" (The result of the plot analysis is being placed on a public website.)



"
Op welke plek stond Batten ooit op de lijst met rijkste Amerikanen?,"The correct answer is **C: 190**.

The passage states: ""Batten stond in 2008 op plaats 190 op de lijst van de 400 rijkste Amerikanen..."" (Batten was in 2008 ranked 190 on the list of the 400 richest Americans...).

Let's look at why the other options are incorrect:

*   **A: 400** - The passage mentions the list *of* 400, but not that he was ranked 400th.
*   **B: 20** - This number isn't mentioned in the text.
*   **D: 23** - This number is part of his wealth ($2.3 billion) and not his ranking.



"
Waar doneerde Batten geld aan?,"The correct answer is **B: De universiteit van Virginia**.

The passage explicitly states: ""later doneerde hij er veel geld aan"" referring to the University of Virginia, which was mentioned in the previous sentence. 

Let's look at why the other options are incorrect:

*   **A: De lijst met rijkste Amerikanen** - The passage mentions the list, but Batten didn't donate *to* the list.
*   **C: Een groot aantal instellingen** - While possible, the passage only specifically mentions one institution.
*   **D: Opleidingen die zijn toegewijd aan kunst en wetenschap** - This is too specific; the passage only says he donated to the University of Virginia's College of Arts & Sciences, not necessarily only educational programs."
Wat maakt geen deel uit van het wetsvoorstel dat door gouverneur Arnold Schwarzenegger is ondertekend?,"The correct answer is **C: Een verbod op de verkoop of verhuur van gewelddadige videogames aan minderjarigen buiten Californië**.

Here's why:

* **The passage specifically states the law applies *within* California.** It doesn't mention any restrictions on sales in other states.
* **A** is part of the bill (prohibition of sales/rentals to minors).
* **B** is part of the bill (fines for violations).
* **D** is part of the bill (the '18' sticker requirement).

Therefore, the only option that *isn't* part of the described law is C.



"
Wie hoorde(n) niet wat er werd gezegd?,"The correct answer is **C: Miller**.

Here's why:

The text explicitly states: ""Miller: '...I was preparing, so wasn't really listening to him.'"" This means Miller didn't hear what Duvall (referred to as ""Mike"" in the quote) was saying.

Let's look at why the other options are incorrect:

*   **A: The children of Duvall** - The text doesn't mention anything about Duvall's children hearing or not hearing the conversation.
*   **B: Mike** - Mike (Duvall) was the one *doing* the talking, so he obviously heard himself.
*   **D: Duvall** - Duvall was speaking, so he heard what he said.



"
Welke uitspraak over Millers ervaring tijdens de hoorzitting is volgens de tekst juist?,"The correct answer is **B: Hij lette niet op terwijl hij zich aan het voorbereiden was**.

Here's why:

The text directly states: ""Ik was me aan het voorbereiden, dus luisterde niet echt naar hem."" (I was preparing, so I wasn't really listening to him.) This clearly indicates Miller wasn't paying attention because he was focused on preparation.

Let's look at why the other options are incorrect:

* **A: Duvall maakte indruk op Miller** - The text says Duvall didn't make a big impression on Miller.
* **C: De twee kinderen van Duvall praatten veel tijdens de hoorzitting** - The text only mentions Duvall *has* two children; it doesn't say they were at the hearing or talking.
* **D: Hij luisterde goed naar wat Duvall vertelde** - The text explicitly states he *wasn't* listening.



"
Wie stelde voor om de 'Clean Air Act' te herschrijven?,"The correct answer is **C: Jack Layton**.

The text states: ""During the meeting with the Prime Minister, Layton asked for changes to the Conservative’s environmental law, asking for a ‘thorough and complete rewrite’ of the Conservative party’s environmental bill.""

Therefore, Jack Layton is the one who proposed rewriting the 'Clean Air Act'.



"
