question,gemma3_reply
"Hva vil ikke være ansett som et riktig tips for å spille trekkspill, ifølge avsnittet?","The correct answer is **A: For ekstra volum, øk kraften du treffer tangentene med**.

The passage specifically states: ""Husk at det ikke er behov for å treffe tangentene med mye kraft for ekstra volum..."" (Remember that there is no need to hit the keys with a lot of force for extra volume...). This directly contradicts option A.

The other options are all stated as correct techniques in the passage:

*   **B:** ""...forsøk i tillegg å ikke foreta overflødige bevegelser med fingrene."" (...also try not to make unnecessary movements with your fingers.)
*   **C:** ""Sørg for at hånden din er så rolig som mulig..."" (Make sure your hand is as calm as possible...)
*   **D:** ""...kan du bruke belgen med mer trykk eller fart."" (...you can use the bellows with more pressure or speed.)



"
Hvilke av følgende alternativer vil bidra til å øke volumet når du spiller trekkspill?,"The correct answer is **A: Mer hastighet** (More speed).

The passage explicitly states: ""For å få ekstra lyd på et trekkspill, kan du bruke belgen med mer trykk eller fart.""  ""Fart"" translates to speed.

Here's why the other options are incorrect:

* **B: Mer kraft** (More force) - The passage specifically says you *don't* need more force like on a piano.
* **C: Mindre trykk** (Less pressure) - The passage says to use *more* pressure.
* **D: Mindre fingerbevegelse** (Less finger movement) -  While reducing unnecessary movement is good for stamina, it doesn't directly increase volume.



"
Hvorfor har bildene på TV-en kuttede kanter?,"The correct answer is **B: Slik at bildene fyller hele skjermen**.

The passage explicitly states: ""Dette gjøres for å sikre at bildet dekker hele skjermen, også kalt overskanning."" (This is done to ensure that the image covers the entire screen, also called overscan).

Let's look at why the other options are incorrect:

*   **A: For å gi plass til undertekst** - The passage says undertekster *can be affected* by overscan, not that it exists *for* subtitles.
*   **C: For å tillate enkel konvertering til andre formater** - The passage doesn't mention conversion to other formats.
*   **D: For å kutte undertekst som er for nær bunnen** - This is a *result* of overscan, not the *reason* for it.



"
"Hvilke av følgende problemer kan man støte på når man konverterer en film til DVD-format, ifølge avsnittet?","The correct answer is **B: Delvis kuttet undertekst**.

Here's why:

The passage specifically states that when creating a DVD, the edges of the video are likely to be cut off, and *if subtitles are too close to the bottom, they won't be fully visible*.

Let's look at why the other options are incorrect:

*   **A: Et bilde som ikke fyller hele skjermen:** The passage explains overscan *causes* the image to fill the screen, not the opposite.
*   **C: Et bilde som fyller hele skjermen:**  Similar to A, overscan is about making the image fill the screen.
*   **D: Kuttede kanter:** While the passage *describes* cut edges (overscan), it's not the *problem* encountered during DVD conversion. It's the reason why subtitles might be cut off. The problem is the potential loss of information (like subtitles) due to those cuts.



"
Hvor befant det seg en britisk garnison?,"The correct answer is **C: Bordentown**.

The text states: ""General John Cadwalder started a diversionary attack against the British garrison at Bordentown..."" This directly answers the question.

Let's look at why the other options are incorrect:

*   **A: Assunpink Creek:** While a bridge over Assunpink Creek was a strategic point, the text doesn't say there was a *garrison* there.
*   **B: Trenton:** Trenton was the target of the main attack, not where a garrison was located to be attacked as a diversion.
*   **D: Princeton:** Princeton is not mentioned in the text in relation to a British garrison."
Hvis signatur dukket opp på det håndskrevne utkastet?,"The correct answer is **D: Charles Thomson**.

Here's why:

The passage states the handwritten draft was signed by **John Hancock and Charles Thomson** (as President and Secretary of Congress respectively). The question asks who signed the handwritten draft. 

Let's look at why the other options are incorrect:

*   **A: John Dunlap** - Dunlap was the printer, not a signer of the original draft.
*   **B: George Washington** - Washington received a copy and read it to his troops, but didn't sign the original.
*   **C: John Nixon** - Nixon read the document publicly, but didn't sign it.



"
"Av følgende steder, hvor ankom det en Dunlap-bredside sist?","The correct answer is **C: London**.

Here's why:

The text states: ""En kopi ankom London den 10. august.""  This means London received a Dunlap broadside on August 10th, which is later than the other locations mentioned:

*   **New York:** Received a copy on July 9th.
*   **Trykkeriet til Dunlap:** The broadsides *originated* from there, so they didn't *arrive* there.
*   **Independence Hall:** Had a public reading on July 8th.

Therefore, London was the last place to receive a Dunlap broadside according to the provided text."
Hvor befant oberstløytnant Starks tropper seg?,"The correct answer is **A: På nordenden, langs gjerdet**.

The text states: ""Mennene til Stark plasserte seg langs gjerdet på nordenden av kolonistenes posisjon."" This directly answers the question.

Let's look at why the other options are incorrect:

*   **B: På en strand i vannkanten** - While they *extended* the fence *to* a small beach, they weren't positioned *on* the beach itself.
*   **C: Nordøst på halvøya** - This is where the low tide was, prompting them to build a stone wall, but not where Stark's troops were located.
*   **D: Foran gjerdet** - They placed a stake *in front of* the fence, but they themselves were positioned *along* the fence.



"
"Når utvidet Starks menn gjerdet sitt, ifølge avsnittet?","The correct answer is **C: Ved lavvann**.

Here's why:

The text states: ""Lavvannet åpnet et mellomrom langs Mystic-elva... slik at de måtte forlenge gjerdet hurtig med en kort mur av stein..."" This directly links the extension of the fence to the low tide.

Let's look at why the other options are incorrect:

*   **A: Da kolonistene ba om forsterkninger:** While the arrival of Stark's men followed the request for reinforcements, the *extension of the fence* happened specifically because of the low tide.
*   **B: Etter at de regulære hadde passert pålen:** The pole was set *before* they extended the fence, not after. It was a marker for when to start shooting.
*   **D: Mens tropper inntok fremre stillinger:** The fence extension was a specific task done by Stark's men as they secured a part of the position *because of* the low tide, but wasn't happening simultaneously with all troops taking positions.



"
"Hvilke av følgende alternativer var en av de mest voldelige periodene i Kina, ifølge avsnittet?","The correct answer is **D: Perioden med de tre Kongedømmene**.

The passage explicitly states: ""De tre Kongedømmene var en av de blodigste epokene i antikkens Kinas historie..."" 

Let's look at why the other options are incorrect:

*   **A: Jin-dynastiet** - The passage states the Three Kingdoms period *was between* the Han and Jin dynasties, not that the Jin dynasty itself was violent.
*   **B: Xi’an-perioden** - Xi'an is mentioned as the location of the palace, but the passage doesn't describe a specific ""Xi’an-perioden"" as a time of violence.
*   **C: Han-dynastiet** - The passage states the Three Kingdoms period *followed* the Han dynasty, not that the Han dynasty was particularly violent.



"
"Hva er sant om en vandremaurkoloni som går inn i en nomadisk fase, ifølge avsnittet?","The correct answer is **B: Tilgjengeligheten på mat er redusert**.

Here's why:

*   The passage explicitly states: ""Kolonien går inn i en nomadefase når tilgangen på mat blir redusert."" (The colony enters a nomadic phase when the availability of food is reduced.)

Let's look at why the other options are incorrect:

*   **A: De slår leir om natten** - The passage says they *stop* to camp during the day, not at night. They march at night.
*   **C: De lager reder som endres etter 17 dager** - The passage states each nomadic *raid* or march lasts about 17 days, but it doesn't say the nests change after 17 days, just that they change *daily*.
*   **D: De marsjerer på dagen** - The passage explicitly states they march at *night*.



"
"Hvilke utsagn er en nøyaktig gjenspeiling av redevanene til vandremaurkolonier i den nomadiske fasen, ifølge avsnittet?","The correct answer is **C: De skifter rede daglig**.

Here's why:

*   The passage explicitly states: ""I denne fasen lager kolonien midlertidige reder som endrer seg hver dag."" (In this phase, the colony creates temporary nests that change every day.)

Let's look at why the other options are incorrect:

*   **A: De lager reder om natten** - The passage states they *march* at night and *stop to camp* during the day, implying they build/use nests during the day, not at night.
*   **B: De marsjerer i 17 dager uten å lage rede** - The passage says each ""herjing"" (raid/march) lasts 17 days *and* they make temporary nests during that time.
*   **D: De bruker de samme redene under hele fasen** - The passage explicitly states the nests are *temporary* and *change each day*.



"
Hvilke av følgende vil fortsette til tross for tilstedeværelsen av ytre påvirkninger?,"The correct answer is **C: Biologiske klokker**.

Here's why:

*   **The passage states:** ""Biologiske klokker er selvgående oscillatorer som opprettholder en periode med selvstendige sykluser uten ytre påvirkning."" This directly means they continue functioning *regardless* of external influences.

Let's look at why the other options are incorrect:

*   **A: Endogene sykluser:** While crucial, they *can* be affected by external signals (the passage mentions rhythms aren't *always* just internal).
*   **B: Periodiske rytmer:** These are a broader category and can be *caused* by external factors.
*   **D: Observerte rytmer:** These are simply what we *see*, and could be responses to external stimuli.



"
Hvilken term beskriver enkeltpersoner som viser varianter av en bestemt fenotypisk egenskap?,"The correct answer is **D: Polymorfisk**.

Here's why:

* **The passage states:** ""Når personene viser flere varianter av en bestemt egenskap, er de polymorfiske."" (When individuals show multiple variants of a specific trait, they are polymorphic.)

Let's look at why the other options are incorrect:

* **A: Monomorfisk** - This describes individuals *identical* in a trait, the opposite of what the question asks.
* **B: Organismer** - This is a very broad term for living things, not specific to trait variation.
* **C: Art** - This defines a broader classification group, not individual trait variation within a population.



"
Hvilke av følgende er den riktige termen for organismer innenfor en spesifikk geografisk plass?,"The correct answer is **B: Populasjon**.

Here's why:

*   **The passage explicitly states:** ""En befolkning er en gruppe organismer innenfor en bestemt art på en spesifikk geografisk plass.""

Let's look at why the other options are incorrect:

*   **A: Monomorfisk** - Describes a population *where everyone is identical* for a trait, not the population itself.
*   **C: Art** - Is a broader classification; a population is *within* a species.
*   **D: Polymorfisk** - Describes a population *where there is variation* for a trait, not the population itself.



"
