question,gemma3_reply
د عبارت له مخې، کوم به په بریالیتوب سره د اکارډین غږولو لپاره دقیق لارښود ونه ګڼل شي؟,"The correct answer is **A: د اضافي حجم لپاره، هغه ځواک زیات کړئ کوم سره چې تاسو بټنې ووهئ**.

Here's why:

The passage explicitly states ""د کېلی ګانو په ډیر زور سره وهلو ته هیڅ اړتیا نه شته"" (there is no need to hit the keys with a lot of force). Option A suggests *increasing* force, which directly contradicts the passage's advice.

Let's look at why the other options are good advice, as stated in the text:

*   **B: د خپل استقامت ساتلو لپاره غیر ضروري حرکت تر ټولو لږ وساتئ** (Minimize unnecessary movement to maintain your stamina) - This aligns with ""هڅه ونه کړي چې ګوتو په کارولو سره اضافی حرکت وکړي"" (don't try to make extra movements with your fingers).
*   **C: د آرام لاس ساتلو په وخت کې د نوټونو وهلو ته پام لرونكى اوسئ** (Be attentive to hitting the notes while keeping your hands relaxed) - This aligns with ""ته باید دا خبره یقینی کړي چې ستا لاسونه باید تر ممکن بریده ارام وي ، کله چې ته ټول نوټونه په صحیح ډول وهی"" (you must ensure your hands are as relaxed as possible when you hit all the notes correctly).
*   **D: هغه سرعت زیات کړئ چې تاسو ورسره د اضافي حجم ترلاسه کولو لپاره غرغړې چلوئ** (Increase the speed with which you pump the bellows to get extra volume) - This aligns with ""د ډیر اواز لپاره ... تاسي زنګونه د ډیر فشار یا سرعت سره کاروئ"" (For more volume... you operate the bellows with more pressure or speed).



"
د اکارډین غږولو په وخت کښې، له لاندې څخه کوم یو به د حجم زیاتولو کې مرسته وکړي؟,"سمه ځواب **A: ډیر سرعت** دی.

د P په متن کې راغلي دي چې د حجم زیاتولو لپاره (لکه څنګه چې په پیانو کې کیږي) باید زنګونه د ډیر فشار یا سرعت سره کارول شي. نو، ډیر سرعت به د اکارډین غږولو په وخت کې د حجم زیاتولو کې مرسته وکړي.
"
ولې په تلویزیونونو کې د عکسونو خپلې غاړې پرې وي؟,"سمه ځواب **B: نو عکس ټوله پرده ډکه کړي** دی.

د متن له مخې، تلویزیونونه په داسې ډول جوړ شوي دي چې هر څه په بشپړ ډول پرده پوښي، او دا د اوور سکین له امله دی. اوور سکین د دې لپاره دی چې ډاډمن شي چې عکس د ټولو څلورو غاړو څخه ټول پرده ډکوي.

تفسیر د نورو ځوابونو په اړه:

*   **A: د فرعي سرلیکونو اجازه ورکولو لپاره** - متن وايي چې فرعي سرلیکونه ممکن پرې شي، مګر دا د اوور سکین لامل نه ده.
*   **C: په نورو شکلونو کښې د ساده تبادلې اجازه ورکولو لپاره** - متن دې ته اشاره نه کوي.
*   **D: وېخ ته ډیر نږدې فرعي سرلیکونه پرې کولو لپاره** - دا د اوور سکین پایله ده، نه لامل یې."
د عبارت له مخې، له لاندې ستونزو څخه یو څوک د فلم DVD فارميټ ته د بدلولو پرمهال له کومې ستونزې سره مخ کیدی شي؟,"سم ځواب B دی: په جزوي توګه پرې شوي فرعي سرلیکونه.

د عبارت په وینا، DVD جوړولو پر مهال، سرحدونه ممکن پرې شي او که ویډیو ته نږدې فرعي سرلیکونه ولري، هغه یې په بشپړه توګه نه ښودل کیږي. دې د دې مسلې د حل لپاره ځان وړاندې کوي.

پاتې ځوابونه سم نه دي ځکه:

*   A: یو عکس چې ټوله پرده نه ډکوي - دا هغه ستونزه نه ده چې په عبارت کې ذکر شوې، بلکې د اوور سکین له امله رامنځته کیږي.
*   C: یو عکس چې ټوله پرده ډکوي - دا هغه هدف دی چې د اوور سکین له امله ترلاسه کیږي، نه ستونزه.
*   D: پرې شوي غاړې - عبارت وايي چې غاړې ممکن پرې شي، مګر دا د فرعي سرلیکونو په اړه ستونزه نه رامنځته کوي."
د برتانیې چاوڼۍ چیرته موقعیت درلود؟,"The correct answer is **A: اسون پنک کریک**.

The text states that General Ewing blocked the bridge at Assunpink Creek and didn't let any of the enemy escape. This indicates that the British outpost was located at Assunpink Creek."
په لاس لیکل شوې مسوده باندې د چا لاسلیک ښکاره شو؟,"The correct answer is **D: Charles Thomson**.

Here's why:

The passage states: ""په لاس لیکل شوې نسخه د کانګرس د رئیس جان هانکوک او منشي چارلس تامسن لخوا لاسلیک شوې"" which translates to ""The signed version was signed by the President of Congress John Hancock and Secretary Charles Thomson.""

Therefore, Charles Thomson's signature appears on the signed draft. 

Let's look at why the other options are incorrect:

*   **A: John Dunlap** - John Dunlap was the printer, not a signer.
*   **B: George Washington** - George Washington received a copy and read it to his troops, but he didn't sign the original draft.
*   **C: John Nixon** - John Nixon was the first to publicly read the Declaration of Independence, but he didn't sign it.



"
د لاندې ځایونو څخه، د ډنلاپ پراخه اړخ وروستی چیرته رسیدلی؟,"The correct answer is **C: لندن**.

The passage states: ""A copy arrived in London on August 10."" This indicates that a Dunlap broadside reached London.

Let's look at why the other options are incorrect:

*   **A: نیو یارک** - The text doesn't mention New York.
*   **B: د ډنلاپ د چاپ دکان** - The broadsides were *made* at Dunlap's shop, but the question asks where they *arrived*.
*   **D: انډپنډنس هال** - The first public reading happened at Independence Hall, but the broadsides weren't delivered *to* Independence Hall.



"
د کرنل سټارک لښكرونو چیرته موقعیت درلودو؟,"سمه ځواب دی: **A: په شمال پای باندې، د کټارې په اوږدو کښې**

متن وایی چې د کرنل سټارک عسکر ""د استعماري ځای په شمال پای کې د باړ په اوږدو کې ځای پر ځای شوي دي"" او وروسته بیا د کټارې په اوږدو کې ځای نیولی دی. نو ځواب A سم دی.
"
د عبارت له مخې، د سټارک سړو کله خپله کټاره وغزوله؟,"سمه ځواب **B: وروسته له هغه چې منظمان د موږو څخه تېر شول** دی.

عبارت په څرګنده ډول وايي چې ګریډلي (یا سټارک) خپلو سړو ته امر وکړ چې ډزې ونه کړي ""تر څو چې دا منظمان تیر نه کړي"" او بیا یې کټاره وغزوله. نو، د منظمان د تیرېدو وروسته یې کټاره وغزوله.
"
د عبارت له مخې، د لاندې څخه کوم یو د چین ترټولو تاوتریخوالی زمانه و؟,"The correct answer is **D: د درې سلطنتونو زمانه** (The Era of Three Kingdoms).

The passage explicitly states: ""د درې سلطنتونه د چین د لرغوني تاریخ یو له ترټولو خونړۍ زمانه وه"" (The Era of Three Kingdoms was one of the bloodiest times in ancient Chinese history).

Let's look at why the other options are incorrect:

*   **A: د Jin کورنۍ سلطنت** (The Jin Dynasty's reign) - The passage mentions the Jin Dynasty *in relation to* the Three Kingdoms period, but doesn't identify it as the most violent.
*   **B: د Xi’an زمانه** (The Xi'an Era) - This is not mentioned in the passage.
*   **C: د Han کورنۍ سلطنت** (The Han Dynasty's reign) - The passage mentions the Han Dynasty *in relation to* the Three Kingdoms period, but doesn't identify it as the most violent.



"
