question,gemma3_reply
کدام یک از موارد زیر علیرغم وجود نشانه‌های خارجی ادامه پیدا خواهد کرد؟,"The correct answer is **C: ساعت‌های بیولوژیک (Biological clocks)**.

Here's why:

* **The passage explicitly states:** ""ساعت‌های بیولوژیکی نوسان‌سازهای خودپایداری هستند که دوره‌ای از یک سیکل آزاد‌گرد را در نبود نشانه‌های بیرونی ادامه می‌دهند."" (Biological clocks are self-sustaining oscillators that continue a cycle of free-running period even in the absence of external cues.)

Let's look at why the other options are incorrect:

* **A: چرخه درون‌زا (Endogenous cycles):** While cycles are *related* to biological clocks, the passage doesn't state they continue *despite* external cues.
* **B: ریتم‌های دوره‌ای (Periodic rhythms):** The passage states these rhythms can be a response *to* external cues, meaning they wouldn't necessarily continue without them.
* **D: ریتم‌های مشاهده‌شده (Observed rhythms):**  These are simply rhythms we see, and don't tell us about the underlying mechanism that allows continuation without external cues.



"
کدام واژه افرادی را توصیف می‌کند که چندین نوع از خصوصیت فنوتیپی خاصی را نشان می‌دهند؟,"The correct answer is **D: چند شکلی (Polymorphic)**.

Here's why:

* **The passage states:** ""هنگامی که افراد چندین نوع ویژگی خاص را نشان می دهند، چند شکلی هستند."" (When individuals exhibit several types of a specific trait, they are polymorphic.)

Let's look at why the other options are incorrect:

* **A: تک‌شکل (Monomorphic):** The passage states this applies to individuals who are *similar* in a trait, not those showing *multiple* types.
* **B: ارگانیسم‌ها (Organisms):** This is a very general term and doesn't specifically describe variation in a trait.
* **C: گونه‌ها (Species):** This refers to a broader classification of living things and isn't about individual variation within a population.



"
کدام مورد اصطلاح صحیح برای ارگانیسم‌هایی است که فضای خاصی را اشغال می‌کنند؟,"The correct answer is **B: جمعیت (Population)**.

Here's why:

* **P** defines a population as a group of living organisms of the *same species* in a *specific geographic area*. This directly answers the question ""which term correctly describes organisms occupying a particular space?"".

Let's look at why the other options are incorrect:

* **A: تک‌شکل (Uniform)** - Describes similarity *within* a population for a specific trait, not the organisms themselves.
* **C: گونه‌ها (Species)** -  A species is a broader classification; it's all the organisms capable of interbreeding, not necessarily those in a specific location.
* **D: چند شکلی (Polymorphic)** - Describes variation *within* a population, not the population itself.



"
کدام یک از موارد زیر مثالی از گردشگری طبیعت‌دوست نیست؟,"پاسخ صحیح گزینه **C: بازدید از موزه‌های علوم** است.

**توضیح:**

مطابق با تعریف ارائه شده در متن، گردشگری طبیعت‌دوست بر بازدید از **مناطق طبیعی** و لذت بردن از **گیاهان و حیات وحش** تمرکز دارد. 

*   **A: پیاده‌روی تا آبشار:** یک فعالیت در طبیعت است.
*   **B: عکسبرداری از گل‌های وحشی:** مستقیماً با لذت بردن از طبیعت و گیاهان مرتبط است.
*   **D: ماهیگیری با حشره مصنوعی:** یک فعالیت در طبیعت است که به مطالعه اکوسیستم مرتبط می‌شود (اگرچه متن به طور خاص به ماهیگیری اشاره کرده، ماهیگیری با حشره مصنوعی، آسیب کمتری به محیط زیست وارد می‌کند).

اما **بازدید از موزه‌های علوم** در یک محیط داخلی و مصنوعی انجام می‌شود و ارتباط مستقیمی با تجربه مستقیم طبیعت ندارد. در حالی که موزه‌های علوم می‌توانند اطلاعاتی در مورد طبیعت ارائه دهند، خودشان بخشی از گردشگری طبیعت‌دوست محسوب نمی‌شوند."
با توجه به متن، کدام یک از موارد زیر مبنای سیستم حمل‌ونقل است؟,"The correct answer is **B: اتومبیل‌های شخصی (Personal cars)**.

Here's why:

* **The text explicitly states:** ""هر کس به نحوی به یک سیستم حمل و نقل برپایه اتومبیل‌های شخصی متصل است و با آن پشتیبانی می‌شود."" (Each person is in some way connected to and supported by a transport system based on personal cars.)

Let's look at why the other options are incorrect:

* **A: مقاصد کاری (Work destinations):** While work destinations *drive* the need for transportation, they aren't the *basis* of the system itself.
* **C: بیوسفر پایدار (Stable biosphere):** The biosphere is being negatively affected *by* the system, not the foundation of it.
* **D: تکامل انسان (Human evolution):**  Human evolution is mentioned as being supported by the previous stable state of the biosphere, not the basis of the current transport system.



"
ذراتی که به دور هسته می‌چرخند، چه نوع باری دارند؟,"The correct answer is **C: بار منفی**.

The text explicitly states: ""الکترون‌ها دارای بار الکتریکی منفی می‌باشند."" (Electrons have a negative electric charge)."
هسته از کدام ذرات تشکیل شده است؟,"The correct answer is **A: پروتون‌ها و نوترون‌ها**.

The text explicitly states: ""هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها."" (The nucleus is made up of two types of particles - neutrons and protons.)"
با توجه به متن، کدام یک از موارد زیر مثالی از عدد دودویی پنج بیتی است؟,"The correct answer is **C: 10010**.

Here's why:

* **Binary numbers** only contain 0s and 1s.
* **Five-bit** means the number has exactly five digits.

Let's look at each option:

* **A: 1010** - Only 4 bits.
* **B: 12001** - Contains the digits 2, which is not a binary digit.
* **C: 10010** - Contains only 0s and 1s, and has 5 digits (5 bits).
* **D: 110101** - Has 6 digits (6 bits).



"
ارقام دودویی همچنین با چه عنوانی معرفی می‌شوند؟,"پاسخ صحیح **A: بیت** است.

متن به صراحت بیان می‌کند که ارقام دودویی را ""بیت"" می‌نامند."
کدام‌ یک از موارد زیر به عنوان مزیت اصلی وبلاگ‌نویسی دانش‌آموزان در متن معرفی نشده است؟,"The correct answer is **B: کاهش انتقاد توسط همتایان (Reducing criticism from peers)**.

Here's why:

* **The text states the opposite:** The text explicitly says that the *presence* of an audience (which includes peers) *increases* effort to improve writing *to avoid* criticism. It doesn't suggest blogging reduces criticism.

Let's look at why the other options *are* mentioned as benefits:

* **A: بهبود توانایی نوشتن و قواعد (Improving writing skills and grammar):** The text directly states that blogging helps students improve their writing, even if they start with errors.
* **C: گسترش آگاهی نسبت به پیرامون (Expanding awareness of surroundings):** The text quotes Toto (2004) saying blogging forces students to be more perceptive of the world around them.
* **D: افزایش تمایل به یادگیری پیوسته (Increasing the desire for continuous learning):** The text states blogging inspires collaboration and extends learning beyond the traditional classroom.



"
