question,gemma3_reply
"Araka ilay sombin-dahatsoratra, iza amin'ireto vahaolana manaraka ireto no tsy heverina fa fitsaboana soritr'aretin’ny olana ara-tontolo iainana?","Ny valin-teny marina dia **C: Fanehoana hevitra momba ny safidy fomba fiaina hafahafa**.

Manazava ny sombin-dahatsoratra fa ny hetsika momba ny tontolo iainana (A: Firotsahana amin'ny fikatrohana) sy ny fiainana amin'ny fomba manaja ny tontolo iainana (D: Miaina anaty fomba mitsinjo ny tontolo iainana) dia tahaka ny fitsaboana fambara. Ny tena vahaolana, araka ny sombin-dahatsoratra, dia ny famongorana ny fototry ny olana (B: Famongorana ny fototry ny olana).

Ny ""fanehoana hevitra momba ny safidy fomba fiaina hafahafa"" dia tsy resahina ao amin'ny sombin-dahatsoratra ho toy ny vahaolana, na soritra na fototra.  Izany no mahatonga azy io ho valin-teny tsy heverina fa fitsaboana soritr'aretin’ny olana ara-tontolo iainana."
"Taiza ny firenena nisy ady voalohany tany Eoropa, izay nahitana olana fototra teo amin’ny fifandanjan-kery fa tsy ny resaka fivavahana?","The correct answer is **D: Espaina**.

Here's why:

The passage states: ""Ny Adin’ny Fifandimbiasana Espaniôla no ady voalohany izay nifototra tamin’ny fifandanjan-kery."" This directly translates to ""The Spanish War of Succession was the first war based on the balance of power.""  It also clarifies this war marked a shift *away* from religious reasons for conflict.

Let's look at why the other options are incorrect:

*   **A: Angletera (England):** The passage doesn't mention England as the site of this first war.
*   **B: Alemaina (Germany):** The passage mentions the Thirty Years' War, but identifies it as the *last* ""holy war"" – not the first war based on the balance of power.
*   **C: Portiogaly (Portugal):** The passage doesn’t mention Portugal in relation to this conflict.



"
Iza no ady nolazaina indraindray fa ‘ady ara-pivavahana’ farany?,"The correct answer is **A: Ady Telopolo Taona**.

The text explicitly states: ""Noho izany, ny Ady Telopolo Taona no ady farany nolazaina fa ady masina."" (Therefore, the Thirty Years' War was the last war said to be a holy war.) This directly answers the question.



"
Iza amin'ireto lafin-javatra manaraka ireto tamin'ny Eglizy Katolika no tsy nodinihina lalina?,"The correct answer is **A: Raha nizotra tsara ny fitsinjarana ny harena tao anatin’ny Fiangonana** (Whether the distribution of wealth within the Church was done well).

Here's why:

* **The passage explicitly questions whether the Church *practiced* what it preached** regarding wealth being used to alleviate suffering. It states ""the power and wealth it possessed raises questions as to the truthfulness of what it taught."" This directly implies doubt about how the wealth was *used*, or distributed.

Let's look at why the other options are incorrect:

* **B: Raha tokony hovaina ny foto-pitsika lehibe tao amin’ny fivavahana** (Whether the core principles of the faith should be changed) – The passage doesn't discuss a need to change core beliefs, only questions the consistency between beliefs and actions.
* **C: Ny fivangongon’ny fahefana ao anatin’ny Fiangonana** (The concentration of power within the Church) – The passage clearly states the Church had ""worldly power"" and this power impacted everyone, indicating it *does* discuss the concentration of power.
* **D: Raha notanterahina ny foto-pitsipika lehibe tao amin’ny Fiangonana** (Whether the core principles of the Church were carried out) – This is very close, but the passage focuses specifically on the *wealth* aspect of those principles (using wealth to help the poor) rather than all principles in general.



"
"Araka ilay sombin-dahatsoratra, iza no nisy namono tao Versailles?","The correct answer is **D: Mpiambina**.

Here's why:

The text states: ""nanevaeva ny lohan’ny mpiambina fanjakana maty tao Versailles"". This directly translates to ""the head of a royal guard was paraded around, dead, at Versailles"". 

Let's look at why the other options are incorrect:

*   **A: Iray tamin'ireo vehivavy teny an-tsena (One of the market women):** The text says the crowd *displayed* the head, it doesn't say a market woman killed the guard.
*   **B: Ny Mpanjaka Louis XVI (King Louis XVI):** The text does not mention the King killing anyone.
*   **C: Olona tao anatin’ny fikambanan-jiolahy (People in a gang):** The text simply mentions ""the crowd"" and does not specify a gang."
Iza amin'ireto manaraka ireto no tsy nanaovan’ny vahoaka fanerena tamin'ny Mpanjaka sy ny Mpanjakavavy?,"Ny valiny marina dia **C: Ny fanatrehana ny fanapahan-dohan’ny mpiambina**.

Raha tsara soratana ny lahatsoratra, dia ny lohan'ny mpiambina *maty* no naseho teo alohan'ny mpanjakavavy, fa tsy ny fanapahan-dohan'ny mpiambina no natao teo anatrehan'ny mpanjaka sy ny mpanjakavavy.

Ny vahoaka dia naneraka ny Mpanjaka sy ny Mpanjakavavy mba:
* **A: Ny fisokafan'ny varavarankelin'ny kalesiny** - Voaresaka mivantana fa nanery ny mpanjaka sy ny mpanjakavavy hifidy ny varavara.
* **B: Ny fivoahana tampoka tao Versailles** - Naterena hivoaka ny mpanjaka sy ny mpanjakavavy.
* **D: Ny fiverenana nankany Paris** - Naterena hiverina tany Paris.
"
Iza amin'ireto manaraka ireto ho an'i Grande-Bretagne no tsy vokatry ny ady an-dranomasina nahazatra?,"Ny valiny marina dia **C: Natao ny fiovana tamin’ny lalàna iraisam-pirenena**.

**Fanazavana:**

Ny lahatsoratra dia milaza fa nandika lalàna iraisam-pirenena i Grande-Bretagne tamin'ny fampiasana sakana ara-tsambo. Izany no nitarika ny Alemana hamaly amin'ny fomba mitovy, izay mety hitarika amin'ny fiovan'ny lalàna iraisam-pirenena.

* **A: Ny fanirian'i Alemaina hampiasa paikady mitovy amin'izany amin’ny ady** - Izany dia vokatry ny ady an-dranomasina, fa tsy vokatra amin'ny ady an-dranomasina nahazatra. Ny sakana ara-tsambo nataon'i Grande-Bretagne no nitarika an'i Alemaina hanao izany.
* **B: Tandindonin-doza ireo sambo tsy misy ifandraisany** - Izany koa dia vokatry ny ady an-dranomasina, satria nanisy baomba any amin’ny ranomasina iraisam-pirenena i Grande-Bretagne.
* **D: Sarotra ny fahtitana ny entana tena ilaina** - Izany no vokatra mivantana amin’ny sakana ara-tsambo nataon’i Grande-Bretagne.

Ny fiovana tamin'ny lalàna iraisam-pirenena dia mety ho vokatry ny ady an-dranomasina, fa tsy vokatry ny ady an-dranomasina nahazatra. Izany no mahatonga azy ho valiny tsy mifanaraka amin'ny lahatsoratra."
Fanambarana inona no tsy manoritsoritra mazava tsara ny fanakanan’ny tafika an-dranomasina Britanika an'i Alemaina?,"Ny valin-teny marina dia **A: Nifanohitra tamin’ny lalàna iraisam-pirenena izany**.

**Fanazavana:**

Ny sora-potoana dia manao resaka mazava amin’ny hoe nitondra sakana ara-tsambo i Grande Bretagne, izay nandika ny lalàna iraisam-pirenena. Ny sora-potoana dia manazava koa fa izany no naha-niankina ny fampitsaharana ny famatsiana ho an'ny Alemana.

*   **B: Nitarika ny ady an-dranomasina tany Alemaina izany:** Tsy voalaza izany amin’ny sora-potoana.
*   **C: Nampiato ny fitobahan’ny famatsiana tany Alemaina izany:** Izany dia vokany, fa tsy ny fanambarana amin’ny teny manokana amin’ny fampitsaharana ny famatsiana.
*   **D: Nanome antoka izany fa tsy ho tandindomin-doza ny sambo tsy momba ny atsy sy eroa:** Ny sora-potoana, kosa, manazava fa nampiady ny sambo tsy momba ny atsy sy eroa kosa izany."
"Araka ilay sombin-dahatsoratra, iza no tena angambaina indrindra ho voan'ny sclérose en plaques?","The correct answer is **A: Vehivavy 32 taona**.

Here's why:

* **The passage states:** ""research has found that women are twice as likely to develop multiple sclerosis (MS) than men.""
* **The passage also states:** MS is a leading neurological disease in *young adults and young middle-aged adults*.  32 falls into that demographic.

Let's look at why the other options are incorrect:

* **B: Lehilahy 15 taona:** While MS can occur in young people, the passage focuses on young *adults*.
* **C: Lehilahy 43 taona:**  Men are less likely to get MS than women, according to the text.
* **D: Vehivavy 10 taona:**  Too young to be considered a young adult or young middle-aged adult.



"
"Araka ilay sombin-dahatsoratra, mila fanohanana bebe kokoa amin'ny inona ny mpandray anjara amin'ny hetsika tsy tapaka?","Ny valin-teny marina dia **A: Eritreritra miiba momba ny fanaintainana**.

Manazava amin'ny sombin-dahatsoratra fa ireo olona mandray anjara amin'ny hetsika ara-batana tsy tapaka dia mila fanampiana amin'ny ""fandraisana ratsy ny fanaintainana"", izay midika hoe mila fampianarana izy ireo momba ny fomba famakiana sy fanjarian-tena amin'ny fanaintainana."
"Araka ilay sombin-dahatsoratra, ahoana no fomba mahazatra hilalaovana escrime?","The correct answer is **D: Amin'ny endrika fifanandrinana** (In the form of a duel/competition).

Here's why:

* **The passage explicitly states:** ""Fifanandrinan'olon-droa no endrika tena fisehon'ity fanatanjahantena izy, mpilalao sabatra iray mifanandrina amin'ny anankiray hafa."" (This sport is mainly played as a duel, one fencer facing another.)

Let's look at why the other options are incorrect:

* **A: Amin'ny fomba maoderina** (In a modern way) - While true, the passage doesn't focus on *how* it's modern, but *who* plays it.
* **B: Any amin'ny oniversite** (At the university) - The passage mentions all levels from beginner to professional, but doesn't specifically highlight universities.
* **C: Any amin'ny lalao olaimpika** (At the Olympic Games) - The passage mentions the Olympics as one level of competition, but it's not the typical *way* it's played.



"
"Araka ilay sombin-dahatsoratra, iza amin'ireto manaraka ireto no famantarana matanjaka indrindra ny fanapoizinana anaty?","The correct answer is **D: Tavoahangy misy pilina** (Containers with pills).

Here's why:

The passage specifically states: ""Ny famantarana tsara indrindra ny fanapoizinana anaty dia mety ho ny fisiana boatim-panafody na vokatra simika fampiasa ao an-trano misy poizina."" This translates to ""The best indication of internal poisoning may be the presence of medicine containers or chemical products used in the home that are poisonous.""

The other options describe symptoms which the passage says are common and not specific to poisoning.



"
"Araka ilay sombin-dahatsoratra, inona no dingana voalohany sahaza rehefa manombantombana niharam-boina iray?","The correct answer is **A: Mibanjina ny sehatra (Survey the scene)**.

The passage states: ""Mba hahafahana mijery ilay niharamboina dia tsy maintsy manadihady ilay toerana nitrangan’ny loza aloha ianao mba ho fiarovana ny ainao.""  This directly translates to: ""To safely approach the injured person, you must first assess the scene of the accident to protect your own life.""  

This ""assessment"" is the same as ""surveying the scene."" The passage emphasizes understanding the location and potential hazards *before* approaching.
"
Iza amin'ireto fanambarana manaraka ireto no tsy ahitana taratra mazava ny fizotry ny fizahana niharam-boina?,"Ny valin-teny marina dia **A: Aza manahy ny amin’ny ratra mety ahazo anao**.

**Fanazavana:**

Ny lahatsoratra P dia manantitrantitra ny *fiainana* sy *ny fiarovana tena* rehefa manatona niharam-boina. Ny fepetra voalaza dia ny fanadihadiana ny toerana, famaritana ny toerana misy ilay niharam-boina, ary fambaran’ny loza.  Ny fandraisana andraikitra amin'ny fiarovana tena dia manampy ny mpamonjy mba hiasa amin'ny fomba mahomby sy tsy ho ratra.

*   **B: Manombana ny toerana manodidina manoloana ilay niharam-boina** - Miaraka amin’ny fanadihadiana ny toerana, izany no atao mba hialana amin’ny loza.
*   **C: Diniho ny fomba itoeran'ilay niharam-boina** - Manampy amin’ny famaritana ny toe-batany sy ireo soritra mety misy.
*   **D: Andramo marihana ny saina mena rehetra** - Miaraka amin’ny fambaran’ny loza, ny famantarana ny saina mena dia manampy amin’ny famaritana ireo loza mety hitranga.

Ny fanambarana **A** kosa dia manakana ny fanadihadiana ny toerana sy ny famaritana ireo loza, ary mitazona ny olona ho mafy orina amin’ny tsy fitondrana andraikitra amin'ny fiarovana tena."
Iza tamin'ireo fiovana vokatry ny Revolisiona Frantsay no nisy fiantraikany goavana teo amin'ny olom-pirenena amin’ny sarangan’ny mpiasa?,"Ny valin-teny marina dia **B: Ny fiovan’ny fironan’ny saranga mankany amin'ny fahombiazana**.

Manazava amin'ny lahatsoratra fa ""Taorian’ny Tolom-piavotana ihany koa dia nisokatra ho an’ny lehilahy mpitady asa rehetra ny asa hany ka manome fahafahana ireo mikendry lavitra sy mahomby indrindra hahomby."" Izany dia midika fa ny Revolisiona Frantsay dia nanampy ny mpiasa amin'ny sarangan'ny mpiasa hahomby sy hiroso amin'ny fiainany amin'ny fomban-tsahala amin'ny olom-pirenena afaka.

*   **A: Ny fanohanana nitombo ho an’ny firenena** - Mety ho marina, fa tsy voalaza amin'ny lahatsoratra amin'ny fomba mivantana amin'ny mpiasa.
*   **C: Ny fanarahana firehan-kevitra Repoblikana** - Mety ho fiovana lehibe izany, fa tsy mbola miresaka amin’ny momba ny fiantraikany mivantana amin'ny mpiasa.
*   **D: Ny rafitra fepetra vaovao** - Ny rafitra metrika dia voalaza, saingy tsy ny tena tena olom-pirenena no tratra amin'izany."
"Taorian'ny Revolisiona Frantsay, ny fahombiazana teo amin'ny tafika sy ny asa atao hafa dia tsy dia nifototra loatra tamin'ny inona?","Ny valiny marina dia **B: Saranga**.

Ny lahatsoratra dia manazava fa taorian'ny Revolisiona Frantsay, ny tafika sy ny asa dia tsy mifototra amin'ny kilasy intsony fa amin'ny tanjaka sy fahafahana ho an'ny olona rehetra. Izany dia midika fa ny saranga dia tsy tena manan-danjina intsony amin'ny fahombiazana.
"
Iza amin’ireo sampan-draharaham-panjakana no lazaina fa miteraka fahasorenana be indrindra any amin’ireo firenena mandroso?,"Ny valin-teny marina dia **C: Fitateram-bahoaka**.

Ny lahatsoratra dia milaza fa ""Saika mitaraina amin’ny rafitra fitaterana avokoa ny olona rehetra"" sy ""Any amin’ny tany mandroso mahalana ianao no maheno fitarainana mahakasika ny kalitaon’ny rano na tetezana mianjera."" Miresaka mivantana momba ny fitarainana amin'ny rafitra fitaterana izany, ka ny fitateram-bahoaka no sampan-draharaham-panjakana miteraka fahasorenana be indrindra araka ny voalazan'ny lahatsoratra."
