question,gemma3_reply
پيراگراف جي مطابق، اڪارڊيان کي ڪاميابي سان کيڏڻ لاءِ ڇا کي صحيح تجويز نه سمجهيو ويندو؟,"The correct answer is **A: اضافي واليوم لاءِ، فورس کي وڌايو جنهن سان توهان ڪليدون دٻايو ٿا**.

Here's why:

*   The paragraph explicitly states that unlike a piano, you **do not** need to press the keys harder on an accordion to get a louder sound. Instead, it mentions using more pressure and speed with the bellows.

Let's look at why the other options are correct advice from the paragraph:

*   **B: توهان جي استحڪام کي محفوظ رکڻ لاءِ غير ضروري حرڪت کي گھٽ ۾ گھٽ رکو:** The paragraph encourages minimizing unnecessary finger movements to reduce fatigue.
*   **C: آرام ده هٿ کي برقرار رکڻ دوران نوٽس کي ڇهڻ جو خيال رکو:** The paragraph advocates for a relaxed hand to avoid tiring yourself.
*   **D: اضافي واليوم حاصل ڪرڻ لاءِ رفتار کي وڌايو جنهن سان توهان هيٺ ڏنل شيون هلائيندا آهيو:** The paragraph directly states using more speed with the bellows increases volume."
جيڪڏهن توهان هيٺ ڏنل عنصرن مان ڪنهن کي ڳولي رهيا آهيو ته توهان کي بهتر بڻائڻ ۾ مدد ملندي؟,"The correct answer is **D: گهٽ فنگر ڇرپر (Less finger movement)**.

Here's why:

The passage specifically states: ""**پنهنجي آڱرين سان بہ غير ضروري حرڪت ڪرڻ جي ڪوشش نہ ڪريو**"" which translates to ""Do not try to move your fingers unnecessarily.""  This directly relates to reducing extraneous finger movement for greater efficiency and less fatigue.

Let's look at why the other options are incorrect:

* **A: وڌيڪ رفتار (More speed):** While speed is important, the passage focuses on *how* to achieve good sound, not just speed.
* **B: وڌيڪ زور (More force):** The passage explicitly says you *don't* need to press keys harder on a piano to get a louder sound.
* **C: گهٽ داٻ (Less pressure):** The passage states you need *more* pressure (and speed) with a drumstick to get a louder sound, not less.



"
ٽيليويزن تي تصويرن جا ڪنارا ڇو ڪٽجي ويندا آهن؟,"ٻيهڙي سوال جو صحيح جواب آهي: **B: جيئن تصوير سان سڄي اسڪرين ڀرجي وڃي**

پهرين پيراگراف ۾ واضح طور تي چيو ويو آهي تہ ٽيليويزن تي تصويرن جا ڪنارا ڪٽڻ جو سبب اهو آهي تہ تصوير سڄي اسڪرين کي ڀري وڃي. اهو اور اسڪرين جي لاءِ ڪيو ويندو آهي."
پيراگراف زجي مطابق، فلم کي DVD فارميٽ ۾ تبديل ڪرڻ وقت ھيٺين مان ڪھڙا مسئلا پيش اچي سگهن ٿا؟,"ٻي پاسي جي جواب هي آهي:

**B: اڌ ڪٽيل سب ٽائيٽلز**

پيراگراف ۾ واضح طور تي چيو ويو آهي ته جڏهن توهان هڪ مووي کي DVD فارميٽ ۾ تبديل ڪرڻ جي ڪوشش ڪريو ٿا، ته تصوير جا ڪنارا ڪٽيا ويندا آهن، ۽ جيڪڏهن سب ٽائيٽلز تصوير جي ويجهو هجن، ته اهي مڪمل طور تي نہ ڏيکاريا ويندا. يعني اڌ ڪٽيل سب ٽائيٽلز هڪ عام مسئلو آهي.

ٻيا اختيار صحيح نه آهن ڇو ته:

*   **A: هڪ تصوير جيڪو پوري اسڪرين تي نٿي اچي:** پيراگراف ۾ اوور اسڪين جي باري ۾ ڳالهائي وئي آهي، جنهن تحت تصوير پوري اسڪرين تي اچڻ جي بدرد ڪٽيل هوند آهي.
*   **C: هڪ تصوير جيڪو پوري اسڪرين تي اچي ٿي:** هي اختيار پيراگراف جي وضاحت جي برعكس آهي.
*   **D: ڪٽيل ڪنارا:** جڏهن ته پيراگراف ڪٽيل ڪناري جي باري ۾ ڳالهائي ٿو، پر هي مسئلو سب ٽائيٽلز جي نقصان کان وڌيڪ عام آهي."
برطانوي گاريسن ڪٿي واقع هئي؟,"The correct answer is **C: بورڊن ٽائون**.

The passage states: ""General John Cadwalader would launch a counterattack on the British garrison at Bordentown to block any relief force."" This directly indicates that the British garrison was located in Bordentown."
هٿ سان لکيل مسودي تي ڪنهن جي دستخط ظاهر ٿي هئي؟,"The correct answer is **D: چارلس ٿامسن**.

Here's why:

The passage states the manuscript was signed by ""Congress President John Hancock and Secretary Charles Thomson"". It specifically mentions Thomson's hand being on the signed document.

Let's look at why the other options are incorrect:

*   **A: جون ڊنلپ:** John Dunlop was the printer, not a signer.
*   **B: جورج واشنگٽن:** George Washington received a copy to read to his troops, but did not sign the original.
*   **C: جون نڪسن:** John Nixon read the document publicly, but didn't sign it.



"
ھيٺ ڏنل هنڌن مان، هڪ ڊنلیپ براڊسائيڊ آخري ڪٿي پهتو؟,"The correct answer is **C: London**.

Here's why:

The text states: ""One copy arrived in London on August 10th."" This directly answers the question of where a Dunlap Broadside last reached.

Let's look at why the other options are incorrect:

*   **A: New York** - A copy was read to Washington's troops in New York, but it didn't *arrive* there last.
*   **B: Dunlap's printing shop** - The broadsides were *made* at Dunlap's shop, but didn't end their journey there.
*   **D: Independence Hall** - The Declaration was first read publicly at Independence Hall, but the question asks where a Dunlap Broadside ended up."
ڪرنل اسٽارڪ جا فوجي لشڪر ڪٿي واقع هئا؟,"The correct answer is **A: اُتر ڪناري تي، لوڙهي سان گڏ**.

Here's why:

The text states: ""اسٽارڪ جي ماڻهن نئين آبادي جي ماڳ جي اتر ڇيڙي تي واڙ سان گڏ بيهڪ ورتي."" which translates to ""Stark's men took position along the marsh at the north end of the new settlement.""

Let's look at why the other options are incorrect:

*   **B: هڪ سمنڊ ڪناري پاڻي جي ڇيڙي تي (A sea shore at the end of the water):** While the text mentions they were near the water, it specifically states they were at the *north end* and *with the marsh*.
*   **C: پيننسيولا جي اتر اوڀر ۾ (In the northeast of the peninsula):**  The text doesn't specify northeast, only north.
*   **D: لوڙهي جي اڳيان (In front of the marsh):** The text states they were *with* the marsh, not simply in front of it.



"
پيراگراف جي مطبق، اسٽارڪ جي ماڻهن پنهنجي لوڙهي کي ڪڏهن وڌايو؟,"Correct answer is **C: ننڍي لهر دوران**.

The paragraph states: ""جڏهن ننڍي لهر ڳجهي دريا سان گڏ پيننسولا جي اتر اوپر ويجهو هڪ ڏار وڌو، انهن سمنڊ جي ننڍي ڪناري تي پاڻي جو اترئين پوڇڙي وٽ هڪ ننڍڙن پٿرن جو ڳنڍو تيزي سان وڌايو."" This directly translates to ""When the small wave surged near the peninsula's northern tip along the hidden river, they quickly raised a pile of small stones by the northern tail of the water on the small sea shore."" This indicates they increased their barricade *during* the small wave.

Let's look at why the other options are incorrect:

*   **A: جڏهن ڪلنسٽن ٻيهر نافظ ڪرڻ لاءِ چيو** - The paragraph doesn't mention a ""کلنسٽن"" or anyone requesting to enforce something.
*   **B: انتظاميه جو اسٽيڪ پاس ڪرڻ کانپوءِ** - The paragraph mentions a stake was placed, and they were *not* to fire until it was passed, but it doesn't state they increased their barricade then.
*   **D: جڏهن فوجي لشڪرن اڳيون پوزيشنون سنڀاليون** - While the military did take positions, the barricade increase happened specifically *during* the wave.



"
پیراگراف جي مطابق، هيٺين مان چين جو سڀ کان پرتشدد دور ڪھڙو ھو؟,"The correct answer is **D: The Three Kingdoms period**.

The paragraph specifically states: ""The Three Kingdoms period was one of the bloodiest in ancient Chinese history, with thousands of people dying vying for the imperial seat in the grand palace of Xian.""

Let's look at why the other options are incorrect:

*   **A: Jin Dynasty:** The paragraph mentions the Three Kingdoms *leading into* the Jin Dynasty, not that the Jin Dynasty itself was violent.
*   **B: Xian Dynasty:** This isn't mentioned in the text. The paragraph refers to the grand palace of Xian, but not a Xian Dynasty.
*   **C: Han Dynasty:** The paragraph mentions the Han Dynasty as a period *before* the Three Kingdoms, not as the most violent period itself."
