question,gemma3_reply
"Ngekusho kwendzima, yini lebeyingeke itsatfwe njenge thiphu lekungiyo yekudlala ngemphumelelo inkositini?","The correct answer is **A: Kute utfole ivolomu lengetiwe, khulisa emandla loshaya ngawo sikhiya**.

Here's why:

The passage *specifically* states: ""Kulenkositini, kutfola umsindvo lowengetiwe, usebentisa tifutfo leticindzetela kakhulu noma letinesivinini lesikhulu."" and also ""asikho sidzingo sekucindzetela emabhathini ngemandla lamakhulu kute ukhulise umsindvo"". This directly contradicts the idea of increasing force to get louder volume.

Let's look at why the other options are correct based on the text:

*   **B:** The passage encourages avoiding unnecessary tension (""futsi tama kutsi ungacinisi tandla kakhulu ngetingalo takho"").
*   **C:** The passage begins by stating ""Yenta siciniseko sekutsi sandla sakho sikhululekile uma usashaya emanothi kahle"" (Make sure your hand is relaxed when you play notes well).
*   **D:** The passage states that volume can be increased by using keys that are pressed harder or have greater velocity.



"
"Uma udlala inkositini, ngukuphi lokutawusita kukhulisa Ivolomu?","The correct answer is **A: Sivinini lesingetiwe** (Increased velocity).

Here's why:

The passage specifically states: ""...kutfola umsindvo lowengetiwe, usebentisa tifutfo leticindzetela kakhulu **noma letinesivinini lesikhulu**.""  This translates to ""...getting increased volume, using fingers that press harder **or that have higher velocity**.""

Let's look at why the other options are incorrect:

* **B: Emandla langetiwe (Increased strength):** The passage *explicitly* says not to press the keys with excessive force (""asikho sidzingo sekucindzetela emabhathini ngemandla lamakhulu"").
* **C: Kucindzetela lokuphasi (Passing pressure):** This doesn't directly relate to increasing volume as described in the text.
* **D: Kunyangata kwemunwe lokuphasi (Passing finger flexibility):** While finger flexibility is important for playing, the passage focuses on velocity and force as volume controls.



"
Kungani titfombe letikumabonakudze tijube imincele yato?,"The correct answer is **B: Ngako sitfombe sigcwalisa sikilini sonkhe** (So the image fills the entire screen).

Here's why:

The passage explicitly states that the black bars are added to ensure ""the image is seen completely on the screen."" This process is called ""filling the image on the screen.""  The passage also explains that when making a DVD, these bars get included, which can cause issues with subtitles or text at the top and bottom.

Let's look at why the other options are incorrect:

*   **A: Kuvumela imibhalo lengaphasi** (To allow subtitles) - While the bars *can* affect subtitles, that's a *result* of the bars, not the *reason* for them.
*   **C: Kuvumela kugucula lokulula kwalamanye emafomathi** (To allow easy conversion to other formats) - The passage doesn't mention anything about format conversion.
*   **D: Kujuba imibhalo lengaphasi dvutane kakhulu naphasi** (To make subtitles more visible at the bottom) - This is the opposite of what the passage describes; the bars actually *hide* parts of the screen, including potentially subtitles.



"
"Ngekusho kwendzima, ngutiphi tinkinga kuleti letilandzelako umuntfu langahle ahlangabetane nato uma agucula ibhayisikobho ibe ifomethi ye-DVD?","The correct answer is **B: Imibhalo lephasi isikwe kancane** (Text at the bottom is cut off).

Here's why:

The passage specifically states that when converting to DVD, captions or text that was originally at the top and bottom of the screen (like subtitles) may be cut off.  This is because DVDs are expected to include the full border of the image and the passage says that text ""won't appear well"" if it was positioned near the edges originally.

Let's look at why the other options are incorrect:

* **A: Sitfombe lesingagcwali sikilini sonkhe** (Image doesn't fill the screen) - The passage explains that the original broadcasts *fill* the screen, which is the problem.
* **C: Sitfombe lesigcwala sikilini sonkhe** (Image fills the screen) - The passage does *not* say this is the problem; it's the reason the text gets cut off.
* **D: Juba imichele** (Too much border) - While a border is mentioned, it's not described as the *problem* itself, just a consequence.



"
Belikuphi libutfo lemasotja aseBhrithani?,"The correct answer is **A: I-Assunpink Creek**.

The text states that General Ewing ""would station 700 troops at the Trenton Ferry, harass the enemy vigorously at Assunpink Creek and prevent all the enemy troops from escaping."" This clearly indicates the British troops were at or near Assunpink Creek.
"
Kwabani lokusayina lokuvele kulokusalungiswa lokubhalwe ngesandla?,"The correct answer is **D: Ya-Charles Thomson**.

Here's why:

The passage states the document was signed by President of the Continental Congress John Hancock **and Secretary Charles Thomson**. The question asks who *signed* the document alongside Hancock. Therefore, Charles Thomson is the correct answer.

Let's look at why the other options are incorrect:

*   **A: Ya-John Dunlap** - John Dunlap was the printer, not a signer.
*   **B: Ya-George Washington** - George Washington *received* a copy and read it to his troops, but did not sign the original.
*   **C: Ya-John Nixon** - John Nixon was the first to read the document publicly, but didn't sign it.



"
"Kuletindzawo letilandzelako, kukuphi lapho i-Dunlap broadside yafika khona ekugcineni?","The correct answer is **C: e-London**.

The passage states: ""Ikhophi yafika eLondon mhlaka-10 ngeNgci."" (A copy arrived in London on November 10th).

Let's look at why the other options are incorrect:

* **A: i-New York** - While a copy was *read* to soldiers in New York, it wasn't the final destination of a broadside.
* **B: Sitolo sekuphrinta sa-Dunlap** - The broadsides were *printed* at Dunlap's print shop, but that wasn't the final destination.
* **D: i-Independence Hall** - The document was first *read* there, but it was then distributed to other places.



"
Bewahlala kuphi emasotja a-Colonel Stark?,"The correct answer is **C: Ngasenyakatfo yempumalanga ye-peninsula**.

Here's why:

The text states: ""Ematsotja lacinisa letikhudla letiphambili ahlanganisa libutfo lekucala nelesitfatfu lemadvodza langema-200 aseNew Hampshire...Ngekhatsi kwehla kwemanti lokuphansi kuvula umsele kulomfula iMystic **ngasenyakatfo-mphumalanga yePeninsula**...""

This directly states that Colonel Stark's troops gathered on the northeast side of the peninsula.



"
"Ngekusho kwendzima, emadvodza aStark alule dalada wawo?","The correct answer is **B: Ngemuva kwekutsi labajwayelekile bandlulise sigcobo**.

Here's why:

The text states: ""Emadvodza aStark abegudle fenisi eme ngale kulelelinye live."" (Stark's men dug a fence on the other side of the river.) This implies they dug the fence *after* crossing the river (the ""sigcobo"" - crossing/ford).

Let's look at why the other options are incorrect:

*   **A: Ngalesikhatsi Emakholoni acela kuciniswa** - The colonists asking to be pardoned isn't related to when they dug the fence.
*   **C: Ngesikhatsi seligagazi lelincane** -  The text mentions a small ditch but doesn't link it to when the fence was dug.
*   **D: Ngalesikhatsi emasotja atsatsa tikhundla letiphambili** - While the soldiers were taking positions, the text specifies the fence was dug *after* they crossed the river.



"
"Ngekusho kwendzima, ngikuphi kwalokungulokunye kwetikhatsi teludlame kakhulu eChina?","The correct answer is **D: Sikhatsi Semibuso Lemitsatfu**.

Here's why:

The passage specifically states: ""Phakatsi netikhatsi kwaba timphi letineludlame emkhatsini webantfu labanyenti labaphila ngendlela lephakeme balwela bukhosi... tinkhulungwane tebantfu tafa tilwela kuhlala etihlalweni letiphakeme eXi’an"" **during the Period of the Three Kingdoms** (Sikhatsi Semibuso Lemitsatfu).  It directly links widespread violence and fighting for power to this period.

Let's look at why the other options are incorrect:

*   **A: Bukhosi baJin:** The passage mentions the Jin Dynasty as *following* the Three Kingdoms period, not being a time of intense conflict itself within the excerpt.
*   **B: Sikhatsi se-Xi’an:** Xi’an is mentioned as a location where people fought for power, but it's not the *period* of the violence.
*   **C: Bukhosi baHan:** The Han Dynasty is mentioned as a period *before* the Three Kingdoms, and the text doesn’t highlight it as particularly violent within this context.



"
"Ngekusho kwendzima, liyini liciniso ngemasotja etintfutfwane letingena esigabeni sekuzulazula?","The correct answer is **A: Bahlala ebusuku**.

Here's why:

The passage states: ""Ngesikhatsi sekuzulazula, tintfutfwane letilubutfo timasha ebusuku futsi time emini kuze tiphumule."" This directly translates to: ""During the wandering phase, the soldier termites march at night and rest during the day.""

Let's look at why the other options are incorrect:

* **B: Banekudla lokuncane** - The passage mentions food scarcity *during* the hardship stage (ikholoni icala sigaba sekuphila ngekukhatsateka ngesikhatsi kuncipha kudla), not specifically during the wandering phase.
* **C: Bakha tidleke letishintjwako ngemuva kwemalanga langu-17** - The passage says they build temporary nests *every* day, not after 17 days.
* **D: Bamasha emini** - The passage explicitly states they march at *night* (timasha ebusuku).



"
"Ngekusho kwendzima, ngusiphi sitatimende lesikhombisa ngalokungiko imikhuba yekuhlala kwemasotja etintfutfwane phakatsi nesigaba sekutilula?","The correct answer is **C: Bashintja tidleke wonkhe malanga.**

Here's why:

The passage states: ""Ikholoni icala sigaba sekuphila ngekukhatsateka ngesikhatsi kuncipha kudla. Kulesikhatsi, lekholoni yenta tilulu tesikhashana letishintjwako onkhe emalanga.""  This translates to ""The colony enters a stage of life with hardship when food decreases. At this time, the colony makes temporary nests that are changed every day.""

Let's look at why the other options are incorrect:

* **A: Bakha tindleke ebusuku** - The passage says they *move* at night, not build nests.
* **B: Bamasha emalanga langu-17 ngaphandle kwekuhlala** - The passage doesn't mention a specific number of days (17) or a period without settling.
* **D: Basebentisa tidleke letifanako ngesikhatsi sesigaba** - The passage explicitly states the nests are *changed* every day, meaning they are not the same.



"
Ngikuphi lokulandzelako lokutochubeka nangetulu kwekubakhona kwetimphawu tangaphandle?,"The correct answer is **C: Emawashi etintfo letiphilako**.

Here's why:

The passage specifically states: ""Emawashi laphilako langema-oscillator latigcinako latochubeka sikhatsi sekugijima noma tingekho tinkhomba tangaphandle."" (Living clocks, as oscillators, maintain a sense of time even without external cues.)  This directly refers to the ability of biological clocks to continue functioning independently of external signals.

Let's look at why the other options are incorrect:

*   **A: Imijikeleto lengapheli (Perpetual cycles):** While biological rhythms *create* perpetual cycles, the passage focuses on the mechanism *driving* those cycles - the biological clocks themselves.
*   **B: Tigci tetikhatsi (Environmental cues):**  The passage emphasizes that the clocks function *even without* environmental cues.
*   **D: Tigci letibukwako (Observed cycles):**  This refers to what we *see* happening, not the internal mechanism.



"
