question,gemma3_reply
"Мувофиқи порчаи матн, барои бомуваффақият навохтани аккордеон чӣ маслиҳати хуб ҳисобида намешавад?","The correct answer is **A: Барои садои баландтар, қувваро барои пахши клавиатура зиёд кунед**.

Here's why:

The passage explicitly states: ""Дар хотир доред, ки ягон зарурати пахш кардани клавиатура бо қувваи бисёр барои садои баландтар, ба мисли дар фортопиано, нест."" (Remember there is no need to hit the keyboard with more force for a louder sound, like on a piano).

The other options are all good advice given in the passage:

*   **B:** ""Боварӣ ҳосил кунед, ки дасти шумо то ҳадди имкон осуда аст..."" (Ensure your hands are as relaxed as possible) and ""...кӯшиш кунед, ки бо ангуштони худ ҳаракатҳои бегона накунед."" (Try not to make unnecessary movements with your fingers)
*   **C:** ""Боварӣ ҳосил кунед, ки дасти шумо то ҳадди имкон осуда аст, дар ҳоле ки ҳама нотаҳоро дуруст мезанед"" (Ensure your hands are as relaxed as possible while hitting all the notes correctly)
*   **D:** ""...барои ба даст овардани ҳаҷми иловагӣ, шумо асбобро бо фишор ё суръати баландтар истифода мебаред."" (to get additional volume, you use the instrument with more pressure or speed)



"
Кадоме аз инҳо ба баланд бардоштани садо ҳангоми навохтани аккордеон кӯмак мекунад?,"The correct answer is **A: Суръати баландтар**.

The passage explicitly states: ""In an accordion, to obtain additional volume, you use the instrument with more pressure or **higher speed**.""

Let's look at why the other options are incorrect:

* **B: Қувваи бисёр (More force):** The passage specifically says *not* to play with a lot of force like on a piano.
* **C: Фишори камтар (Less pressure):** The passage says more pressure.
* **D: Ҳаракати камтари ангуштон (Less finger movement):** While minimizing unnecessary movement is good for comfort, it doesn't directly increase volume."
Чаро расмҳо дар телевизион ҳошияҳои буридашуда доранд?,"The correct answer is **B: Барои бо расм пӯшондани тамоми экран**.

The passage explicitly states: ""Ин барои он карда шудааст ки расм тамоми экранро пӯшонад."" (This is done so that the picture covers the entire screen.)

Here's why the other options are incorrect:

*   **A: Барои ҷойгир шудани субтитрҳо** - While overscan *can* affect subtitles, it's not the primary reason for overscan.
*   **C: Барои табдили содда ба дигар форматҳо** - Overscan is a display setting, not related to format conversion.
*   **D: Барои буридани субтитрҳои ба қисмати поён наздик** - This is a *result* of overscan, not the reason for it."
"Тибқи порчаи матн, ҳангоми табдил додани филм ба формати DVD ба кадоме аз мушкилоти зерин дучор шудан мумкин аст?","The correct answer is **B: Қисман бурида шудани субтитрҳо**.

Here's why:

The text specifically states that overscan can cause subtitles close to the bottom of the video to be *completely cut off* when converting to DVD format.  This means they are shown incompletely, or *partially cut off*.

Let's look at why the other options are incorrect:

*   **A: Расм дар тамоми экран ҷойгир намешавад** - The text explains overscan *causes* the image to fill the screen, not fail to do so.
*   **C: Расм, ки тамоми экранро мепӯшонад** - This is a *result* of overscan, not a problem created when converting to DVD.
*   **D: Ҳошияҳои буридашуда** - While overscan *involves* cropping edges, the text focuses on the problem this causes with elements like subtitles that are near the edges. The problem isn't the cropping itself, but what it does to the content."
Гарнизони Бритониё дар куҷо ҷойгир буд?,"The correct answer is **C: Bordenstown**.

The passage states, ""General John Cadwalader would launch a diversionary attack on the British garrison at Bordenstown..."" This directly indicates that the British garrison was located in Bordenstown."
Имзои кӣ дар лоиҳаи хаттӣ буд?,"The correct answer is **D: Чарлз Томсон**.

The text states the declaration was signed by ""President of Congress John Hancock and Secretary Charles Thomson."" While John Hancock is also mentioned, Charles Thomson is specifically named as a signer of the engrossed (final, handwritten) copy.

Here's why the other options are incorrect:

*   **A: Джон Данлэп** - He was the printer, not a signer.
*   **B: Ҷорҷ Вашингтон** - He received a copy and read it to his troops, but didn't sign the initial document.
*   **C: Ҷон Никсон** - He was the first to read the document publicly, but didn't sign it."
Dunlap broadsides аз ҷойҳои зерин ба куҷо охирон расид?,"The correct answer is **C: Лондон**.

Here's why:

The passage states: ""Нусхаи он рӯзи 10 август ба Лондон дастрас гардид."" (A copy of it arrived in London on August 10th). This indicates that Dunlap broadsides eventually reached London.

Let's look at why the other options are incorrect:

*   **A: Ню-Йорк** - While read to soldiers in New York, this wasn't the *final* destination.
*   **B: Матбааи Джон Данлэп** - This is where they were *printed*, not where they ultimately ended up.
*   **D: Толори Индепенденс** - This is where the first public reading occurred, but it wasn't the final destination.



"
Сарбозони полковник Старк дар куҷо ҷойгир буданд?,"The correct answer is **A: Дар охири шимол, дар канори девор**.

The text specifically states: ""Тарафдорони Старк дар канори девор дар охири шимоли мавқеи Колонист мавқеъ гирифтанд."" (Stark's supporters positioned themselves on the edge of the wall at the northern end of the Colonist position).

Let's look at why the other options are incorrect:

*   **B: Дар соҳили канори об** - While they built a wall near the Mystic River, they weren't *on* the shore initially.
*   **C: Дар канори қисми шимолу шарқии нимҷазира** - They were at the northern end, not specifically the northeastern edge.
*   **D: Пеш аз девор** - They later put a skirmish line *in front* of the wall, but their initial position was *at* the wall."
"Тибқи порчаи матн, тарафдорони Старк кай девори худро паҳн карданд?","The correct answer is **C: Ҳангоми кушодани фосилаи ҷазр**.

Here's why:

The text specifically states: ""Вақте ки дар соҳили дарёи Мистик дар шимолу шарқи нимҷазира ҷазр фосилае кушод, онҳо ба самти шимол зуд девори сангини кӯтоҳе бардошта, он деворро то ҳошияи оби соҳили хурд бурданд."" This directly links the building of the wall to the opening of a gap by the tide.

Let's look at why the other options are incorrect:

*   **A:** The wall building happened *while* the colonists called for reinforcements, but it wasn't *because* of it. The tide was the direct trigger.
*   **B:** The text states that shooting was to wait *until* the redcoats passed the wall, not that the wall was built after they passed the wall.
*   **D:** The arrival of the reinforcements and the wall building occurred concurrently, but the tide opening a gap was the direct cause of starting to build the wall."
"Тибқи порчаи матн, кадоме аз давраҳои зерин яке аз бераҳмтарин дар Чин буд?","The correct answer is **D: Давраи “Се Салтанат”**

The text specifically states: ""Дар таърихи Чини Қадим Се Шоҳигарӣ яке аз ҳама хуншортарин давра буданд: ҳазорҳо нафарон барои ишғол намудани вазифаи баландтарин дар дарбори боазамат дар Сиан мубориза бурда, нобуд шудаанд."" 

Therefore, the ""Се Салтанат"" (Three Kingdoms) period is described as one of the most brutal in Chinese history."
