question,gemma3_reply
"Ayon sa sipi, ano ang hindi maituturing na tumpak na paalala para sa matagumpay na pagpapatugtog ng akordyon?","The correct answer is **A: Para sa mas malakas na volume, dagdagan ang puwersa ng pagpindot sa teklado**.

Here's why:

The passage explicitly states: ""Tandaan, walang pangangailangan na pindutin nang madiin ang mga teklado para lumakas ang tunog katulad ng kapag sa piyano.""  This directly contradicts option A.

Let's look at why the other options are accurate based on the passage:

*   **B:** ""subukan ding huwag gumawa ng labis na paggalaw sa iyong mga daliri. Sa ganitong paraan, papagurin mo lamang ang sarili mo nang kaunti hangga't maaari."" - This supports conserving stamina.
*   **C:** ""Siguruhing kalmado ang iyong kamay hangga't posible habang wastong inaabot pa rin ang lahat ng mga nota"" - This directly reflects the passage's advice.
*   **D:** ""upang makakuha ng karagdagang dami, gumamit ka ng mga bellow na mayroong higit na presyon at bilis"" - This is what the passage says about increasing volume.



"
"Kapag nagpapatugtog ng akordyon, alin sa mga sumusunod ang makatutulong sa pagpapalakas ng volume?","The correct answer is **A: Mas mabilis na paggalaw**.

Here's why:

The passage specifically states: ""Sa akordyon, upang makakuha ng karagdagang dami, gumamit ka ng mga bellow na mayroong higit na presyon at bilis.""  ""Bilis"" translates to ""speed"" or ""faster movement.""

Let's look at why the other options are incorrect:

* **B: Mas malakas na puwersa:** The passage explicitly says you *don't* need to press the keys harder.
* **C: Mas mababang presyon:** The passage states you need *more* pressure on the bellows.
* **D: Mas kakaunting paggalaw ng daliri:** The passage advises against excessive finger movement to conserve energy, not to increase volume.



"
Bakit putol ang mga border sa mga imahe sa telebisyon?,"The correct answer is **B: Upang mapuno ang buong screen ng imahe**.

The passage explicitly states: ""Ginagawa ito upang matiyak na natatakpan ng larawan ang buong screen."" This explains why televisions cut off the edges of the image – to ensure the entire screen is filled.

Let's look at why the other options are incorrect:

*   **A: Upang makapaglagay ng subtitles:** While overscan *can* affect subtitles, it's not the reason for overscan itself.
*   **C: Upang mapasimple ang pag-convert sa ibang format:** The passage doesn't mention anything about simplifying conversions.
*   **D: Upang maging napakalapit ng subtitle sa ibabang bahagi:** This is a *result* of overscan, not the reason for it.



"
"Ayon sa sipi, alin sa mga sumusunod na problema ang maaari mong maranasan kapag nagko-convert ng movie sa DVD format?","Ang tamang sagot ay **B: Subtitles na bahagyang naputol**.

Ayon sa sipi, ang overscan ay maaaring magresulta sa pagputol ng mga hangganan ng bidyo, at kung ang mga subtitle ay malapit sa ibaba, hindi ito makikita nang buo.  Ito ang direktang sinasabi ng teksto.

Narito kung bakit mali ang ibang mga pagpipilian:

* **A: Imahe na hindi mapupuno ang buong screen:**  Sinabi sa sipi na ang overscan ay *ginawa* upang punuin ang buong screen.
* **C: Image na mapupuno ang buong screen:** Ito ay resulta ng overscan, hindi problema.
* **D: Naputol na mga border:** Ito ay bahagi ng paliwanag ng overscan, ngunit ang *problema* ay kung paano nito naaapektuhan ang mga subtitle.
"
Saan may matatagpuan na Britanong garison?,"The correct answer is **C: Bordentown**.

The passage states: ""Heneral John Cadwalder laban sa Britanong garison sa **Bordentown**..."" 

Therefore, the British garrison is located in Bordentown."
Kaninong lagda ang makikita sa sulat-kamay na borador?,"The correct answer is **D: Charles Thomson**.

The passage states: ""...isang sulat-kamay na borador na nilagdaan ng Pangulo ng Kongreso na si John Hancock **at ng Kalihim na si Charles Thomson**...""

Here's why the other options are incorrect:

*   **A: John Dunlap** - He was the printer, not a signer of the draft.
*   **B: George Washington** - He received a copy, but didn't sign the draft.
*   **C: John Nixon** - He read the document publicly, but didn't sign the draft.



"
"Sa mga sumusunod na lokasyon, saan huling dumating ang mga paskil ng Dunlap?","Ang tamang sagot ay **C: Sa London**.

Ayon sa teksto, ""Nakarating ang isang kopya sa London noong Agosto 10."" Ito ang pinakahuling lokasyon na binanggit kung saan dumating ang mga paskil ng Dunlap.

Narito kung bakit mali ang ibang pagpipilian:

*   **A: Sa New York** - Dumating ang kopya sa New York noong Hulyo 9, mas maaga kaysa sa London.
*   **B: Sa imprentahan ni Dunlap** - Ginawa ang mga paskil sa imprentahan ni Dunlap, hindi ito lugar kung saan ito dumating.
*   **D: Sa Bulwagan ng Kalayaan** - Naganap ang unang pagbasa sa Bulwagan ng Kalayaan noong Hulyo 8, mas maaga kaysa sa London."
Saan nakapuwesto ang mga sundalo ni Koronel Stark?,"The correct answer is **A: Sa dulong hilaga, malapit sa bakod**.

The text specifically states: ""Pumuwesto ang mga kalalakihan ni Stark sa tabi ng bakod sa dulong hilaga ng posisyon ng Colonist."" 

Let's look at why the other options are incorrect:

* **B: Sa baybayin, malapit sa tubig** - While they built a wall *towards* the water, they weren't initially *near* the water.
* **C: Sa hilagang silangan ng peninsula** - This is a general location, but doesn't pinpoint their specific position.
* **D: Sa harap ng bakod** -  They built a wall *in front* of the bakod, but were positioned *beside* it initially.



"
"Ayon sa sipi, kailan pinahaba ng mga tauhan ni Stark ang bakod?","The correct answer is **C: Habang bumababa ang tubig sa baybayin**.

The text explicitly states: ""Kapag ang pagbaba ng tubig ay nagbukas ng siwang sa gilid ng Mystic River sa kahabaan ng hilagang silangan ng peninsula, agad nilang pinalalaki ang bakod..."" This directly links the extension of the fence to the falling tide.

Let's look at why the other options are incorrect:

*   **A: Habang tumatawag ang mga Kolonista ng karagdagang tulong:** While the colonists *were* requesting aid, the text doesn't say the fence was extended *during* that time, only that it happened concurrently.
*   **B: Matapos dumaan ang mga hukbong regular sa haligi:** The fence was extended *before* the British troops were supposed to reach the firing line (the column).
*   **D: Noong pumunta ang mga sundalo sa posisyong pinakamalapit sa labanan:** This is too general. The text specifies the *timing* of the fence extension with the tide, not just the arrival of soldiers.



"
"Ayon sa sipi, alin sa mga sumusunod ang isa sa pinakamarahas na panahon ng Tsina?","The correct answer is **D: Ang panahon ng Tatlong Kaharian**.

The passage explicitly states: ""Ang Tatlong Kaharian ay isa sa mga pinakamadugong panahon sa kasaysayan ng Lumang Tsina..."" (The Three Kingdoms was one of the bloodiest periods in the history of Old China...).

Let's look at why the other options are incorrect:

*   **A: Ang Dinastiyang Jin:** The passage states it *followed* the period of the Three Kingdoms, not that it *was* a bloody period itself.
*   **B: Ang panahon ng Xi’an:** Xi’an is a city, and the passage mentions it as the location of the palace, not as a period of time.
*   **C: Ang Dinastiyang Han:** The passage states the Three Kingdoms period happened *between* the Han and Jin dynasties, not that it was the Han dynasty itself that was bloody.



"
