question,gemma3_reply
Quyidagi gaplardan qaysi biri sherlarning xatti-harakatlarini to'g'ri tasvirlamaydi?,"To'g'ri javob **D: Ularning xatti-harakatlari boshqa yirik mushuklarning xatti-harakatlariga o'xshaydi**.

Matnda aytilishicha, sherlar boshqa yirik mushuklardan farqli o'laroq, juda ijtimoiy hayvonlar va bo'rilar yoki itlarga o'xshash xatti-harakatlarga ega. Shuning uchun ularning xatti-harakatlari boshqa yirik mushuklarning xatti-harakatlariga o'xshaydi, degan gap matn ma'lumotlariga to'g'ri kelmaydi.

Qolgan javoblar matnda tasdiqlanadi:
*   **A: Ular juda ijtimoiylashgan** - Matn sherlarning to'dalarda yashashini va ijtimoiy ekanligini ta'kidlaydi.
*   **B: Ularning xatti-harakatlari bo'rilarning xatti-harakatlariga o'xshash** - Matn sherlar va bo'rilar to'dalarining o'xshashligini aytadi.
*   **C: Erkaklari ham, urg'ochilari ham o'lja uchun juda halokatli** - Matn sherlarning o'lja uchun xavfli ekanligini ta'kidlaydi."
Quyonlar qaysi turdagi yirtqichlar uchun doimiy o'lja hisoblanadi?,"The correct answer is **C: O'rta kattalikdagi mushuksimonlar**.

The passage states: ""P: Ularga quyonlardan tortib antilopa va kiyiklargacha bo'lgan o'rta kattalikdagi o'ljalarni yeyuvchi **o'rta kattalikdagi mushuklar** kiradi."" This directly links rabbits as prey for medium-sized cats.



"
Quyidagilardan qaysi biri odatda kichik mushuksimonlar tomonidan ovlanadi?,"The correct answer is **A: Kemiruvchilar**.

The passage specifically states that many small felines (including house cats) eat ""small prey like insects, rodents, lizards, and birds.""  

Let's look at why the other options are incorrect:

* **B: Quyonlar (Rabbits):** The passage states rabbits are eaten by *medium-sized* cats.
* **C: Antilopalar (Antelopes):** The passage states antelopes are eaten by *medium-sized* cats.
* **D: Kiyik (Deer):** The passage states deer are eaten by *medium-sized* cats.



"
Quyidagilardan qaysi biri otselotning ovlash usulining bir qismi emas?,"To'g'ri javob **D: Faqat kichikroq hayvonlarni ovlash**.

Matn otselotlar ko'p vaqtni kichikroq hayvonlarni ovlashda o'tkazishini tasdiqlaydi, ammo bu ularning ovlash usuli emas, balki ularning o'ljasining xususiyatidir.

Qolgan barcha javoblar matnda otselotning ovlash usulining bir qismi sifatida keltirilgan:

*   **A: Atrof-muhit bilan uyg'unlashish** - Matnda keltirilgan.
*   **B: O'ljasining hididan borish** - Matnda keltirilgan.
*   **C: Tunda o'ljalarini ta'qib qilish** - Tungi ko'rish va tovush chiqarmasdan harakatlanish qobiliyati tufayli tunda ta'qib qilishga qodir ekanligi matnda ko'rsatilgan."
Quyidagilardan qaysi biri otselotni to'g'ri tasvirlamaydi? ,"To'g'ri javob **C: Ularning hid sezish qobiliyati kuchsiz**.

Matnning birinchi qismida aytilishicha, oselotlar o'lja hayvonlarni ular yurgan yerlarni hidlash orqali kuzatib topadilar. Bu ularning hid sezish qobiliyati kuchli ekanligini ko'rsatadi. Qolgan javoblar matnda keltirilgan ma'lumotlarga mos keladi:

*   **A: Ular tunda yaxshi ov qilishga qodir** - Matnda ""Tungi ko'rish qobiliyati yordamida ular qorong'ida juda yaxshi ko'ra oladi"" deyiladi.
*   **B: Ular sokin harakatlanadi** - Matnda ""ham tovush chiqarmasdan harakatlanadi"" deb yozilgan.
*   **D: Ular kichik hayvonlarni ovlashni afzal ko'radi** - Matnning boshida ""Otselotlar kichik hayvonlarni yeyishni yaxshi ko'radi"" deyiladi."
Quyidagilardan qaysi biri yo'lbarsning eng kuchli tomoni hisoblanmaydi?,"To'g'ri javob **B: Tirmashib chiqish**.

Matnda yo'lbarsning tirmashib chiqish qobiliyati ""yaxshi bo'lmasa-da"" deyilgan. Boshqa barcha qobiliyatlar (o'kirish, sakrash, tortish) yo'lbarsning kuchli tomonlari sifatida ta'riflangan."
"Matnga ko'ra, yo'lbarslar va sherlar o'rtasidagi farq nimada?","To'g'ri javob **B: Ularning o'kirish ovozi**

Matnda aniq aytilgan: ""Yo'lbars na'rasi sherning to'liq ovozli na'rasiga o'xshamaydi, aksincha, ko'proq irillab, o'kirib aytilgan so'zlardan iborat jumlaga o'xshaydi.""

Boshqa javoblar matnda aniq farq sifatida ko'rsatilmagan."
"Matnga ko'ra, Robert Huk boshqa biologlardan oldinroq nima qilgan?","To'g'ri javob: **A: O'lik hujayralarni kuzatish**

**Sababi:** Matnda aytilishicha, Robert Huk ""o'lik hujayralarni kuzatgan dastlabki inson bo'ldi"". Boshqa variantlar matnda unga tegishli emas. 

*   **B** to'g'ri, lekin matn uni boshqa biologlardan ajratib turmaydi.
*   **C** to'g'ri, lekin bu shunchaki u ko'rgan narsaning tavsifi.
*   **D** u qilmagan, hujayra nima ekanligini aniqlashga boshqalar hissa qo'shgan."
“Hujayra” so'zi nimani anglatadigan so'zdan kelib chiqqan?,"To'g'ri javob **B: Kichkina xona**.

Matnda aytilishicha, ""Hujayra"" so'zi kichkina xona ma'nosini bildiruvchi lotincha ""cella"" so'zidan olingan."
"Matnga ko'ra, ko'pchilik hayvonlar nima qilish qobiliyatiga ega?","To'g'ri javob **B: Harakatlanish**.

Matnda aniq aytilgan: ""Ko'pchilik hayvonlar harakatlana oladilar."" Qolgan javoblar (uchish, suzish, qazish) ham matnda aytilgan, lekin ular ""ko'pchilik"" hayvonlarga xos emas."
