question,gemma3_reply
"Menurut petikan, apakah petua yang dianggap tidak tepat untuk memainkan akordion dengan baik?","Jawapan yang betul ialah **A: Untuk menambah kelantangan, tingkatkan daya anda menekan kekunci**.

Petikan menyatakan bahawa tidak perlu menggunakan banyak tenaga untuk menekan kekunci pada akordion, dan sebagai gantinya, kelantangan diperolehi melalui tekanan atau kelajuan yang lebih tinggi pada belos. Ini secara langsung bertentangan dengan pilihan A.

Pilihan yang lain adalah betul berdasarkan petikan:

*   **B:** Petikan memang menyarankan untuk meminimumkan pergerakan yang tidak diperlukan untuk menjimatkan tenaga.
*   **C:** Petikan menekankan kepentingan tangan yang tenang dan menekan kekunci dengan betul.
*   **D:** Petikan menyatakan bahawa kelajuan belos boleh digunakan untuk mendapatkan kelantangan tambahan.



"
"Semasa memainkan akordion, manakah yang berikut membantu meningkatkan kelantangan?","Jawapan yang betul ialah **A: Lebih kelajuan**.

Petikan P menyatakan: ""Pada akordion, bagi mendapatkan kelantangan tambahan, anda guna pakai belos pada tekanan atau **kelajuan yang lebih tinggi**.""

Oleh itu, jawapan A adalah sepadan dengan maklumat yang diberikan dalam petikan."
Mengapa imej pada televisyen dipotong bingkainya?,"Jawapan yang betul ialah **B: Supaya imej memenuhi seluruh skrin**.

Petikan P menyatakan dengan jelas bahawa televisyen dibuat dengan cara yang memotong bingkai (atas, bawah, dan tepi) imej untuk **memastikan imej berkenaan meliputi seluruh skrin**.  Ini adalah sebab utama berlakunya ""overscan"".

Pilihan lain adalah tidak tepat:

*   **A:** Petikan tidak mengatakan bahawa pemotongan bingkai dilakukan untuk memberi ruang kepada sari kata. Sebaliknya, ia menyebut sari kata *mungkin* tidak dipaparkan sepenuhnya akibat daripada overscan.
*   **C:** Petikan menyatakan bahawa tujuan reka bentuk ini adalah untuk kemudahan orang awam, bukan untuk memudahkan penukaran format.
*   **D:** Pemotongan sari kata adalah *akibat* daripada overscan, bukan sebabnya."
"Menurut petikan, yang manakah antara masalah berikut mungkin dihadapi semasa menukar filem kepada format DVD?","Jawapan yang betul ialah **B: Sari kata terpotong sedikit**.

Petikan menyatakan bahawa ""jika video mempunyai sari kata terlalu dekat pada bahagian bawah, mereka tidak akan sepenuhnya dipaparkan"" kerana masalah *overscan*. Ini bermaksud sari kata akan terpotong sedikit.

Berikut adalah mengapa pilihan lain tidak betul:

*   **A: Imej tidak memenuhi seluruh skrin** - Petikan menyatakan bahawa *overscan* menyebabkan imej **meliputi** seluruh skrin, bukan tidak memenuhi.
*   **C: Imej memenuhi seluruh skrin** - Ini adalah akibat daripada *overscan*, tetapi bukan masalah yang dihadapi semasa penukaran.
*   **D: Bingkai terpotong** - Walaupun petikan menyebut bingkai dipotong pada TV, masalah utama semasa membuat DVD ialah bahagian tepi dipotong, yang mempengaruhi sari kata.



"
Di manakah terletaknya garison British?,"The correct answer is **C: Bordentown**.

The passage states: ""Jeneral John Cadwalder akan melancarkan serangan pengalihan perhatian melawan garison British di **Bordentown**..."" 

Therefore, the British garrison is located in Bordentown."
Tandatangan siapakah yang kelihatan pada draf tulisan tangan?,"The correct answer is **D: Charles Thomson**.

The text specifically states: ""...draf bertulis yang ditandatangani Presiden kongres John Hancock dan **Setiausaha Charles Thomson**..."" 

Therefore, Charles Thomson's signature appears on the handwritten draft."
"Antara pilihan berikut, yang manakah lokasi terakhir Dunlap broadside?","Jawapan yang betul ialah **C: London**.

Petikan menyatakan, ""Sesalinan sampai di London pada 10hb Ogos."" Ini menunjukkan London ialah lokasi terakhir yang diketahui bagi Dunlap broadside.

Berikut adalah mengapa pilihan lain tidak betul:

*   **A: New York** - Dunlap broadside telah dibacakan kepada pasukan di New York, tetapi tidak tinggal di sana.
*   **B: Kedai cetak Dunlap** - Dunlap broadside telah dicetak di sana, tetapi tidak tinggal di sana secara kekal.
*   **D: Independence Hall** - Dunlap broadside telah dibaca di sana, tetapi dihantar ke tempat lain.



"
Di manakah askar Kolonel Stark ditempatkan?,"Jawapan yang betul ialah **A: Di bahagian utara, di sepanjang pagar**.

Petikan menyatakan dengan jelas: ""Askar Stark mengambil kedudukan di sepanjang pagar di bahagian utara kedudukan pihak Kolonis.""

Pilihan lain tidak tepat:

*   **B:** Gigi air persisiran pantai - mereka memanjangkan pagar ke tepi air, tetapi tidak ditempatkan *di* gigi air tersebut.
*   **C:** Di sepanjang bahagian timur laut semenanjung - mereka ditempatkan di utara, bukan timur laut.
*   **D:** Di hadapan pagar - mereka meletakkan pancang di *hadapan* pagar, tetapi kedudukan utama mereka adalah *di sepanjang* pagar."
"Menurut petikan, bilakah askar Stark memanjangkan pagar mereka?","Jawapan yang betul ialah **C: Semasa air surut**.

Petikan tersebut menyatakan secara khusus, ""Apabila air surut telah membuka sebuah celah... mereka telah dengan cepat memanjangkan pagar..."" Ini menunjukkan bahawa askar Stark memanjangkan pagar mereka secara langsung disebabkan oleh kejadian air surut.

Berikut ialah kenapa pilihan lain tidak betul:

*   **A: Semasa Kolonis memanggil bantuan** - Walaupun pasukan bantuan dipanggil, petikan tidak menyatakan ini adalah masa askar Stark memanjangkan pagar.
*   **B: Selepas pelalu melepasi pancang** - Petikan menyatakan mereka *diberi arahan untuk tidak* melepaskan tembakan sehingga pelalu melepasi pancang, bukan bahawa mereka memanjangkan pagar selepas itu.
*   **D: Semasa askar mengambil kedudukan hadapan** - Mengambil kedudukan adalah langkah yang berasingan, dan petikan menyatakan mereka memanjangkan pagar selepas air surut, bukan semasa mengambil kedudukan."
"Menurut petikan, yang manakah antara berikut merupakan era paling ganas Cina?","Jawapan yang betul ialah **D: Era Three Kingdoms**.

Petikan dengan jelas menyatakan bahawa ""Three Kingdoms adalah satu era pertumpahan darah dalam sejarah Ancient China"" dan ""peperangan sengit telah tercetus antara beberapa bangsawan yang merebutkan takhta"", menunjukkan era ini paling ganas.

Pilihan lain tidak tepat kerana:

*   **A: Dinasti Jin** - Petikan menyebutnya selepas zaman Three Kingdoms, tetapi tidak menyatakan keganasan.
*   **B: Era Xi’an** - Xi’an hanyalah lokasi istana, bukan suatu era sejarah yang ganas.
*   **C: Dinasti Han** - Petikan menyebutnya sebelum zaman Three Kingdoms, tetapi tidak menyatakan keganasan pada zaman itu."
