question,gemma3_reply
"Ngokusho kwesiqephu, iliphi icedo elingafanele lokudlala i-accordion ngendlela ephumelelayo?","The correct answer is **A: Ukuze unyuse ivolumu, cindezela kakhulu indlela odlala ngayo amanothi**.

Here's why:

The passage explicitly states: ""Khumbula ukuthi asikho isidingo sokucindezela izinkinobho ngamandla amakhulu ukuze kube nomsindo owengeziwe njenge-piano.""  This directly contradicts the idea that pressing harder on the buttons increases volume.

Let's look at why the other options are correct advice from the passage:

*   **B:** The passage encourages minimizing unnecessary finger movement (""zama ukunganyakazisi iminwe yakho ngokungadingekile"") to conserve energy.
*   **C:**  The passage recommends keeping your hand relaxed (""Qinisekisa ukuthi isandla sakho sixhekethile ngangokunokwenzeka"").
*   **D:** The passage says to use bellows with force and speed for more volume (""ukusebenzisa lokhu okungezansi okunamandla kanye nejubane eliphezulu"").



"
"Njengoba udlala i-accordion, ikuphi okungasiza ukuze unyuse ivolumu?","The correct answer is **A: Ijubane elengeziwe** (Increased speed).

The passage specifically states: ""Ukuze uthole umsindo owengeziwe, ensimbini yomculo ingositini, usebenzisa lokhu okungezansi okunamandla kanye **nejubane eliphezulu**."" (To get more sound, in the middle of the music in a bellows, use this below powerfully and **with higher speed**.)

Let's look at why the other options are incorrect:

* **B: Amandla engeziwe** (More power) - The passage explicitly says *not* to press the buttons harder for more sound.
* **C: Amandla amancani** (Less power) -  This is the opposite of what's needed.
* **D: Iminwe enyakaza kancani** (Fingers move less) - The passage emphasizes minimizing unnecessary finger movement.



"
Kungani izithombe ezivela ku-thelevishini zincishiswa emaceleni?,"The correct answer is **B: Manje izithombe zicwgala isikrini sonke**.

Here's why:

The passage explicitly states that overscan is done to ensure ""the image covers the whole screen"" on most televisions. This is why the edges are cropped – to make the image fill the available space.

Let's look at why the other options are incorrect:

*   **A: Ukuvumela imibhalo echazayo** (To allow subtitles) - The passage actually says subtitles *can be cut off* due to overscan, not that it's done to allow them.
*   **C: Ukuvumela ushintsho olulula luqhubeke ngezinye izindlela** (To allow easy changes to continue in other ways) - This isn't mentioned in the passage.
*   **D: Ukunquma imibhalo echazayo esezansi kahlulu** (To cut off subtitles at the bottom completely) - Again, while this can be a *result* of overscan, it's not the *reason* for it.



"
"Ngokusho kwesiqephu, iziphi izikinga ezilandelayo omunye okungenzeka ehlangabezane nazo uma eshintsha imuvi ayise kusimo se-DVD?","The correct answer is **B: Okwesikhashana susa imibhalo echazayo**.

Here's why:

The passage specifically states that due to overscan when converting a movie to DVD, ""if the video had subtitles near the bottom, they won't be seen completely."" This means subtitles (which are explanatory text) are likely to be cut off.

Let's look at why the other options are incorrect:

*   **A: Isithombe esingagcwali isikrini sonke** - The passage states overscan *makes* the image fill the screen, not that it won't.
*   **C: Isithombe esigcwala isikrini sonke** -  While overscan *aims* for this, it's not a problem *caused* by the conversion, it's the reason for the problem.
*   **D: Susa okusemaceleni** - This is what overscan *does*, but the passage focuses on the *result* of that (lost subtitles).



"
Belikuphi ibutho lase-British?,"The correct answer is **C: i-Bordentown**.

The text states: ""UJenene John Cadwalder wayezokwenza ukuhlasela kokulibazisa ngokumelene nebutho lamaBhrithani eBordentown, ukuze avimbe noma ikuphi ukuqinisa.""  This directly places the British troops at Bordentown.
"
i-Signature kabani evelayo encwadini?,"The correct answer is **D: UCharles Thomson**.

Here's why:

The text states: ""isiphakamiso esibhalwe ngesandla sasayinwa uMongameli kaKhongolose uJohn Hancock futhi noNobhala uCharles Thompson..."". This means Charles Thompson signed the handwritten proposal along with John Hancock.

The question asks about a signature *on the document*, and the text specifically names Charles Thompson as a signer.  The other options are people who *received* or *read* the document, but didn't sign it.



"
"Kulezi zindawo ezilandelayo, iDunlap broadsides ifikele kuphi kugcina?","The correct answer is **C: eLondon**.

Here's why:

The text states: ""Ikhophi yafika eLondon ngo-Agasti 10."" (A copy arrived in London on August 10th). This directly indicates that the Dunlap broadsides reached London.

Let's look at why the other options are incorrect:

*   **A: iNew York:** While a copy was *read* to troops in New York, the broadsides didn't *end up* there according to the text.
*   **B: Isitolo sokuphrinta sikaDunlap:** The broadsides were *made* at Dunlap's printing shop, but the text doesn't say they remained there. They were distributed.
*   **D: i-Independence Hall:** The document was *read* at Independence Hall, but again, the text doesn't mention it remaining there.



"
Amabutho kaColonel Stark bekakuphi?,"The correct answer is **A: Ekupheleni kwenyakatho, ocingweni**.

Here's why:

The text states: ""Abantu bakaStark baya endaweni esocingweni olusenyakatho kwendawo yabenzi bamaKoloni."" This directly translates to ""Stark's men went to a location on a hill north of the colonial settlements.""

Let's look at why the other options are incorrect:

*   **B: Olwandle ekugcineni kwamanzi** - The text mentions the Mystic River and a small cove, but doesn't place the troops *on* the ocean.
*   **C: i-Nyakatho-Mpumalanga yasepennisula** - While they are north of the settlement, the text specifically describes a hill/ridge.
*   **D: Phambi kocingo** - They *created* a barrier (ocingo) and placed a ditch in front of it, but weren’t positioned *in front* of the barrier itself initially. They were *on* the hill.



"
"Ngokusho kwesiqephu, ayingezelele nini ucingo amadoda kaStark?","The correct answer is **B: Ngemva kokuthi abaziwayo badlule istake**.

Here's why:

The passage states: ""wayala ukuthi kungabi nodubulayo kuze kube yilapho abantu abavamile besidlula."" This directly translates to ""he ordered that no one fire until the regulars passed the stake."" This means the line was reinforced *after* the British regulars were in position beyond the stake.

Let's look at why the other options are incorrect:

*   **A: Njengoba amakoloni abiza usizo:** The text doesn’t say they extended the line when colonists called for help.
*   **C: Ngesikhathi sokukhathala okuncani:** The passage doesn't mention anything about fatigue.
*   **D: Ngesikhathi amabutho acabanga ukuya phambili ezindaweni zawo:** The text indicates the line was extended *after* the opposing force (the ""regulars"") was already approaching, not before."
"Ngokusho kwesiqephu, isiphi isikhathi lapho iChina beyinobudlova kakhulu?","The correct answer is **D: Izikhathi Zombuso Ezinthathu**.

Here's why:

The passage explicitly states: ""IMibuso Emithathu kwakungenye yenkathi yegazi eliningi kunazo zonke emlandweni waseShayina yakuDala, izinkulungwane zabantu zafa..."" This directly identifies the Three Kingdoms period as the most violent time in ancient Chinese history mentioned in the text.

Let's look at why the other options are incorrect:

*   **A: i-Jin Dynasty:** The Jin Dynasty is mentioned as one of the powers *during* the Three Kingdoms period, but the passage doesn't say it was the most violent time itself.
*   **B: Isikhathi sikaXi’an:** Xi'an is a location (a city/palace) not a time period.
*   **C: i-Han Dynasty:** The Han Dynasty existed *before* the Three Kingdoms period and is mentioned as the dynasty that the Three Kingdoms followed after. While there may have been conflict during the Han Dynasty, the passage specifically points to the Three Kingdoms as the most violent."
"Ngokusho kwesiqephu, iliphi iqiniso lamabutho izintuthwane ezingena esikhathini senomadic?","The correct answer is **B: Umtapho wokudla kwabo kuncani** (Their food supply is dwindling).

Here's why:

The passage states: ""Ikoloni liqala isigaba sokuzulazula lapho ukudla okukhona kunciphile."" (The colony enters the nomadic phase when the available food is scarce.)

Let's look at why the other options are incorrect:

*   **A: Phakathi nobusuku bayaphumula** (They rest at night) - The passage says they *move* at night (""amabutho ezintuthwane amasha ebusuku""), not rest.
*   **C: Benza izidleke lezo ezishintshwa ngemva kwenzuku ezingu-17** (They make nests that are changed after 17 days) - The passage says the upheaval/protesting takes 17 days, not the nest changes.  The nests are changed *daily*.
*   **D: Bamasha emini** (They march in the daytime) - The passage states they *establish camp* during the day (""amise inkampu phakathi nosuku"").



"
"Ngokusho kwesiqephu, imuphi umusho uqondile ohambisana nalokho okwenzeka esidlekeni amabutho wezinthuthwane phakathi nesikhathi nenomadic?","The correct answer is **C: Bashintsha izidleke nsuku zonke** (They change camps daily).

Here's why:

The passage specifically states: ""Phakathi nalesi sigaba, ikoloni lenza izidleke zesikhashana ezishintshwa zinsuku zonke."" (During this stage, the colony makes temporary camps that are changed daily.)

Let's look at why the other options are incorrect:

*   **A: Bakha izidlele phakathi nobusuku** (They build camps at night) - The passage says they *arrive* at camps at night, not build them.
*   **B: Bamasha izinsuku ezingu-17 ngaphandle kokuphumula** (They march for 17 days without resting) - The 17 days refers to the length of the ""restlessness"" of the nomads, not continuous marching.
*   **D: Ngokwesikhathi esithile basebenzisa isidleke esifanayo** (For a certain time they use the same camp) - The passage states they *change* camps daily, directly contradicting this option.



"
Ikuphi okulandelayo okuzoqubeka nakuba kukhona okungezelele kwezimpawu?,"The correct answer is **B: Izikhathi ezithile kwezigqi**.

Here's why:

The passage states: ""Amawashi endalo azivuselela amandla azoqhubeka esebenza emjikelwezweni okhululekile ngisho noma enkathini ongeke ukwazi ukuyicabanga."" This directly refers to the continuation of *specific timings within cycles* even under unusual circumstances.

Let's look at why the other options are incorrect:

*   **A: Umkhiqizo okujikeleza ngaphakathi** - While internal cycles are mentioned, the passage focuses on the *timing* of those cycles, not the product of them.
*   **C: Izikhathi zezinto eziphilayo** - Too broad. The passage talks about timings *within* living things, not all timings related to them.
*   **D: Izigqi ezibhekiwe** - The passage explicitly contrasts these natural cycles with reactions to *external* cues.



"
Yimuphi umusho ochaza okuveza okuhlukahlukene kwesici se-phenotypic?,"The correct answer is **D: i-Polymorphic**.

Here's why:

* **Polymorphic** specifically refers to the existence of multiple different phenotypes within a population for a given trait. The question *defines* this as ""abantu ngabanye beveza izimfanelo ezihlukahlukene eziningana zesici esithile.""

Let's look at why the other options are incorrect:

* **Monomorphic:**  The passage states this means *everyone* is the same for a specific trait – the opposite of what the question asks about.
* **Izinto eziphilayo (Organisms):** This is a general term, not specific to phenotypic variation.
* **Izinhlobo zezinto eziphilayo (Species):** This refers to groupings of organisms, not variation *within* those groups.



"
Yikuphi okulandelayo okunembile okuchaza izinto eziphilayo endaweni ethile?,"The correct answer is **D: i-Polymorphic**.

Here's why:

* **The question defines polymorphic** as a population where individuals show multiple different expressions of a trait. This directly relates to the description of a population with varied traits.
* **Monomorphic (A)** is defined as the *opposite* – all individuals being the same for a trait.
* **Inani labantu (B)** (Population size) simply describes *how many* organisms are present, not their variation.
* **Izinhlobo zezinto eziphilayo (C)** (Species of living things) refers to the *types* of organisms, not the variation *within* a species.



"
Yikuphi okulandelayo okungeke kube isibonelo sendawo ezokuvakasha esingokwemvelo?,"The correct answer is **C: Ukuvakashela i-mnyuziyami yesayensi (Visiting a science museum)**.

Here's why:

* **The passage defines natural tourism** as focusing on enjoying the natural environment – plants, animals, landscapes.
* **Option C, a science museum, is a man-made environment** focused on learning about science, not experiencing nature directly.

Let's look at why the other options *are* examples of natural tourism:

* **A: Ukugibela intaba ukuze sithole impophoma (Climbing a mountain to find a flower)** -  This involves being *in* nature, experiencing the landscape, and observing plants.
* **B: Ukuthwebula izimbali zasendle (Photographing wildflowers)** - This is directly related to appreciating and documenting natural flora.
* **D: Ukudoba izinhlanzi (Fishing)** - This is an activity *in* a natural environment (a body of water) and interacts with wildlife.



"
