question,gpt_reply
"According to the passage, what would not be considered an accurate tip for successfully playing the accordion?","A: For additional volume, increase the force with which you hit the keys"
"When playing the accordion, which of the following will help to increase the volume?",A: More speed
Why do the images on television have their borders cut?,B: So the image fills the entire screen
"According to the passage, which of the following problems might one encounter when converting a movie to DVD format?",B: Partially cut subtitles
Where was there a British garrison located?,C: Bordentown
Whose signature appeared on the handwritten draft?,D: Charles Thomson
"Out of the following locations, where did a Dunlap broadside arrive last?",C: London
Where were Colonel Stark’s troops situated?,"A: On the north end, along the fence"
"According to the passage, when did Stark’s men extend their fence?",C: During low tide
"According to the passage, which of the following was one of China’s most violent eras?",D: The Three Kingdoms era
"According to the passage, what is true of an army ant colony entering a nomadic phase?",B: They have a low supply of food
"According to the passage, which statement accurately reflects the nesting habits of army ant colonies during the nomadic phase?",C: They change nests daily
Which of the following will continue despite the presence of external cues?,C: Biological clocks
Which term describes individuals that display variances of a certain phenotypic trait?,D: Polymorphic
Which of the following is the correct term for organisms that occupy a particular area?,B: Population
Which of the following would not be an example of a nature-based tourism activity?,C: Visiting a science museum
"According to the passage, which of the following is the basis of the transport system?",B: Private cars
The particles that orbit the nucleus have which type of charge?,C: Negative charge
The nucleus is composed of which particles?,A: Protons and neutrons
"According to the passage, which of the following is an example of a five bit binary number?","The correct answer is C: 10010. 

A five bit binary number consists of five digits, each of which can only be 0 or 1. Option C, 10010, meets these criteria."
Binary digits are also referred to as what?,A: Bits
Which of the following is not mentioned in the passage as a primary benefit of student blogging?,B: A decrease in criticism from peers
Which of the following aspects of blogging is cited as a motivator for student’s to improve their writing skills?,B: The urge to avoid criticism
Which of the following is not a benefit of asynchronous communication for students? ,B: Face-to-face access to instructors at any time of day
"According to the passage, which of the following aspects of asynchronous communication is not flexible for students?",D: Internet usage
What is not mentioned in the passage as something one might associate with medieval castles?,D: Knights
Which of the following is not mentioned in the passage as a smell or sound that could be conjured among castle ruins?,C: Banquets
Which of the following is an accurate description of Kirby Muxloe Castle?,B: It required minimal fortification due to the country’s peaceful nature at the time of construction
