question,gpt_reply
"mema chedayata anuwa, nivaeradiva Ekodiyan wadanaya kirima sandaha niwaeredi igiyak lesa saelakillata gaeneemata nohaekke kumakda?","A: vaedipura shabdayak labaa gaeneema sandaha, yaturu matha yodana balaya vaedi karanna"
"Ekodiyan wadanaya karana wita, shabdaya vaedi kirimata upakaaree wanne pahatha sandahan ewayin kawareda?",A: vaedi wegaya
rupavahiniye pinthura wala paethi maim kappadu kerenne aeyi?,B: pinthuraya thiraya sampurnayen pireema sandaha
mema chedayata anuwa DVD aakruthiyata chit‍rapatayak pariwarthanaya kirime dee muhuna deemata ida aethi gaetaluwa pahatha sandahan gaetaluwalin kumak wiya haekida?,"The situation described involves attempting to convert a video to DVD format while encountering common issues. These issues include picture cropping and alteration needed to fit the DVD format. It becomes clear that option ""C: sampurna thiraya aawaranaya karana rupayak"" is the desired outcome, as this suggests covering the entire screen with the image, thereby solving the problem of cropping and maintaining full visibility of the picture. This option aligns with achieving a full-screen display without cropping parts of the image."
ehi b‍rithan‍ya hamuda balakotuvak pihita thibune koheda?,The correct answer is A: asanpink kreek.
athin liyana lada ketumpathe dis wu athsana kaageda?,D: Chaales Thompsan
"pahatha sandahan sthaana atharin, dunlap brodside ekak awasan warata paeminiye kothaenada?",C: landan
kerrnal starkge bhatayin sthanagathakara thibune koheda?,"A: uthuru kelavare, mayima dige"
"mema chedayata anuwa, starkge minisun owunge vaeta digu kale kawadada?",C: adu badiya atharathura
"mema chedayata anuwa, chinaye wadathma p‍rachandakaaree yugayan walin ekak wuye pahatha sandahan kumana yugayada?",The correct answer is A: jinn rajawanshaya.
"mema chedayata anuwa, hamuda kuhumbu kandayamak sancharaka awadhiyakata aethulu vime sath‍yaya kumakda?","The correct answer is:

A: owun rath‍ree kaalaye koodu sadai"
"mema chedayata anuwa, sancharaka awadhiyedee hamuda kuhumbu kandayamwala koodu saedeeme purudu niwaerediwa pilibimbu karanne kumana p‍rakaashayada?",C: owun dainikawa koodu wenas karai
bahira ingi aethi witadeeth pahatha sandahan dae athurin digatama pawathinu aeththe kumakda?,A: antharaasarga chack‍ra
kisiyam lakshanayaka vichal‍yathavayan penwana pudgalayan wisthara karana wachanaya kumakda?,The correct answer is D: bahurupee.
kisiyam p‍radeshayaka vasaya karana jivin sandaha niwaeredi yeduma pahatha sandahan ewayin kawareda?,The correct answer is: D: bahurupee
sobadhahama matha padanamkaragath sanchaaraka kriyaakaarakamakata udaharanayak nowanne pahatha sandahan ewayin kawareda?,C: widyaa kavuthukaagarayak naerabima
"mema chedayata anuwa, p‍ravaahana paddhathiye padanama wanne pahatha sandahan ewayin kawareda?",A: raekiyaa gamanantha
n‍yashtiya wata kakshagatha wana anshu walata kumana aakaaraye aaropanayak thibeda?,A: dhana aaropanayak
n‍yashtiya samanwitha wanne kumana anshu walin da?,A: protona saha newtrona
