question,gpt_reply
ብመሰረት እቲ ጽሑፍ፡ ነቲ ኣኮርዲዮን ብዕዉት መገዲ ንኽትጻወት ዘኽእለካ ቕኑዕ ምኽሪ ጌርካ ዘይርአ እንታይ እዩ?,B: ጥንካረኻ ምእንቲ ክትዕቅብ ዘየድሊ ምንቅስቓስ ናብ ዝነኣሰ ደረጃ ኣውርዶ
ኣኮርዲዮን ክትጻወት ከለኻ፡ ካብዞም ዝስዕቡ ኣየኖት እዮም ነቲ ድምጺ ኸተዛይዶ ዝሕግዙኻ?,B: ዝያዳ ሓይሊ
እቶም ኣብ ተለቪዥን ዝርኣዩ ስእልታት ስለምንታይ እዩ ወሰን ወሰኖም ዝቝረጽ?,B: እቲ ስእሊ ነቲ እስክሪን ብምሉኡ ስለዝመልኦ
ብመሰረት እቲ ጽሑፍ፡ ሓደ ሰብ ንፊልም ናብ ዲቪዲ ኪቕይሮ እንከሎ ካብዞም ዝስዕቡ ጸገማት ኣየናይ እዩ ከጋጥሞ ዝኽእል?,መሰረት እቲ ጽሑፍ፡ ምቑራጽ ገለ ክፋላት ንኡስ ኣርእስቲታት (Option B) እዩ ዝበጽሖ ጽገማ እንከሎ ሓደ ሰብ ምስ ፊልም ናብ ዲቪዲ ኪቕይሮ። ዚሕዝን ዲቪዲ እዩ ምቑራጽ ክእሉ እንተ ዘሎ ዶባት እውን ኪቝረጽ ክትኽእል።
ናይ ብሪጣንያ መዓስከር ሰራዊት ኣበይ እዩ ነይሩ?,B: ትሬንተን
ኣብቲ ብኢድ እተጻሕፈ ንድፊ ናይ መን ፌርማ እዩ ተረኺቡ?,A: ጆን ዱንላፕ
ካብዞም ዝስዕቡ ቦታታት፡ እቲ ዱንላፕ ቦርድሳይድ መወዳእታ ኣበይ በጺሑ ነይሩ?,B: ድኳን ሕትመት ናይ ዱንላፕ
ወተሃደራት ኮነሬል ስታርክ ኣበይ ቦታ ሒዞም ነይሮም?,A: ብሸነኽ ሰሜን፡ ጥቓ እቲ ሓጹር
ብመሰረት እቲ ጽሑፍ፡ ወተሃደራት ስታርክ ሓጹሮም ዘስፋሕፍሕዎ መዓስ እዩ ነይሩ?,A: እቶም ገዛእቲ ሓይሎም ክጠናኸሩ ጻውዒት ምስ ኣቕረቡ
ብመሰረት እቲ ጽሑፍ፡ ካብዞም ዝስዕቡ ሓደ ኻብቲ ኣብ ቻይና ዝነበረ ዓመጽ ዝመልኦ መዋእል ኣየናይ እዩ?,D: መዋእል ሰለስተ ምድረ-ነገስታት
ብመሰረት እቲ ጽሑፍ፡ ብዛዕባ ናብ ሰበኽ ሳግም ደረጃ ዝኣትዉ ሰራዊት ጻጸ ሓቂ ኣየናይ እዩ?,D: ኣብ እዋን ቀትሪ ይጓዓዙ
