Language,FLORES-200 code,xx - English,English - xx
Acehnese (Arabic script),ace_Arab,37.3,8.4
Acehnese (Latin script),ace_Latn,56.2,26.8
Mesopotamian Arabic,acm_Arab,59.7,38.3
Ta’izzi-Adeni Arabic,acq_Arab,61.1,39.5
Tunisian Arabic,aeb_Arab,57.8,38.1
Afrikaans,afr_Latn,76.8,66.3
South Levantine Arabic,ajp_Arab,65.6,44.4
Akan,aka_Latn,45.9,34.7
Tosk Albanian,als_Latn,66.4,60.6
Amharic,amh_Ethi,63.4,37.9
North Levantine Arabic,apc_Arab,63.3,45.5
Modern Standard Arabic,arb_Arab,65.7,55.8
Modern Standard Arabic (Romanized),arb_Latn,61.2,17.1
Najdi Arabic,ars_Arab,64.3,43.7
Moroccan Arabic,ary_Arab,56.6,36.1
Egyptian Arabic,arz_Arab,57.9,44.3
Assamese,asm_Beng,58.4,30.9
Asturian,ast_Latn,66.6,58.0
Awadhi,awa_Deva,62.3,24.9
Central Aymara,ayr_Latn,35.3,24.3
South Azerbaijani,azb_Arab,50.5,23.7
North Azerbaijani,azj_Latn,52.3,46.3
Bashkir,bak_Cyrl,58.2,50.9
Bambara,bam_Latn,37.6,19.3
Balinese,ban_Latn,61.4,42.3
Belarusian,bel_Cyrl,50.2,46.9
Bemba,bem_Latn,48.7,36.4
Bengali,ben_Beng,61.7,47.0
Bhojpuri,bho_Deva,56.1,37.8
Banjar (Arabic script),bjn_Arab,47.2,12.2
Banjar (Latin script),bjn_Latn,62.3,48.1
Standard Tibetan,bod_Tibt,45.1,32.3
Bosnian,bos_Latn,67.8,61.2
Buginese,bug_Latn,43.4,10.1
Bulgarian,bul_Cyrl,67.7,65.7
Catalan,cat_Latn,69.7,66.8
Cebuano,ceb_Latn,69.7,60.4
Czech,ces_Latn,65.7,59.1
Chokwe,cjk_Latn,26.8,20.1
Central Kurdish,ckb_Arab,60.5,42.9
Crimean Tatar,crh_Latn,57.7,30.2
Welsh,cym_Latn,77.2,72.3
Danish,dan_Latn,71.1,58.4
German,deu_Latn,67.9,66.0
Southwestern Dinka,dik_Latn,27.9,16.8
Dyula,dyu_Latn,28.7,13.1
Dzongkha,dzo_Tibt,39.5,29.8
Greek,ell_Grek,61.8,55.0
Esperanto,epo_Latn,68.2,62.1
Estonian,est_Latn,64.5,58.9
Basque,eus_Latn,59.2,54.5
Ewe,ewe_Latn,42.2,2.8
Faroese,fao_Latn,63.6,51.9
Fijian,fij_Latn,46.1,39.2
Finnish,fin_Latn,61.7,58.8
Fon,fon_Latn,33.0,5.8
French,fra_Latn,68.0,70.9
Friulian,fur_Latn,65.7,31.8
Nigerian Fulfulde,fuv_Latn,32.9,13.6
West Central Oromo,gaz_Latn,50.7,37.2
Scottish Gaelic,gla_Latn,61.1,50.8
Irish,gle_Latn,66.5,58.7
Galician,glg_Latn,66.1,63.3
Guarani,grn_Latn,50.3,32.5
Gujarati,guj_Gujr,66.6,51.7
Haitian Creole,hat_Latn,65.1,53.1
Hausa,hau_Latn,59.0,50.2
