answer,percentage
acm_Arab,1.0
arb_Arab,0.76
ars_Arab,0.4
acm_Arab,0.78
acm_Arab,1.0
acm_Arab,0.62
arz_Arab,0.37
acm_Arab,0.5
ars_Arab,0.44
arb_Arab,0.9
acm_Arab,1.0
acm_Arab,0.58
arz_Arab,0.28
arb_Arab,0.96
acm_Arab,0.41
acm_Arab,0.32
arb_Arab,0.46
arb_Arab,0.75
arb_Arab,0.82
arb_Arab,0.92
acm_Arab,0.31
arb_Arab,0.97
arb_Arab,0.97
acm_Arab,0.33
apc_Arab,0.57
arb_Arab,0.85
arz_Arab,0.37
acm_Arab,0.92
acm_Arab,0.53
arb_Arab,0.51
arb_Arab,0.77
acm_Arab,0.47
acm_Arab,0.99
arb_Arab,0.62
arb_Arab,0.97
arb_Arab,0.91
arb_Arab,0.81
arb_Arab,0.79
arb_Arab,0.53
acm_Arab,0.77
ary_Arab,0.58
arb_Arab,0.57
arb_Arab,0.99
arz_Arab,0.27
arz_Arab,0.32
acm_Arab,1.0
arb_Arab,0.84
acm_Arab,1.0
arb_Arab,0.97
arb_Arab,0.54
arb_Arab,0.81
acm_Arab,1.0
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.64
arb_Arab,0.95
arb_Arab,0.85
arb_Arab,0.37
arb_Arab,0.94
acm_Arab,0.89
acm_Arab,0.94
arb_Arab,0.37
arb_Arab,0.65
arb_Arab,0.71
arb_Arab,0.73
acm_Arab,0.54
ary_Arab,0.54
arb_Arab,0.73
arb_Arab,0.95
arb_Arab,0.99
arb_Arab,0.93
arb_Arab,0.41
arb_Arab,0.98
arb_Arab,0.56
arb_Arab,0.86
arb_Arab,0.55
arb_Arab,0.78
acm_Arab,0.98
arb_Arab,0.99
arb_Arab,0.97
acm_Arab,0.9
acm_Arab,0.53
arb_Arab,0.88
acm_Arab,0.92
arb_Arab,0.9
acm_Arab,0.5
acm_Arab,0.84
arb_Arab,0.78
arz_Arab,0.32
ary_Arab,0.67
acm_Arab,0.7
ary_Arab,0.84
arb_Arab,0.67
ars_Arab,0.83
arb_Arab,0.91
aeb_Arab,0.58
acm_Arab,0.73
arb_Arab,0.4
arb_Arab,0.98
ars_Arab,0.37
arb_Arab,0.69
arb_Arab,0.79
acm_Arab,0.4
acm_Arab,0.42
acm_Arab,1.0
arb_Arab,0.93
arb_Arab,0.99
acm_Arab,0.89
arb_Arab,0.81
ars_Arab,0.43
ary_Arab,0.53
arb_Arab,0.97
arb_Arab,0.31
ary_Arab,0.32
arb_Arab,0.99
arb_Arab,0.96
arb_Arab,0.93
arz_Arab,0.51
arb_Arab,0.96
ars_Arab,0.47
arz_Arab,0.49
arb_Arab,0.95
acm_Arab,0.98
arb_Arab,0.85
ars_Arab,0.85
arb_Arab,0.55
ajp_Arab,0.84
arb_Arab,0.96
arb_Arab,1.0
ary_Arab,0.65
arb_Arab,0.58
ars_Arab,0.24
acm_Arab,0.79
apc_Arab,0.61
acm_Arab,0.33
arb_Arab,0.5
arb_Arab,0.5
acm_Arab,0.4
ars_Arab,0.82
arb_Arab,0.33
acm_Arab,0.99
acm_Arab,0.94
acm_Arab,0.93
ars_Arab,0.68
acm_Arab,0.96
arb_Arab,0.77
arb_Arab,0.75
arb_Arab,0.99
acm_Arab,0.6
arb_Arab,0.97
arb_Arab,0.98
arb_Arab,1.0
arz_Arab,0.47
arb_Arab,0.98
acm_Arab,0.84
ars_Arab,0.49
arb_Arab,0.34
arb_Arab,0.39
ars_Arab,0.69
arb_Arab,0.72
ajp_Arab,0.42
acm_Arab,0.6
arb_Arab,0.63
ary_Arab,0.66
arb_Arab,0.95
acm_Arab,0.97
arb_Arab,0.97
acm_Arab,0.43
arb_Arab,0.81
acm_Arab,0.52
acm_Arab,0.83
arz_Arab,0.61
aeb_Arab,0.75
arb_Arab,0.98
arb_Arab,0.92
arb_Arab,0.9
arb_Arab,0.72
ary_Arab,0.75
arb_Arab,0.96
arz_Arab,0.5
ars_Arab,0.41
arb_Arab,0.98
arb_Arab,0.98
arz_Arab,0.38
ary_Arab,0.93
arb_Arab,0.41
