answer,percentage
aeb_Arab,0.77
arb_Arab,0.76
aeb_Arab,0.38
aeb_Arab,0.41
aeb_Arab,0.99
aeb_Arab,0.85
aeb_Arab,0.79
ars_Arab,0.58
arb_Arab,0.42
arb_Arab,0.5
aeb_Arab,1.0
aeb_Arab,0.95
aeb_Arab,0.96
aeb_Arab,0.84
aeb_Arab,0.98
arb_Arab,0.71
arb_Arab,0.57
arb_Arab,0.69
arb_Arab,0.64
arb_Arab,0.68
arz_Arab,0.52
arb_Arab,0.77
arb_Arab,0.95
aeb_Arab,0.44
arb_Arab,0.62
apc_Arab,0.68
aeb_Arab,0.95
aeb_Arab,0.97
aeb_Arab,0.69
aeb_Arab,0.96
ary_Arab,0.5
aeb_Arab,0.99
aeb_Arab,0.99
aeb_Arab,0.81
arb_Arab,0.93
arb_Arab,0.93
aeb_Arab,0.37
aeb_Arab,0.98
ajp_Arab,0.26
aeb_Arab,1.0
aeb_Arab,0.41
arb_Arab,0.97
aeb_Arab,0.42
aeb_Arab,1.0
aeb_Arab,0.53
aeb_Arab,1.0
aeb_Arab,0.83
aeb_Arab,0.97
aeb_Arab,0.98
aeb_Arab,0.86
aeb_Arab,0.45
aeb_Arab,0.99
arb_Arab,0.92
aeb_Arab,0.62
aeb_Arab,0.96
arb_Arab,0.99
ary_Arab,0.59
acm_Arab,0.32
aeb_Arab,0.63
aeb_Arab,0.9
aeb_Arab,0.95
aeb_Arab,1.0
aeb_Arab,1.0
ary_Arab,0.45
arb_Arab,0.87
arb_Arab,0.41
aeb_Arab,0.92
aeb_Arab,0.69
aeb_Arab,0.92
arb_Arab,0.99
ary_Arab,0.45
ary_Arab,0.86
arb_Arab,0.79
aeb_Arab,0.65
ary_Arab,0.54
aeb_Arab,0.99
aeb_Arab,0.92
aeb_Arab,0.95
arb_Arab,0.99
aeb_Arab,0.92
apc_Arab,0.3
aeb_Arab,0.96
aeb_Arab,0.89
aeb_Arab,0.79
ars_Arab,0.53
aeb_Arab,0.5
aeb_Arab,0.97
aeb_Arab,1.0
aeb_Arab,0.95
aeb_Arab,0.85
aeb_Arab,0.64
arb_Arab,0.85
