answer,percentage
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,0.94
arb_Arab,0.49
arb_Arab,0.47
ary_Arab,0.31
arb_Arab,0.94
arb_Arab,1.0
arb_Arab,0.93
arb_Arab,0.69
arb_Arab,0.98
arb_Arab,0.83
arb_Arab,0.85
arb_Arab,0.96
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.93
arb_Arab,0.9
arb_Arab,0.85
arb_Arab,0.94
arb_Arab,0.96
arb_Arab,1.0
arb_Arab,0.84
arb_Arab,0.72
arb_Arab,0.89
arb_Arab,0.97
arb_Arab,0.98
arb_Arab,0.35
arb_Arab,0.85
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.97
arb_Arab,0.88
aeb_Arab,0.53
ars_Arab,0.74
arb_Arab,0.77
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.8
arb_Arab,0.67
arb_Arab,0.77
arb_Arab,0.98
arb_Arab,0.95
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.83
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.98
arb_Arab,0.99
arb_Arab,0.98
arb_Arab,0.79
arb_Arab,0.84
arb_Arab,0.89
arb_Arab,0.99
ars_Arab,0.52
ary_Arab,0.71
arb_Arab,0.9
arb_Arab,0.98
arb_Arab,0.99
arb_Arab,0.95
arb_Arab,0.91
arb_Arab,0.98
arb_Arab,0.96
arb_Arab,0.97
arb_Arab,0.76
arb_Arab,1.0
ars_Arab,0.82
arb_Arab,0.99
arb_Arab,0.98
apc_Arab,0.22
arb_Arab,0.96
arb_Arab,0.92
arb_Arab,0.94
ars_Arab,0.55
arb_Arab,0.96
arb_Arab,0.96
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,0.99
ary_Arab,0.75
arb_Arab,0.94
arb_Arab,0.94
arb_Arab,0.88
arb_Arab,0.92
ars_Arab,0.68
arb_Arab,1.0
arb_Arab,0.93
arb_Arab,1.0
arb_Arab,0.85
arb_Arab,0.93
arb_Arab,0.93
arb_Arab,0.64
arb_Arab,0.91
arb_Arab,0.92
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.9
arb_Arab,0.98
arb_Arab,0.96
arb_Arab,1.0
ars_Arab,0.65
arb_Arab,0.75
arb_Arab,1.0
arb_Arab,0.97
arb_Arab,0.9
arb_Arab,0.89
arb_Arab,0.96
arb_Arab,0.89
arb_Arab,0.83
arb_Arab,0.96
arb_Arab,0.69
arb_Arab,1.0
ars_Arab,0.39
arb_Arab,0.75
arb_Arab,0.99
arb_Arab,0.99
arb_Arab,1.0
ary_Arab,0.58
arb_Arab,0.93
arb_Arab,0.98
arb_Arab,0.94
arb_Arab,0.99
ars_Arab,0.55
arb_Arab,0.62
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.98
arb_Arab,0.52
arb_Arab,0.98
arb_Arab,0.82
arb_Arab,0.99
arb_Arab,0.39
arb_Arab,0.99
arb_Arab,0.79
arb_Arab,0.88
arb_Arab,1.0
arb_Arab,0.64
arb_Arab,0.98
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,0.95
arb_Arab,1.0
arb_Arab,0.96
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.97
arb_Arab,0.97
arb_Arab,0.71
arb_Arab,0.8
arb_Arab,0.92
arb_Arab,0.65
arb_Arab,0.71
arb_Arab,0.93
arb_Arab,0.99
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,1.0
acm_Arab,0.41
arb_Arab,0.98
arb_Arab,0.77
aeb_Arab,0.74
arb_Arab,1.0
arb_Arab,0.97
arb_Arab,0.94
arb_Arab,0.79
ary_Arab,0.69
arb_Arab,0.94
arb_Arab,0.56
arb_Arab,0.92
arb_Arab,0.96
arb_Arab,1.0
arb_Arab,0.81
ary_Arab,0.76
arb_Arab,0.98
arb_Arab,0.96
arb_Arab,0.92
arb_Arab,1.0
arz_Arab,0.32
arb_Arab,0.51
arz_Arab,0.38
arb_Arab,0.85
arb_Arab,0.82
arb_Arab,0.96
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,0.86
arb_Arab,1.0
ars_Arab,0.51
arb_Arab,0.89
ars_Arab,0.42
arb_Arab,0.84
arb_Arab,0.88
arb_Arab,0.99
arb_Arab,0.89
arb_Arab,0.43
arb_Arab,0.98
arb_Arab,0.99
arb_Arab,0.93
arb_Arab,1.0
arb_Arab,0.86
arb_Arab,0.97
aeb_Arab,0.4
arb_Arab,0.79
arb_Arab,0.91
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,0.39
arb_Arab,0.99
arb_Arab,0.92
arb_Arab,0.44
arb_Arab,0.78
arb_Arab,0.95
arb_Arab,0.59
arb_Arab,0.77
aeb_Arab,0.37
arb_Arab,0.91
arb_Arab,0.82
arb_Arab,0.92
ary_Arab,0.7
arb_Arab,0.77
arb_Arab,0.81
arb_Arab,0.95
arb_Arab,0.65
arb_Arab,0.84
arb_Arab,1.0
arb_Arab,0.84
arb_Arab,0.94
arb_Arab,0.98
aeb_Arab,0.43
ars_Arab,0.62
arb_Arab,0.7
arb_Arab,0.96
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.89
arb_Arab,0.96
arb_Arab,0.98
arb_Arab,0.99
arb_Arab,0.87
arb_Arab,0.83
arb_Arab,0.67
arb_Arab,0.89
arb_Arab,0.99
arb_Arab,0.37
arb_Arab,1.0
arb_Arab,0.95
arb_Arab,0.88
arb_Arab,0.98
ary_Arab,0.51
arb_Arab,0.99
arb_Arab,0.97
arb_Arab,0.8
arb_Arab,0.83
arb_Arab,0.98
arb_Arab,0.87
ars_Arab,0.63
arb_Arab,0.57
arb_Arab,0.52
arb_Arab,0.76
arb_Arab,0.99
arb_Arab,0.99
ary_Arab,1.0
arb_Arab,1.0
ars_Arab,0.84
arb_Arab,1.0
arb_Arab,0.94
arb_Arab,0.93
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,0.98
arb_Arab,0.99
arb_Arab,0.98
arb_Arab,0.98
arb_Arab,0.95
arb_Arab,0.78
arb_Arab,0.96
arb_Arab,0.99
arb_Arab,0.98
arb_Arab,0.95
arb_Arab,0.86
arb_Arab,0.95
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.92
arb_Arab,0.98
arb_Arab,0.66
arb_Arab,0.82
arb_Arab,1.0
arb_Arab,0.62
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,0.47
arb_Arab,0.99
arb_Arab,0.95
arb_Arab,0.96
arz_Arab,0.6
arb_Arab,1.0
arb_Arab,0.95
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,1.0
arz_Arab,0.5
arb_Arab,0.93
arb_Arab,0.97
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.86
arb_Arab,1.0
ary_Arab,0.38
arb_Arab,0.97
arb_Arab,1.0
arb_Arab,0.59
arb_Arab,0.96
arb_Arab,0.94
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.97
arb_Arab,0.93
arb_Arab,0.48
arb_Arab,0.68
arb_Arab,0.81
ars_Arab,0.82
arb_Arab,0.83
arb_Arab,0.99
arb_Arab,0.81
arb_Arab,0.93
arb_Arab,0.99
arb_Arab,0.46
arb_Arab,0.88
arb_Arab,0.88
ary_Arab,0.9
arb_Arab,0.59
arb_Arab,0.87
ars_Arab,0.61
arb_Arab,0.78
arb_Arab,0.97
arb_Arab,0.98
arb_Arab,0.95
arb_Arab,0.45
arb_Arab,0.99
arb_Arab,1.0
ary_Arab,0.66
arb_Arab,0.99
arb_Arab,0.35
arb_Arab,0.9
arb_Arab,0.95
arb_Arab,0.95
arb_Arab,0.95
arb_Arab,0.77
arb_Arab,0.96
arb_Arab,0.94
arb_Arab,0.83
arb_Arab,0.94
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,0.53
arb_Arab,0.84
ary_Arab,0.51
ary_Arab,0.51
arb_Arab,0.73
arb_Arab,0.78
arb_Arab,0.81
arb_Arab,0.94
arb_Arab,0.77
arb_Arab,0.51
arb_Arab,0.76
arb_Arab,0.87
arb_Arab,0.99
ary_Arab,0.63
arb_Arab,0.67
arb_Arab,0.97
arb_Arab,0.68
arz_Arab,0.59
arb_Arab,0.93
arb_Arab,0.99
arb_Arab,0.91
arb_Arab,0.87
arb_Arab,0.99
arb_Arab,0.79
arb_Arab,0.92
ars_Arab,0.34
arb_Arab,0.99
arb_Arab,0.91
arb_Arab,0.57
arb_Arab,0.98
arb_Arab,0.57
arb_Arab,0.99
arb_Arab,0.95
arb_Arab,0.75
arb_Arab,0.87
arb_Arab,0.98
arb_Arab,0.79
arb_Arab,0.95
arb_Arab,0.95
arb_Arab,0.9
ary_Arab,0.83
arb_Arab,0.51
arb_Arab,0.98
arb_Arab,0.93
acm_Arab,0.82
ars_Arab,0.6
ars_Arab,0.3
arb_Arab,0.98
arb_Arab,0.67
arb_Arab,0.99
arb_Arab,0.69
arb_Arab,0.88
ars_Arab,0.47
arb_Arab,0.9
ary_Arab,0.48
arb_Arab,0.76
arb_Arab,0.99
arb_Arab,0.5
arb_Arab,0.98
arb_Arab,0.94
arb_Arab,0.99
arb_Arab,0.99
arb_Arab,0.81
arb_Arab,0.29
arb_Arab,1.0
arb_Arab,0.92
arb_Arab,0.97
acm_Arab,0.66
arb_Arab,0.98
arb_Arab,0.89
acm_Arab,0.54
arb_Arab,0.64
arb_Arab,0.98
arb_Arab,0.98
arb_Arab,0.78
arb_Arab,0.89
arb_Arab,0.86
ary_Arab,0.94
arb_Arab,0.46
arb_Arab,0.94
arb_Arab,0.93
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,0.94
arz_Arab,0.4
arb_Arab,0.58
arb_Arab,0.97
arb_Arab,0.93
arb_Arab,0.99
ary_Arab,0.56
arz_Arab,0.49
ary_Arab,0.52
arb_Arab,0.83
arb_Arab,0.97
arb_Arab,0.93
arb_Arab,0.55
arb_Arab,0.68
arb_Arab,0.64
arb_Arab,0.88
arb_Arab,0.76
arb_Arab,0.98
arb_Arab,0.98
arb_Arab,0.88
arb_Arab,0.64
arb_Arab,0.78
ary_Arab,0.53
arb_Arab,0.94
arb_Arab,0.99
arb_Arab,0.73
arb_Arab,0.89
arb_Arab,0.93
arb_Arab,0.69
arb_Arab,0.52
aeb_Arab,0.62
arb_Arab,0.76
arb_Arab,0.93
arb_Arab,0.73
arb_Arab,0.83
ary_Arab,0.54
ars_Arab,0.44
arb_Arab,0.91
arb_Arab,1.0
arb_Arab,0.9
arb_Arab,0.99
arb_Arab,0.99
arb_Arab,0.99
arz_Arab,0.85
arb_Arab,0.95
arb_Arab,0.99
arb_Arab,0.96
arb_Arab,0.98
arb_Arab,1.0
arb_Arab,0.69
arb_Arab,1.0
arb_Arab,0.97
arb_Arab,0.82
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,1.0
arb_Arab,0.87
arb_Arab,1.0
arb_Arab,0.97
arb_Arab,1.0
arb_Arab,0.82
arb_Arab,0.89
arb_Arab,0.79
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.89
arb_Arab,0.98
arb_Arab,0.41
arb_Arab,1.0
arb_Arab,0.97
arb_Arab,0.97
arb_Arab,0.92
arb_Arab,0.95
arb_Arab,1.0
arb_Arab,0.88
arb_Arab,1.0
arb_Arab,0.79
arb_Arab,0.34
arb_Arab,0.98
arb_Arab,0.95
arb_Arab,0.99
arb_Arab,0.7
arb_Arab,0.97
arb_Arab,0.62
acm_Arab,0.87
arb_Arab,0.96
arb_Arab,0.98
arb_Arab,0.93
arb_Arab,0.89
arb_Arab,0.97
arb_Arab,1.0
arb_Arab,0.98
arb_Arab,0.93
arb_Arab,0.75
arb_Arab,0.78
arb_Arab,0.99
arb_Arab,0.83
arb_Arab,0.95
arz_Arab,0.37
arb_Arab,0.47
ars_Arab,0.65
arb_Arab,0.91
ars_Arab,0.48
ary_Arab,0.87
arb_Arab,0.66
arb_Arab,0.89
arb_Arab,0.99
arb_Arab,0.86
arb_Arab,0.96
arb_Arab,0.39
arb_Arab,0.77
arb_Arab,0.83
arb_Arab,0.73
arb_Arab,0.86
arb_Arab,0.73
arb_Arab,0.9
arb_Arab,0.99
arb_Arab,0.67
arb_Arab,1.0
arb_Arab,0.92
arb_Arab,0.96
arb_Arab,0.99
arb_Arab,0.9
arb_Arab,0.73
ary_Arab,0.78
arb_Arab,0.67
arb_Arab,1.0
arb_Arab,0.91
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,1.0
arb_Arab,0.86
arb_Arab,0.98
arb_Arab,0.96
ary_Arab,0.51
ary_Arab,0.51
arb_Arab,0.64
arb_Arab,0.95
ary_Arab,0.78
arb_Arab,0.97
arb_Arab,0.91
arb_Arab,0.93
arb_Arab,0.76
acm_Arab,0.42
arb_Arab,0.67
aeb_Arab,0.45
ary_Arab,0.78
arb_Arab,0.89
arb_Arab,0.97
arb_Arab,0.94
arb_Arab,0.99
arb_Arab,0.85
arb_Arab,1.0
arb_Arab,0.99
arb_Arab,0.96
ary_Arab,0.34
arb_Arab,0.52
arb_Arab,0.87
arb_Arab,1.0
arb_Arab,0.94
