answer,percentage
bem_Latn,1.0
bem_Latn,0.96
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.94
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.95
bem_Latn,0.51
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.7
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,0.99
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,0.99
bem_Latn,0.93
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.88
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.96
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.93
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.97
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.9
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.97
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.98
bem_Latn,0.98
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.91
bem_Latn,1.0
bem_Latn,0.93
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.98
bem_Latn,0.98
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.69
bem_Latn,0.87
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,0.97
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.98
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.98
bem_Latn,1.0
bem_Latn,0.98
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.98
bem_Latn,1.0
bem_Latn,0.99
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,1.0
bem_Latn,0.98
