answer,percentage
bho_Deva,1.0
bho_Deva,0.71
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,0.87
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,0.99
bho_Deva,0.97
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,0.98
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.96
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,0.94
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.66
bho_Deva,1.0
bho_Deva,0.96
bho_Deva,0.91
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.76
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.89
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.87
hin_Deva,0.74
bho_Deva,0.96
bho_Deva,0.96
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,0.7
bho_Deva,0.99
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
hin_Deva,0.55
bho_Deva,0.98
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.93
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.88
hin_Deva,0.75
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.97
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.95
bho_Deva,0.5
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.97
bho_Deva,0.96
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.91
bho_Deva,1.0
bho_Deva,0.93
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.89
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
hin_Deva,0.95
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.85
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.98
bho_Deva,0.99
bho_Deva,0.84
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.98
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.6
bho_Deva,1.0
bho_Deva,0.98
bho_Deva,0.86
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.77
bho_Deva,1.0
bho_Deva,1.0
hin_Deva,0.64
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
hin_Deva,0.55
bho_Deva,0.98
bho_Deva,0.92
bho_Deva,0.93
bho_Deva,1.0
hin_Deva,0.44
bho_Deva,0.54
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,0.98
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.58
bho_Deva,0.85
bho_Deva,0.7
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.93
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.93
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
bho_Deva,1.0
bho_Deva,0.87
bho_Deva,0.98
bho_Deva,1.0
bho_Deva,0.99
bho_Deva,1.0
