answer,percentage
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.98
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.97
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.76
ceb_Latn,0.99
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.98
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.89
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
hil_Latn,0.52
ceb_Latn,0.99
ceb_Latn,0.87
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.98
ceb_Latn,0.99
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.97
ceb_Latn,1.0
ceb_Latn,0.8
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.7
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
hil_Latn,0.45
ceb_Latn,0.5
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.81
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
hil_Latn,0.74
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
hil_Latn,0.96
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.96
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
hil_Latn,0.91
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.92
ceb_Latn,0.57
ceb_Latn,1.0
ceb_Latn,1.0
hil_Latn,0.79
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,1.0
ceb_Latn,0.99
ceb_Latn,1.0
ceb_Latn,1.0
