answer,percentage
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.86
cjk_Latn,0.96
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.98
cjk_Latn,0.99
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.98
cjk_Latn,1.0
cjk_Latn,0.99
cjk_Latn,0.67
cjk_Latn,0.95
cjk_Latn,0.99
cjk_Latn,0.99
cjk_Latn,0.42
cjk_Latn,0.61
cjk_Latn,0.94
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.97
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.97
cjk_Latn,0.85
cjk_Latn,1.0
kmb_Latn,0.22
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.88
cjk_Latn,1.0
cjk_Latn,0.97
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.99
cjk_Latn,0.69
cjk_Latn,1.0
cjk_Latn,0.62
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.89
cjk_Latn,0.99
cjk_Latn,1.0
cjk_Latn,0.98
cjk_Latn,0.97
cjk_Latn,1.0
cjk_Latn,0.61
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.99
cjk_Latn,0.93
cjk_Latn,0.98
cjk_Latn,1.0
cjk_Latn,0.82
cjk_Latn,0.99
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.96
cjk_Latn,1.0
cjk_Latn,0.94
cjk_Latn,0.87
cjk_Latn,0.98
cjk_Latn,0.94
cjk_Latn,1.0
cjk_Latn,1.0
ilb_Latn,0.42
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.98
cjk_Latn,1.0
cjk_Latn,0.98
cjk_Latn,1.0
cjk_Latn,0.92
cjk_Latn,0.81
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
nba_Latn,0.33
cjk_Latn,1.0
cjk_Latn,0.9
cjk_Latn,1.0
cjk_Latn,0.84
cjk_Latn,1.0
cjk_Latn,0.99
cjk_Latn,0.99
cjk_Latn,1.0
cjk_Latn,0.92
swh_Latn,0.3
cjk_Latn,0.47
cjk_Latn,0.8
cjk_Latn,0.97
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.73
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.78
cjk_Latn,1.0
cjk_Latn,0.83
cjk_Latn,1.0
cjk_Latn,0.73
cjk_Latn,1.0
cjk_Latn,0.56
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,1.0
cjk_Latn,0.99
cjk_Latn,0.93
nyf_Latn,0.78
cjk_Latn,0.89
cjk_Latn,1.0
cjk_Latn,0.99
cjk_Latn,1.0
