answer,percentage
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
ast_Latn,0.74
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.98
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.98
glg_Latn,1.0
glg_Latn,0.93
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,0.97
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.97
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.91
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.97
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.97
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.75
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,0.99
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,0.95
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,0.95
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,0.49
glg_Latn,0.96
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,0.92
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
por_Latn,0.87
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.97
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.98
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.98
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.86
glg_Latn,0.95
por_Latn,0.89
glg_Latn,1.0
glg_Latn,0.94
glg_Latn,0.98
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.97
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.96
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.98
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.98
glg_Latn,1.0
glg_Latn,0.94
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.56
glg_Latn,0.72
glg_Latn,0.94
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
por_Latn,0.91
glg_Latn,0.97
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
por_Latn,0.66
glg_Latn,0.95
glg_Latn,0.86
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.96
glg_Latn,1.0
glg_Latn,0.89
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.96
glg_Latn,0.55
glg_Latn,0.79
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,0.95
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.8
glg_Latn,0.65
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.96
glg_Latn,0.98
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,0.9
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.99
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.92
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.88
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.98
glg_Latn,0.88
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,1.0
glg_Latn,0.97
