answer,percentage
lug_Latn,0.69
lug_Latn,0.89
lug_Latn,0.97
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.97
lug_Latn,1.0
lug_Latn,0.97
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.98
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.94
lug_Latn,0.97
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.98
lug_Latn,1.0
shr_Latn,0.64
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,0.96
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.97
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,0.96
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.94
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.98
lug_Latn,0.99
lug_Latn,0.99
lug_Latn,0.98
lug_Latn,1.0
lug_Latn,0.97
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.98
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.87
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.94
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.88
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.97
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.98
lug_Latn,1.0
lug_Latn,0.98
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.98
lug_Latn,0.98
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.86
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,0.96
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.99
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,1.0
lug_Latn,0.98
