answer,percentage
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.98
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.88
fas_Arab,1.0
fas_Arab,0.98
fas_Arab,0.99
fas_Arab,0.98
fas_Arab,0.98
fas_Arab,0.99
fas_Arab,0.97
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.98
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.94
fas_Arab,0.99
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.96
fas_Arab,0.98
fas_Arab,0.98
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,0.95
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.98
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.95
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.98
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.97
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.78
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,0.99
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
fas_Arab,1.0
