answer,percentage
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,0.97
tsn_Latn,0.98
tsn_Latn,0.99
tsn_Latn,0.94
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.98
tsn_Latn,0.84
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.94
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.98
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
nso_Latn,0.97
tsn_Latn,0.96
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,0.98
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,0.92
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.98
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.9
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.98
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.98
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.97
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,0.98
tsn_Latn,1.0
tsn_Latn,0.99
tsn_Latn,1.0
tsn_Latn,0.95
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
tsn_Latn,1.0
