answer,percentage
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
kwy_Latn,0.69
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.51
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.96
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.9
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.96
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.74
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.92
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.94
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.95
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.89
umb_Latn,0.94
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.99
umb_Latn,0.97
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,0.95
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.84
umb_Latn,0.88
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,0.85
umb_Latn,0.88
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.6
umb_Latn,1.0
umb_Latn,0.43
umb_Latn,0.93
umb_Latn,0.99
nyk_Latn,0.66
umb_Latn,0.46
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.96
umb_Latn,1.0
umb_Latn,0.86
umb_Latn,0.67
umb_Latn,0.89
nnb_Latn,0.54
umb_Latn,0.89
umb_Latn,0.9
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.97
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,0.96
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.77
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.97
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,0.91
umb_Latn,0.96
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,0.99
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,0.95
umb_Latn,0.99
umb_Latn,0.94
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.88
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.7
umb_Latn,1.0
umb_Latn,0.95
umb_Latn,1.0
umb_Latn,0.97
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.87
umb_Latn,0.99
nyk_Latn,0.9
umb_Latn,0.99
umb_Latn,0.56
umb_Latn,1.0
umb_Latn,0.9
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.99
umb_Latn,0.8
umb_Latn,0.5
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.41
umb_Latn,1.0
umb_Latn,0.98
eng_Latn,0.34
umb_Latn,1.0
umb_Latn,0.94
xho_Latn,0.17
umb_Latn,0.69
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.96
umb_Latn,0.98
umb_Latn,0.97
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.91
umb_Latn,0.98
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.36
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.87
umb_Latn,0.91
umb_Latn,0.94
xho_Latn,0.23
umb_Latn,1.0
umb_Latn,0.96
umb_Latn,0.97
umb_Latn,0.91
umb_Latn,0.68
umb_Latn,0.99
umb_Latn,0.99
llb_Latn,0.39
umb_Latn,0.83
swh_Latn,0.39
umb_Latn,0.78
umb_Latn,1.0
mck_Latn,0.63
umb_Latn,0.98
umb_Latn,0.64
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.9
umb_Latn,1.0
umb_Latn,0.96
umb_Latn,0.94
umb_Latn,1.0
umb_Latn,0.97
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
lug_Latn,0.15
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.89
umb_Latn,0.98
umb_Latn,0.98
umb_Latn,0.99
umb_Latn,0.74
umb_Latn,0.8
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.92
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,0.99
umb_Latn,0.99
umb_Latn,0.62
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.96
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,0.84
umb_Latn,0.98
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.59
umb_Latn,0.68
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
nse_Latn,0.51
umb_Latn,0.83
umb_Latn,0.99
umb_Latn,0.99
umb_Latn,0.8
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.89
umb_Latn,1.0
umb_Latn,0.92
umb_Latn,1.0
umb_Latn,0.96
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,0.99
umb_Latn,1.0
umb_Latn,1.0
umb_Latn,0.94
umb_Latn,1.0
umb_Latn,0.99
umb_Latn,0.93
umb_Latn,0.99
umb_Latn,0.96
umb_Latn,1.0
umb_Latn,0.95
umb_Latn,0.97
umb_Latn,1.0
umb_Latn,0.98
umb_Latn,1.0
ndo_Latn,0.36
umb_Latn,0.99
umb_Latn,0.99
