answer,percentage
cmn_Hani,0.99
cmn_Hani,0.91
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.99
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.96
cmn_Hani,0.98
cmn_Hani,0.96
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.95
cmn_Hani,0.97
cmn_Hani,0.92
cmn_Hani,0.94
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.96
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.97
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.93
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.95
cmn_Hani,1.0
wuu_Hani,0.55
cmn_Hani,0.97
cmn_Hani,1.0
cmn_Hani,0.98
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.95
cmn_Hani,1.0
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.81
cmn_Hani,0.83
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.78
cmn_Hani,0.95
cmn_Hani,1.0
cmn_Hani,0.95
cmn_Hani,0.99
cmn_Hani,0.97
cmn_Hani,0.98
cmn_Hani,0.92
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,0.58
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.91
cmn_Hani,0.77
cmn_Hani,1.0
cmn_Hani,0.86
cmn_Hani,0.98
cmn_Hani,0.9
cmn_Hani,0.98
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,0.98
cmn_Hani,0.74
cmn_Hani,0.94
cmn_Hani,0.98
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,0.94
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.99
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.97
cmn_Hani,0.84
cmn_Hani,0.95
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.98
cmn_Hani,1.0
cmn_Hani,0.96
cmn_Hani,1.0
cmn_Hani,0.9
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,0.99
cmn_Hani,0.84
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
cmn_Hani,1.0
