premise,hypothesis,gpt_reply
"Bé, ni tan sols estava pensant en això, però estava molt frustrat i vaig acabar tornant a parlar amb ell.",No he tornat a parlar amb ell.,contradiction
"Bé, ni tan sols estava pensant en això, però estava molt frustrat i vaig acabar tornant a parlar amb ell.",Estava tan molest que vaig començar a parlar amb ell de nou.,entailment
"Bé, ni tan sols estava pensant en això, però estava molt frustrat i vaig acabar tornant a parlar amb ell.",Vam tenir una gran xerrada.,neutral
"Em van dir que, eh, que al final em trucaria un noi per conèixer-me.",Mai em van dir res de conèixer ningú.,contradiction
"Em van dir que, eh, que al final em trucaria un noi per conèixer-me.",Em van dir que em visitaria un noi per conèixer-me.,neutral
"Em van dir que, eh, que al final em trucaria un noi per conèixer-me.",El noi va arribar una mica tard.,neutral
Hi ha tantes coses sobre les quals podríeu parlar que m'ho saltaré.,Vull dir-te tot el que sé d'això!,contradiction
Hi ha tantes coses sobre les quals podríeu parlar que m'ho saltaré.,"No en parlaré, tot i que hi ha molt a cobrir.",entailment
Hi ha tantes coses sobre les quals podríeu parlar que m'ho saltaré.,No parlaré de la història de la ciutat perquè hi ha massa a dir.,entailment
Així que no estic ben segur de per què.,Estic segur del perquè.,contradiction
Així que no estic ben segur de per què.,No sé per què el van traslladar a les escoles.,neutral
Així que no estic ben segur de per què.,No sé per què va passar això.,neutral
Vaig ser l'únic que va fer funcionar els reguladors per a la prova a les cambres d'altitud en miniatura.,No m'agradava ser l'únic que feia funcionar els reguladors de les proves.,contradiction
Vaig ser l'únic que va fer funcionar els reguladors per a la prova a les cambres d'altitud en miniatura.,Les proves es van fer a les cambres d'altitud en miniatura.,entailment
Vaig ser l'únic que va fer funcionar els reguladors per a la prova a les cambres d'altitud en miniatura.,Vam ser uns quants de nosaltres que vam dirigir els reguladors per a la prova.,contradiction
"Soc, sergent cap, retirat, com va dir en Rick.","Encara estic treballant, fins avui.",contradiction
"Soc, sergent cap, retirat, com va dir en Rick.",Em vaig jubilar l'any 2002.,neutral
"Soc, sergent cap, retirat, com va dir en Rick.",Rick et va dir que estava jubilat.,entailment
"Hi ha algunes projeccions de flux d'efectiu al meu escriptori i, um, uh, és per a tal i tal Cutty, aquest és el nom del client.",El client anomenat Cutty guanya 10.000 dòlars al mes.,neutral
"Hi ha algunes projeccions de flux d'efectiu al meu escriptori i, um, uh, és per a tal i tal Cutty, aquest és el nom del client.",Hi ha un client que es diu Cutty.,entailment
"Hi ha algunes projeccions de flux d'efectiu al meu escriptori i, um, uh, és per a tal i tal Cutty, aquest és el nom del client.",No tenim cap client que es digui Cutty.,contradiction
La noia que em pot ajudar estàa l'altra partde la ciutat.,La noia de la qual necessito ajuda viu molt lluny.,neutral
La noia que em pot ajudar estàa l'altra partde la ciutat.,La noia que m'ajudarà és a 5 milles de distància.,entailment
La noia que em pot ajudar estàa l'altra partde la ciutat.,No hi ha ningú que em pugui ajudar.,contradiction
"Però estaven dividits sobre qui eren els treballadors de camp i qui eren els nens de la casa, era una mena de...",Tots estaven d'acord que tots treballarien al camp.,contradiction
"Però estaven dividits sobre qui eren els treballadors de camp i qui eren els nens de la casa, era una mena de...",No es podien posar d'acord sobre qui era peó al camp i qui pertanyia a la casa.,entailment
"Però estaven dividits sobre qui eren els treballadors de camp i qui eren els nens de la casa, era una mena de...",No es podien posar d'acord sobre qui havia de treballar al camp del cotó i qui havia de fregar els pisos.,neutral
"Vull dir que només tenien cinc fills, un d'ells va morir.",Tots els seus fills van sobreviure.,contradiction
"Vull dir que només tenien cinc fills, un d'ells va morir.",Un dels cinc nens va morir.,entailment
"Vull dir que només tenien cinc fills, un d'ells va morir.",El nen que va morir va néixer malalt.,neutral
"Va dir que només li baixaven llàgrimes dels ulls i va dir, després va dir que Joe va sortir al porxo.","Quan li va dir que pugés al porxo, tenia llàgrimes als ulls.",contradiction
"Va dir que només li baixaven llàgrimes dels ulls i va dir, després va dir que Joe va sortir al porxo.",Ràpidament es va eixugar les llàgrimes després de fer fora en Joe del porxo.,neutral
"Va dir que només li baixaven llàgrimes dels ulls i va dir, després va dir que Joe va sortir al porxo.",Estava tan contenta de veure en Joe que va començar a plorar.,neutral
"Fins i tot si l'avió estava en flames, per què, es cremaria i es fondria per un component de plom perquè la radiació es fugués.",La radiació també es pot contenir durant un incendi.,'contradiction'
"Fins i tot si l'avió estava en flames, per què, es cremaria i es fondria per un component de plom perquè la radiació es fugués.",La radiació es filtraria d'un component de plom després que l'avió es cremés.,entailment
"Fins i tot si l'avió estava en flames, per què, es cremaria i es fondria per un component de plom perquè la radiació es fugués.",La radiació no es filtraria durant un incendi.,'contradiction'
"Es tracta del sergent en cap Clem Francis, retirat de la Força Aèria dels EUA.",El cap està retirat de la Força Aèria dels EUA.,entailment
"Es tracta del sergent en cap Clem Francis, retirat de la Força Aèria dels EUA.",El cap es va jubilar fa unes setmanes.,neutral
"Es tracta del sergent en cap Clem Francis, retirat de la Força Aèria dels EUA.",El cap de la Força Aèria dels EUA acaba de començar la seva carrera aquesta setmana.,contradiction
"Bé, ha arribat a on hi ha dos o tres avions que arriben en una setmana i no sabia cap a on volen.",Arriba més d'un avió cada setmana.,entailment
"Bé, ha arribat a on hi ha dos o tres avions que arriben en una setmana i no sabia cap a on volen.",L'augment del trànsit d'avions és problemàtic.,neutral
"Bé, ha arribat a on hi ha dos o tres avions que arriben en una setmana i no sabia cap a on volen.",Mai no arriba cap avió.,contradiction
Ja s'havien entrenat amb els vestits de pressió complets i em va costar una mica si entres amb vestits de pressió complets.,Es necessiten fins a tres mesos per completar la formació sobre l'ús d'un vestit de pressió complet.,neutral
Ja s'havien entrenat amb els vestits de pressió complets i em va costar una mica si entres amb vestits de pressió complets.,Entrenar-se per fer servir un vestit de pressió complet requereix temps.,neutral
Ja s'havien entrenat amb els vestits de pressió complets i em va costar una mica si entres amb vestits de pressió complets.,Podríem completar el teu entrenament per fer servir un vestit de pressió complet al final del dia.,neutral
"Vull dir que no hi havia cap perill d'entrar amb la bomba perquè no explotaria, per molt que toqués a terra.",La bomba havia estat desactivada pel pilot.,neutral
"Vull dir que no hi havia cap perill d'entrar amb la bomba perquè no explotaria, per molt que toqués a terra.",No hi havia cap possibilitat que la bomba explotés.,entailment
"Vull dir que no hi havia cap perill d'entrar amb la bomba perquè no explotaria, per molt que toqués a terra.",Hi havia un gran perill d'explosió de la bomba.,contradiction
