premise,hypothesis,gpt_reply
"Λοιπόν, δεν το σκέφτηκα καν, αλλά ήμουν τόσο απογοητευμένος, και κατέληξα να του μιλάω και πάλι.",Δεν του μίλησα ξανά.,contradiction
"Λοιπόν, δεν το σκέφτηκα καν, αλλά ήμουν τόσο απογοητευμένος, και κατέληξα να του μιλάω και πάλι.",Ήμουν τόσο αναστατωμένος που άρχισα να του μιλάω ξανά.,entailment
"Λοιπόν, δεν το σκέφτηκα καν, αλλά ήμουν τόσο απογοητευμένος, και κατέληξα να του μιλάω και πάλι.",Είχαμε μια ωραία συζηση.,neutral
"Μου είπαν ότι, θα έπρεπε να καλέσω έναν άντρα στο τέλος για να συναντηθούμε.",Δεν μου είπαν ποτέ τίποτα σχετικά με το να συναντήσω κανέναν.,contradiction
"Μου είπαν ότι, θα έπρεπε να καλέσω έναν άντρα στο τέλος για να συναντηθούμε.",Μου είπαν πως θα καλούσαν έναν τύπο για να τον συναντήσω.,entailment
"Μου είπαν ότι, θα έπρεπε να καλέσω έναν άντρα στο τέλος για να συναντηθούμε.",Ο τύπος εμφανίστηκε λίγο αργά.,neutral
Υπάρχουν τόσα πολλά που θα μπορούσες να μιλήσεις γι 'αυτό απλά θα τα παραλείψω.,Θέλω να σου πω όλα όσα γνωρίζω γι 'αυτό!,contradiction
Υπάρχουν τόσα πολλά που θα μπορούσες να μιλήσεις γι 'αυτό απλά θα τα παραλείψω.,"Δεν θα μιλήσω γι 'αυτό, αν και υπάρχουν πολλά να καλύψουμε.",entailment
Υπάρχουν τόσα πολλά που θα μπορούσες να μιλήσεις γι 'αυτό απλά θα τα παραλείψω.,Δεν θα μιλήσω για την ιστορία της πόλης γιατί υπάρχουν πάρα πολλά να πω.,entailment
Έτσι δεν είμαι σίγουρος γιατί.,Είμαι σίγουρος καθώς και για τον λόγο.,contradiction
Έτσι δεν είμαι σίγουρος γιατί.,Δεν ξέρω γιατί άλλαξεσχολείο.,neutral
Έτσι δεν είμαι σίγουρος γιατί.,Δεν ξέρω γιατί συνέβη αυτό.,entailment
Εγώ ήμουν ο μόνος που έτρεχε πάντα τις ρυθμίσεις για δοκιμή στους μικροσκοπικούς θαλάμους υψομέτρου.,Δεν μου άρεσε να είμαι ο μόνος που  λειτουργεί τις ρυθμιστικές αρχές για τις δοκιμές.,neutral
Εγώ ήμουν ο μόνος που έτρεχε πάντα τις ρυθμίσεις για δοκιμή στους μικροσκοπικούς θαλάμους υψομέτρου.,Οι δοκιμές έγιναν σε μικρογραφίες θαλάμων υψομέτρου.,neutral
Εγώ ήμουν ο μόνος που έτρεχε πάντα τις ρυθμίσεις για δοκιμή στους μικροσκοπικούς θαλάμους υψομέτρου.,Υπήρχαν μερικοί από εμάς που χειρίζονταν τους ρυθμιστές για τη δοκιμή.,contradiction
"Εγώ, κύριε αρχιλοχία, συνταξιοδοτήθηκα, όπως είπε ο Rick.",Δουλεύω ακόμα μέχρι σήμερα.,contradiction
"Εγώ, κύριε αρχιλοχία, συνταξιοδοτήθηκα, όπως είπε ο Rick.",Βγήκα στη σύνταξη το 2002.,neutral
"Εγώ, κύριε αρχιλοχία, συνταξιοδοτήθηκα, όπως είπε ο Rick.",Ο Ρικ σου είπε ότι ήμουν συνταξιούχος.,entailment
"Υπάρχουν μερικές προβλέψεις μετρητών στο γραφείο μου και είναι μια για μια Cutty, αυτό είναι το όνομα του πελάτη.",Ο πελάτης με το όνομα Cutty βγάζει 10.000 δολάρια τον μήνα.,neutral
"Υπάρχουν μερικές προβλέψεις μετρητών στο γραφείο μου και είναι μια για μια Cutty, αυτό είναι το όνομα του πελάτη.",Υπάρχει ένας πελάτης που ονομάζεται Cutty.,entailment
