premise,hypothesis,gpt_reply
"Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.",Nyemegaƒo nu ake o.,"entailment
"
"Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.",Medo domedzui ale gbegbe be ɖeko megadze nuƒoƒo kpliie nye esia.,"neutral
"
"Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.",Mǐhe nya vevie ŋutɔ.,"neutral
"
"Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.",Womegblɔ nam be mado go ame aɖeke kpɔ o.,"contradiction
"
"Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.",Wogblɔ nam be woyɔ ɖekakpui aɖe si ado go kplim.,"neutral
"
"Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.",Ɖekakpui la tsi megbe vie hafi va.,"neutral
"
"Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.",Adzrom be magblɔ nu siwo katã menya ku ɖe eŋu la na wò.,"entailment
"
"Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.","Nyemele nya aɖeke gblɔ ge ku ɖe ŋu o, to egbɔ be nu sɔgbɔ lii si ŋu miake ɖo hafi.","neutral
"
"Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.",Nyemagblɔ dugãa ƒe ŋutinya o elabena nu sɔgbɔ lii woagblɔ ku ɖe eŋu.,"entailment
"
Eya ta nyemenya nu si tae tututu o.,Menye nu si ta wòdzɔ ɖo.,"neutral
"
Eya ta nyemenya nu si tae tututu o.,Nyemenya nu si ta wòɖoli suku ɖo o.,"neutral
"
Eya ta nyemenya nu si tae tututu o.,Nyemenya nu si ta wòɖoli suku ɖo o.,"entailment
"
"Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.",Medoa dzidzɔ nam be nye ɖeka koe tea ŋu zãna nuɖɔɖomɔa hena dodokpɔawo.,"entailment
"
"Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.",Wowɔa dodokpɔawo le xɔ fafɛ la me.,"entailment
"
"Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.",Mǐa dome ame aɖewo ʋu du tsɔ nuɖɔɖomɔawo vɛ na dodokpɔa.,"neutral
"
"Menye euh, kpɔvitɔ ƒe amegã xɔgbɔ̃ɖeme abe ale si Rick gblɔe ene.",Megale dɔ wɔm va se ɖe egbe.,"neutral
"
"Menye euh, kpɔvitɔ ƒe amegã xɔgbɔ̃ɖeme abe ale si Rick gblɔe ene.",Mexɔ gbɔɖeme le ƒè 2002 lia me.,"neutral
"
"Menye euh, kpɔvitɔ ƒe amegã xɔgbɔ̃ɖeme abe ale si Rick gblɔe ene.",Rick gblɔe na wò be mexɔ gbɔɖeme.,"neutral
"
"Gabuɖigbalẽwo le ɔfisi dzi nam eye, ɛ̃, enye Cutty machin-chose tɔ, nenema woyɔa asisinɔ lae.",Asisinɔ so woyɔa be Cutty la ƒe ɣletikukufe nye $ 10 000,"neutral
"
"Gabuɖigbalẽwo le ɔfisi dzi nam eye, ɛ̃, enye Cutty machin-chose tɔ, nenema woyɔa asisinɔ lae.",Asisinɔ aɖe lii si woyɔa be Cutty,"entailment
"
"Gabuɖigbalẽwo le ɔfisi dzi nam eye, ɛ̃, enye Cutty machin-chose tɔ, nenema woyɔa asisinɔ lae.",Míaƒe asisinɔ aɖeke metɔ Cutty o.,"contradiction
"
Ɖetugbui si ate ŋu kpe ɖe ŋunye lale dua ƒe akpe kemɛ.,Ɖetugbui si ƒe kpekpeɖeŋu mehiã la gbɔ dzidzi le afi sia gbɔ.,"neutral
"
Ɖetugbui si ate ŋu kpe ɖe ŋunye lale dua ƒe akpe kemɛ.,Ɖetugbui si akpe ɖe ŋunye la gbɔ le miles 5 tso afi sia.,"neutral
"
Ɖetugbui si ate ŋu kpe ɖe ŋunye lale dua ƒe akpe kemɛ.,Ame aɖeke mate ŋu kpe ɖe ŋunye o.,"contradiction
"
"Womese wo nɔewo gɔme le ame siwo yia gbea dzi kple esiwo nye aƒemeviwo la nya me o, ke boŋu enye...",Woƒoe se be yewo katã yewoawɔ dɔ le agbleawo me.,"neutral
"
"Womese wo nɔewo gɔme le ame siwo yia gbea dzi kple esiwo nye aƒemeviwo la nya me o, ke boŋu enye...",Womete ŋu nɔ wo nɔewo gɔme sem le ame si awɔ agbledɔ kple esi awɔ aƒemedɔ nya me o.,"neutral
"
