premise,hypothesis,gpt_label
"ਖੈਰ, ਮੈਂ ਇਸ ਬਾਰੇ ਸੋਚ ਵੀ ਨਹੀਂ ਰਿਹਾ ਸੀ, ਪਰ ਮੈਂ ਇੰਨਾ ਨਿਰਾਸ਼ ਸੀ, ਅਤੇ, ਮੈਂ ਉਸ ਨਾਲ ਦੁਬਾਰਾ ਗੱਲ ਕੀਤੀ.",ਮੈਂ ਫਿਰ ਉਸ ਨਾਲ ਗੱਲ ਨਹੀਂ ਕੀਤੀ।,2
"ਖੈਰ, ਮੈਂ ਇਸ ਬਾਰੇ ਸੋਚ ਵੀ ਨਹੀਂ ਰਿਹਾ ਸੀ, ਪਰ ਮੈਂ ਇੰਨਾ ਨਿਰਾਸ਼ ਸੀ, ਅਤੇ, ਮੈਂ ਉਸ ਨਾਲ ਦੁਬਾਰਾ ਗੱਲ ਕੀਤੀ.","ਮੈਨੂੰ ਇੰਨਾ ਗੁੱਸਾ ਆਇਆ ਕਿ ਮੈਂ ਉਸ ਨਾਲ ਦੁਬਾਰਾ ਗੱਲ ਕਰਨੀ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤੀ। """,1
"ਖੈਰ, ਮੈਂ ਇਸ ਬਾਰੇ ਸੋਚ ਵੀ ਨਹੀਂ ਰਿਹਾ ਸੀ, ਪਰ ਮੈਂ ਇੰਨਾ ਨਿਰਾਸ਼ ਸੀ, ਅਤੇ, ਮੈਂ ਉਸ ਨਾਲ ਦੁਬਾਰਾ ਗੱਲ ਕੀਤੀ.",ਸਾਡੀ ਬਹੁਤ ਵਧੀਆ ਗੱਲਬਾਤ ਹੋਈ।,2
"ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਕਿਹਾ, ਉਹ, ਕਿ ਮੈਨੂੰ ਇੱਕ ਆਦਮੀ ਵਿੱਚ ਬੁਲਾਇਆ ਜਾਵੇਗਾ ਮੇਰੇ ਮਿਲਣ ਲਈ.",ਮੈਂ ਕਦੇ ਕਿਸੇ ਨੂੰ ਮਿਲਣ ਬਾਰੇ ਨਹੀਂ ਦੱਸਿਆ।,1
"ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਕਿਹਾ, ਉਹ, ਕਿ ਮੈਨੂੰ ਇੱਕ ਆਦਮੀ ਵਿੱਚ ਬੁਲਾਇਆ ਜਾਵੇਗਾ ਮੇਰੇ ਮਿਲਣ ਲਈ.",ਮੈਨੂੰ ਦੱਸਿਆ ਗਿਆ ਸੀ ਕਿ ਮੈਨੂੰ ਮਿਲਣ ਲਈ ਇਕ ਮੁੰਡੇ ਨੂੰ ਬੁਲਾਇਆ ਜਾਵੇਗਾ।,2
"ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਕਿਹਾ, ਉਹ, ਕਿ ਮੈਨੂੰ ਇੱਕ ਆਦਮੀ ਵਿੱਚ ਬੁਲਾਇਆ ਜਾਵੇਗਾ ਮੇਰੇ ਮਿਲਣ ਲਈ.",ਮੁੰਡਾ ਥੋੜ੍ਹੀ ਦੇਰ ਨਾਲ ਆਇਆ।,1
ਇੱਥੇ ਬਹੁਤ ਕੁਝ ਹੈ ਜਿਸ ਬਾਰੇ ਤੁਸੀਂ ਗੱਲ ਕਰ ਸਕਦੇ ਹੋ ਕਿ ਮੈਂ ਇਸ ਨੂੰ ਛੱਡ ਦੇਵਾਂਗਾ.,ਮੈਂ ਤੁਹਾਨੂੰ ਉਹ ਸਭ ਕੁਝ ਦੱਸਣਾ ਚਾਹੁੰਦਾ ਹਾਂ ਜੋ ਮੈਨੂੰ ਪਤਾ ਹੈ!,1
ਇੱਥੇ ਬਹੁਤ ਕੁਝ ਹੈ ਜਿਸ ਬਾਰੇ ਤੁਸੀਂ ਗੱਲ ਕਰ ਸਕਦੇ ਹੋ ਕਿ ਮੈਂ ਇਸ ਨੂੰ ਛੱਡ ਦੇਵਾਂਗਾ.,"ਮੈਂ ਇਸ ਬਾਰੇ ਗੱਲ ਨਹੀਂ ਕਰਾਂਗਾ, ਹਾਲਾਂਕਿ ਬਹੁਤ ਕੁਝ ਕਵਰ ਕਰਨ ਲਈ ਹੈ.",0
ਇੱਥੇ ਬਹੁਤ ਕੁਝ ਹੈ ਜਿਸ ਬਾਰੇ ਤੁਸੀਂ ਗੱਲ ਕਰ ਸਕਦੇ ਹੋ ਕਿ ਮੈਂ ਇਸ ਨੂੰ ਛੱਡ ਦੇਵਾਂਗਾ.,ਮੈਂ ਸ਼ਹਿਰ ਦੇ ਇਤਿਹਾਸ ਬਾਰੇ ਗੱਲ ਨਹੀਂ ਕਰਾਂਗਾ ਕਿਉਂਕਿ ਇੱਥੇ ਕਹਿਣ ਲਈ ਬਹੁਤ ਕੁਝ ਹੈ।,2
ਇਸ ਲਈ ਮੈਨੂੰ ਨਹੀਂ ਪਤਾ ਕਿ ਅਜਿਹਾ ਕਿਉਂ ਹੁੰਦਾ ਹੈ।,ਮੈਨੂੰ ਯਕੀਨ ਹੈ ਕਿ ਇਸ ਦਾ ਕਾਰਨ ਕੀ ਹੈ.,2
