premise,hypothesis,gpt_label
"Vâng, tôi thậm chí không nghĩ về điều đó, nhưng tôi đã rất thất vọng, và, tôi lại nói chuyện với anh ta lần nữa.",Tôi đã không nói chuyện với anh ta nữa.,2
"Vâng, tôi thậm chí không nghĩ về điều đó, nhưng tôi đã rất thất vọng, và, tôi lại nói chuyện với anh ta lần nữa.",Tôi buồn tới mức tôi lại bắt đầu nói chuyện lại với anh ta.,0
"Vâng, tôi thậm chí không nghĩ về điều đó, nhưng tôi đã rất thất vọng, và, tôi lại nói chuyện với anh ta lần nữa.",Chúng tôi có buổi nói chuyện tuyệt vời.,1
"Họ nói với tôi rằng, ừ, rằng tôi sẽ được gọi bởi một chàng trai vào cuối cùng để gặp nhau.",Tôi chưa bao giờ nói gì về việc gặp ai cả.,2
"Họ nói với tôi rằng, ừ, rằng tôi sẽ được gọi bởi một chàng trai vào cuối cùng để gặp nhau.",Tôi được báo rằng sẽ có một người được gọi vào để tôi gặp.,0
"Họ nói với tôi rằng, ừ, rằng tôi sẽ được gọi bởi một chàng trai vào cuối cùng để gặp nhau.",Anh chàng xuất hiện muộn một chút.,1
Có rất nhiều điều bạn có thể nói mà tôi sẽ chỉ bỏ qua điều đó thôi.,Tôi muốn nói với bạn tất cả mọi thứ tôi biết về điều đó!,2
Có rất nhiều điều bạn có thể nói mà tôi sẽ chỉ bỏ qua điều đó thôi.,"Tôi sẽ không nói về điều đó, mặc dù có rất nhiều thứ phảinói.",0
Có rất nhiều điều bạn có thể nói mà tôi sẽ chỉ bỏ qua điều đó thôi.,Tôi sẽ không nói về lịch sử của thành phố vì có quá nhiều điều để nói.,1
Vì vậy tôi không chắc tại sao nữa.,Tôi chắc chắn là lý do tại sao.,2
Vì vậy tôi không chắc tại sao nữa.,Tôi không biết vì sao anh ấy lại chuyển trường.,1
Vì vậy tôi không chắc tại sao nữa.,Tôi không biết vì sao nó xảy ra.,0
"Tôi là người duy nhất mà uh, từng điều hành các bộ điều chỉnh cho ờ, cho phần thử nghiệm trong các buồng áp lực cỡ nhỏ.",Tôi không thích là người duy nhất điều khiển các máy điều chỉnh dùng trong các bài kiểm tra.,1
"Tôi là người duy nhất mà uh, từng điều hành các bộ điều chỉnh cho ờ, cho phần thử nghiệm trong các buồng áp lực cỡ nhỏ.",Các thử nghiệm đã được thực hiện trong các phòng thu nhỏ trên cao.,1
"Tôi là người duy nhất mà uh, từng điều hành các bộ điều chỉnh cho ờ, cho phần thử nghiệm trong các buồng áp lực cỡ nhỏ.",Có một vài người trong chúng tôi điều hành các máy điều chỉnh để kiểm tra.,1
"Tôi vâng, Thượng Sỹ, đã nghỉ hưu, như Rick đã nói.",Tôi vẫn đang làm việc cho đến ngày nay.,2
"Tôi vâng, Thượng Sỹ, đã nghỉ hưu, như Rick đã nói.",Tôi đã về hưu vào năm 2002.,1
"Tôi vâng, Thượng Sỹ, đã nghỉ hưu, như Rick đã nói.",Rick nói với bạn tôi đã nghỉ hưu.,1
"Có một số dự đoán về dòng tiền trên bàn làm việc của tôi và, ừm, nó dành cho một khách hàng tên Cutty.",Khách hàng có tên Cutty kiếm được $ 10000 một tháng.,1
