premise,hypothesis,gpt_label
"Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena",Ntabwo narinongera kumuvugisha ,0
"Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena",Narimfite intimba nisanga nongeye kumuvugisha ,0
"Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena",Twagiranye ikiganiro kiza,0
"Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure",Ntabwo bigeze bambwira ikintu kijyanye noo guhura numuntu,2
"Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure",bambwiye ko hari umusore bazahamagara ngo duhure ,0
"Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure",Umusore yahageze atinze,2
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke,Nshaka kukubwira ibyonzi byose byerekarenye nabyo,2
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke,"Ntabwo nzabivugaho, nubwo hari byinshi byo kuvuga kuribyo",2
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke,Ntabwo mvuga amateka yumujyi kuko hari byinshi byo kuvuga,2
Ntabwo rero nzi impamvu,Nzi neza impamvu yabiteye,0
Ntabwo rero nzi impamvu,Ntabwo nzi impamvu yahinduye amashuri,0
Ntabwo rero nzi impamvu,Sinzi impamvu ibyo byabaye,0
"ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito",Sinakundaga kuba arinjyenyine uyobora ubugenzuzi kubizamini,0
"ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito",Ibizimini byakorewe mubyumba bito bito ,0
"ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito",Hariho bake muri twe bayoboraga ubugenzuzi bwo gukora ikizimani,0
"Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze",Ndacyakora kugeza na nubu,2
"Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze",Nasezeye muri 2002,1
"Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze",Rick yakubwiye ko nasezeye,0
"Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya",Umukiriya witwa Cutty abona $10000 buri kwezi,1
"Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya",Uyu numukiriya witwa Cutty,0
"Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya",Ntabakiriya tugira bitwa Cutty,2
Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi,Umukobwa nkeneye ko amfasha aba kure,0
Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi,Umukobwa ugiye kumfasha ari murikilometero 5,1
Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi,Ntamuntu ushobora kumfasha ,2
"Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze",Bose bemejeko bazakorera mumurima,0
"Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze",Ntibashoboraga kumvikana ninde wari gukorera mumurima nuwo gukorera murugo,2
"Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze",Ntibashoboraga kwemeranya ninde ugomba gukora mumurima w ipamba nande ugomba gukoropa hasi,2
"Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye",Abana babo bose bararokotse,2
"Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye",Umwana umwe muribo batanu yarapfuye,0
"Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye",Umwana wapfuye yavutse arwaye,0
"Yavuze ko hari amarira aturutse mu maso ati, noneho abwira Joe azamuke ku rubaraza",Ubwo yamubwiraga kuzamuka ku rubaraza yari afite amarira mu maso ye,2
"Yavuze ko hari amarira aturutse mu maso ati, noneho abwira Joe azamuke ku rubaraza",Yahise ahanagura amarira nyuma yo gusukuma Joe ku rubaraza,0
"Yavuze ko hari amarira aturutse mu maso ati, noneho abwira Joe azamuke ku rubaraza",Yishimiye cyane kubona Joe ku buryo yatangiye kurira,1
"Nubwo indege yaririkwaka umuriro, kuki yashya kandi igashonga ikoresheje icyerekezo kugirango imirasire isohoke",Imirasire irashobora kugabanywa mugihe cyumuriro,0
"Nubwo indege yaririkwaka umuriro, kuki yashya kandi igashonga ikoresheje icyerekezo kugirango imirasire isohoke",Imirasire ishobora gutemba mu gice kiyobora indege imaze gushya,1
"Nubwo indege yaririkwaka umuriro, kuki yashya kandi igashonga ikoresheje icyerekezo kugirango imirasire isohoke",Imirasire ntishobora gusohoka mugihe cy'umuriro,0
"Uyu ni Umuyobozi mukuru Serija Clem Francis, wasezeye mu ngabo zirwanira mu kirere muri Amerika",Umutware yasezeye mu ngabo zirwanira mu kirere muri Amerika,0
"Uyu ni Umuyobozi mukuru Serija Clem Francis, wasezeye mu ngabo zirwanira mu kirere muri Amerika",Umutware aherutse gusezera mu byumweru bike bishize,2
"Uyu ni Umuyobozi mukuru Serija Clem Francis, wasezeye mu ngabo zirwanira mu kirere muri Amerika",Umuyobozi w'ingabo zirwanira mu kirere muri Amerika yatangiye umwuga we muri iki cyumweru,1
Byageze aho hari indege ebyiri cyangwa eshatu zihagera mucyumweru kandi sinari nzi aho ziguruka zigana,Indege zirenga imwe zihagera buri cyumweru,0
Byageze aho hari indege ebyiri cyangwa eshatu zihagera mucyumweru kandi sinari nzi aho ziguruka zigana,Ubwiyongere bwa ambuteyaje yindege buragoye,0
Byageze aho hari indege ebyiri cyangwa eshatu zihagera mucyumweru kandi sinari nzi aho ziguruka zigana,Nta ndege zijya zihagera,2
Bamaze kugira imyitozo mumyenda yuzuye yumuvuduko kandi byantwaye igihe niba ugiye mumyenda yumuvuduko  yuzuye,Bifata amezi agera kuri atatu kugirango urangize amahugurwa yo gukoresha ikositimu yumuvuduko yuzuye,2
Bamaze kugira imyitozo mumyenda yuzuye yumuvuduko kandi byantwaye igihe niba ugiye mumyenda yumuvuduko  yuzuye,Amahugurwa yo gukoresha ikositimu yumuvuduko yuzuye ifata igihe,2
