premise,hypothesis,gpt_reply
"ഞാൻ അതിനെപ്പറ്റി ചിന്തിക്കുകപോലും ചെയ്തില്ല, പക്ഷെ ഞാൻ വളരെ നിരാശനായിരുന്നു, അവസാനം ഞാൻ അവനോട് വീണ്ടും സംസാരിച്ചു.",പിന്നീടൊരിക്കലും ഞാൻ അദ്ദേഹത്തോട് സംസാരിച്ചിട്ടില്ല.,"contradiction
"
"ഞാൻ അതിനെപ്പറ്റി ചിന്തിക്കുകപോലും ചെയ്തില്ല, പക്ഷെ ഞാൻ വളരെ നിരാശനായിരുന്നു, അവസാനം ഞാൻ അവനോട് വീണ്ടും സംസാരിച്ചു.","ഞാൻ ആകെ വിഷമിച്ചു പോയി, അദ്ദേഹത്തോട് വീണ്ടും സംസാരിക്കാൻ തുടങ്ങി.","entailment
"
"ഞാൻ അതിനെപ്പറ്റി ചിന്തിക്കുകപോലും ചെയ്തില്ല, പക്ഷെ ഞാൻ വളരെ നിരാശനായിരുന്നു, അവസാനം ഞാൻ അവനോട് വീണ്ടും സംസാരിച്ചു.",ഞങ്ങൾ തമ്മിൽ വലിയ സംഭാഷണമായിരുന്നു.,"neutral
"
"അവർ എന്നോട് പറഞ്ഞു, ആഹ്, എന്നെ അവസാനം കാണാൻ വിളിക്കുമെന്ന്.",ആരെയും കാണുന്നതിനെ കുറിച്ച് ഞാൻ ഒന്നും പറഞ്ഞിട്ടില്ല.,"neutral
"
"അവർ എന്നോട് പറഞ്ഞു, ആഹ്, എന്നെ അവസാനം കാണാൻ വിളിക്കുമെന്ന്.",എന്നെ കാണാൻ ഒരാളെ വിളിക്കുമെന്നാണ് പറഞ്ഞത്.,"entailment
"
"അവർ എന്നോട് പറഞ്ഞു, ആഹ്, എന്നെ അവസാനം കാണാൻ വിളിക്കുമെന്ന്.",കുറെ വൈകിയാണ് ആൾ വന്നത്.,"neutral
"
നിങ്ങൾക്ക് ഒരുപാട് കാര്യങ്ങൾ സംസാരിക്കാനുണ്ട്.... ഞാൻ അത് ഒഴിവാക്കും.,എനിക്കറിയാവുന്നതെല്ലാം എനിക്ക് നിങ്ങളോട് പറയണം!,"neutral
"
നിങ്ങൾക്ക് ഒരുപാട് കാര്യങ്ങൾ സംസാരിക്കാനുണ്ട്.... ഞാൻ അത് ഒഴിവാക്കും.,ഒരുപാട് കാര്യങ്ങൾ മറയ്ക്കാനുണ്ടെങ്കിലും ഞാൻ അതിനെക്കുറിച്ച് സംസാരിക്കില്ല.,"neutral
"
നിങ്ങൾക്ക് ഒരുപാട് കാര്യങ്ങൾ സംസാരിക്കാനുണ്ട്.... ഞാൻ അത് ഒഴിവാക്കും.,"നഗരത്തിന്റെ ചരിത്രത്തെക്കുറിച്ച് ഞാൻ സംസാരിക്കില്ല, കാരണം പറയാൻ ഒരുപാട് കാര്യങ്ങളുണ്ട്.","entailment
"
അതുകൊണ്ട് എന്തുകൊണ്ടാണെന്ന് എനിക്കുറപ്പില്ല.,അതിന്റെ കാരണമെന്താണെന്ന് എനിക്കുറപ്പുണ്ട്.,"contradiction
"
അതുകൊണ്ട് എന്തുകൊണ്ടാണെന്ന് എനിക്കുറപ്പില്ല.,എന്തുകൊണ്ടാണ് അദ്ദേഹം സ്കൂളുകൾ മാറ്റിയതെന്ന് എനിക്കറിയില്ല.,"neutral
"
അതുകൊണ്ട് എന്തുകൊണ്ടാണെന്ന് എനിക്കുറപ്പില്ല.,എന്തുകൊണ്ടാണ് അങ്ങനെ സംഭവിച്ചതെന്ന് അറിയില്ല.,"entailment
"
മിനിയേച്ചർ എല്റ്റിറ്റ്യൂഡ് ചേംബറുകളിൽ പരിശോധന നടത്തുന്ന ഒരേയൊരു ആൾ ഞാനായിരുന്നു.,ടെസ്റ്റുകൾക്ക് റെഗുലേറ്റർമാരെ മാത്രം നോക്കുന്നത് എനിക്കിഷ്ടമല്ലായിരുന്നു.,"neutral
"
മിനിയേച്ചർ എല്റ്റിറ്റ്യൂഡ് ചേംബറുകളിൽ പരിശോധന നടത്തുന്ന ഒരേയൊരു ആൾ ഞാനായിരുന്നു.,മിനിയേച്ചർ എല്റ്റിറ്റ്യൂഡ് ചേംബറുകളിലാണ് പരിശോധന നടത്തിയത്.,"entailment
"
മിനിയേച്ചർ എല്റ്റിറ്റ്യൂഡ് ചേംബറുകളിൽ പരിശോധന നടത്തുന്ന ഒരേയൊരു ആൾ ഞാനായിരുന്നു.,ഞങ്ങളിൽ കുറച്ചുപേർ പരിശോധനയ്ക്കായി റെഗുലേറ്ററുകൾ നടത്തിയിരുന്നു.,"contradiction
"
റിക്ക് പറഞ്ഞതുപോലെ റിട്ടയേർഡ് ചീഫ് മാസ്റ്റർ സാർജെന്റ്റ്.,ഇന്നും ഞാൻ ജോലി ചെയ്യുന്നുണ്ട്.,"neutral
"
റിക്ക് പറഞ്ഞതുപോലെ റിട്ടയേർഡ് ചീഫ് മാസ്റ്റർ സാർജെന്റ്റ്.,2002-ൽ ഞാൻ വിരമിച്ചു.,"neutral
"
റിക്ക് പറഞ്ഞതുപോലെ റിട്ടയേർഡ് ചീഫ് മാസ്റ്റർ സാർജെന്റ്റ്.,റിക്ക് നിന്നോട് പറഞ്ഞു ഞാൻ റിട്ടയർ ആണെന്ന്.,"neutral
"
