premise,hypothesis,gpt_reply
mu hekwa.,neuka tita xatawe m+k+ mat+a.,"neutral
"
mu hekwa.,kwinie p+re ha a kai nem+re ta xatsie menuakie hamat+a.,"neutral
"
mu hekwa.,aix+ te+ite ti xá.,"neutral
"
pewekai neme nautsane tsie AFFC ik+ mem+ t+r+kawi metá mema w+wawe.,kwara maikai kename m+k+ xeik+a hey+aneme peyu eriekai ana.,"neutral
"
pewekai neme nautsane tsie AFFC ik+ mem+ t+r+kawi metá mema w+wawe.,m+tiwa +kit+a.,"neutral
"
pewekai neme nautsane tsie AFFC ik+ mem+ t+r+kawi metá mema w+wawe.,"mepetuyua kename metetseta xiriex+a nikekai, per+ yak+ mepeti yuanekai.","neutral
"
neureta h+awarie kename ik+… kename xewit+ netseta hiwieni kiekai arikeke temeyu xeiyak+,atsí neuka reta h+awariexeime nemeti manik+.,"neutral
"
neureta h+awarie kename ik+… kename xewit+ netseta hiwieni kiekai arikeke temeyu xeiyak+,neureta h+awarie kename xeime neta h+awe kiekai netseti manik+.,"neutral
"
neureta h+awarie kename ik+… kename xewit+ netseta hiwieni kiekai arikeke temeyu xeiyak+,m+k+ peyu hek+a tax+ arikeke etsiwa.,"neutral
"
"puxuawe wa+kawa mutiuta xata hetsiena mieme m+k+ k+, atsi kati anemek+ m+k+ neuan wani.",¡ neumetita xat+anikeyu naime nenrameté mi+k+ tsie !.,"**contradiction**

here's why:

* **premise translation (approximate):** ""he is a good doctor, he cures people well, that's why everyone respects him."" (focus is on *positive* healing ability and resulting respect)
* **hypothesis translation (approximate):** ""he doesn't cure anyone well, he's a bad doctor!"" (focus is on *lack* of healing ability and a negative assessment)

the premise explicitly states the person *is* a good doctor and *does* cure people. the hypothesis *directly denies* these claims. this is a clear logical contradiction. therefore, the premise contradicts the hypothesis.



"
"puxuawe wa+kawa mutiuta xata hetsiena mieme m+k+ k+, atsi kati anemek+ m+k+ neuan wani.","neuka tita xata m+k+k+,tsepa kuinie m+ti ane .","neutral



"
"puxuawe wa+kawa mutiuta xata hetsiena mieme m+k+ k+, atsi kati anemek+ m+k+ neuan wani.",neukatita xata ik+tsie meripait+ kenti+y+ miemek+ kiekari wa+ka puti xuawe niuki.,"neutral



"
xewit+ mutateke hidrógena wana pait+ ik+ haika tewiyari xewit+ C124.,atsí teukateti erí tem+te ti utá ni tixa+.,"**neutral**

here's why:

* **premise translation (approximate):** ""this is a medicine made of hydrogen water, it cures this illness xewit+ c124.""  (focus is on a specific medicinal treatment for a specific ailment.)
* **hypothesis translation (approximate):** ""our ancestors knew about this thing in the earth."" (focus is on ancestral knowledge of something found in the earth.)

there's no logical connection between a modern medicine's composition and effectiveness and ancient knowledge of something in the earth.  the premise doesn't give any information that would *require* the hypothesis to be true (entailment), or *require* it to be false (contradiction). they are talking about different things. therefore, it is neutral.



"
xewit+ mutateke hidrógena wana pait+ ik+ haika tewiyari xewit+ C124.,teuta eriwakai temeta wikwetsi t+ani ti xeime wa+kawa keti hipat+.,"neutral
"
xewit+ mutateke hidrógena wana pait+ ik+ haika tewiyari xewit+ C124.,teuta eriwakai temeta wikwetsi t+ani ik+ mutateke-H tsiukwe y+nekai meiku may+ani.,"neutral
"
aimieme neukwe xeiya yeme aix+ titayari.,neuti maté yuri ik+ niuki tita m+ti h+k+.,"neutral
"
aimieme neukwe xeiya yeme aix+ titayari.,neukara maté titayari ren+ ax+a mentewa +kit+arie.,"neutral
"
aimieme neukwe xeiya yeme aix+ titayari.,neukara maté titayari yam+ rey+.,"contradiction
"
"ik+ p+ h+k+ Fannie Flono. Petaweri x+.wana Ag-- Augusta, GA, metá peta niuni tixa+t+k+ historia tsimutewi kaitsie.",Fannie Flono p+reyuri ik+ tawari meika in+ata m+ka y+we tatiuta xat+ani hik+.,"neutral
"
