premise,hypothesis,gpt_reply
"আমি এটা নিয়ে ভাবছিলাম না, কিন্তু আমি হতাশ হয়ে পড়লাম, এবং, আমি তার সাথে আবার কথা বলতে শুরু করলাম।",তার সঙ্গে আমার আর কথা হয়নি।,contradiction
"আমি এটা নিয়ে ভাবছিলাম না, কিন্তু আমি হতাশ হয়ে পড়লাম, এবং, আমি তার সাথে আবার কথা বলতে শুরু করলাম।","আমি এতটাই বিরক্ত হয়েছিলাম যে, আবারও তার সঙ্গে কথা বলা শুরু করেছিলাম।",entailment
"আমি এটা নিয়ে ভাবছিলাম না, কিন্তু আমি হতাশ হয়ে পড়লাম, এবং, আমি তার সাথে আবার কথা বলতে শুরু করলাম।",আমাদের মধ্যে দারুণ কথাবার্তা হয়েছে।,neutral
"তারা আমাকে বলেছে, uh, যে আমাকে একজন লোকের সাথে দেখা করার জন্য ডাকা হবে।",কারও সঙ্গে দেখা করার কথা কখনও ভাবিনি।,contradiction
"তারা আমাকে বলেছে, uh, যে আমাকে একজন লোকের সাথে দেখা করার জন্য ডাকা হবে।",আমাকে বলা হয়েছিল একজন লোক আসবে আমার সাথে দেখা করার জন্য।,entailment
"তারা আমাকে বলেছে, uh, যে আমাকে একজন লোকের সাথে দেখা করার জন্য ডাকা হবে।",লোকটা একটু দেরিতে এসেছে।,neutral
"তুমি অনেক কিছু নিয়ে কথা বলতে পারো, আমি সেটা বাদ দিয়ে দিবো।",আমি যা জানি সব তোমাকে বলতে চাই!,'neutral'
"তুমি অনেক কিছু নিয়ে কথা বলতে পারো, আমি সেটা বাদ দিয়ে দিবো।","আমি এটা নিয়ে কথা বলব না, যদিও অনেক কিছু কভার করার আছে।",entailment
"তুমি অনেক কিছু নিয়ে কথা বলতে পারো, আমি সেটা বাদ দিয়ে দিবো।","আমি শহরের ইতিহাস নিয়ে কথা বলব না, কারণ অনেক কিছু বলার আছে।",neutral
তাই ঠিক বুঝতে পারছি না কেন।,এর কারণ সম্পর্কে আমি নিশ্চিত।,contradiction
তাই ঠিক বুঝতে পারছি না কেন।,আমি জানি না কেন সে স্কুল বদলি করেছে।,neutral
তাই ঠিক বুঝতে পারছি না কেন।,কেন এমন হল জানি না।,entailment
"আমিই একমাত্র যে এর জন্য রেগুলেটর চালাতাম, ক্ষুদ্রাকৃতির উচ্চতা কক্ষে।",আমি একা রেগুলেটরদের টেস্ট চালাতে পছন্দ করি না।,contradiction
"আমিই একমাত্র যে এর জন্য রেগুলেটর চালাতাম, ক্ষুদ্রাকৃতির উচ্চতা কক্ষে।",ক্ষুদ্র উচ্চতা কক্ষে পরীক্ষা করা হয়েছিল।,neutral
"আমিই একমাত্র যে এর জন্য রেগুলেটর চালাতাম, ক্ষুদ্রাকৃতির উচ্চতা কক্ষে।",আমাদের মধ্যে কয়েকজন ছিল যারা এই পরীক্ষার জন্য রেগুলেটর চালাতাম।,contradiction
"আমি উম, চিফ মাস্টার সার্জেন্ট, অবসরপ্রাপ্ত, রিক যেমনটা বলেছিল।",আজও কাজ করে যাচ্ছি।,contradiction
"আমি উম, চিফ মাস্টার সার্জেন্ট, অবসরপ্রাপ্ত, রিক যেমনটা বলেছিল।",আমি ২০০২ সালে অবসর গ্রহণ করি।,neutral
"আমি উম, চিফ মাস্টার সার্জেন্ট, অবসরপ্রাপ্ত, রিক যেমনটা বলেছিল।",রিক তোমাকে বলেছে আমি অবসর নিয়েছি।,entailment
"আমার ডেস্কে কিছু নগদ প্রবাহের প্রজেকশন আছে, উম, উম, এটা এরকম কাটির জন্য, এটা মক্কেলের নাম।","কাটি নামে একজন ক্লায়েন্ট মাসে ১০, ০০০ ডলার আয় করে।",neutral
"আমার ডেস্কে কিছু নগদ প্রবাহের প্রজেকশন আছে, উম, উম, এটা এরকম কাটির জন্য, এটা মক্কেলের নাম।",কাটি নামে একজন ক্লায়েন্ট আছে।,'entailment'
"আমার ডেস্কে কিছু নগদ প্রবাহের প্রজেকশন আছে, উম, উম, এটা এরকম কাটির জন্য, এটা মক্কেলের নাম।",আমাদের কাটি নামে কোন ক্লায়েন্ট নেই।,contradiction
"যে মেয়েটা আমাকে সাহায্য করতে পারে, সে পুরো শহর জুড়ে আছে।",যে মেয়েটার জীবন থেকে আমার সাহায্য দরকার।,contradiction
"যে মেয়েটা আমাকে সাহায্য করতে পারে, সে পুরো শহর জুড়ে আছে।",যে মেয়েটা আমাকে সাহায্য করতে যাচ্ছে সে ৫ মাইল দূরে।,contradiction
"যে মেয়েটা আমাকে সাহায্য করতে পারে, সে পুরো শহর জুড়ে আছে।",আমাকে সাহায্য করার মতো কেউ নেই।,contradiction
"কিন্তু তারা বিভক্ত ছিল যেমন মাঠের হাত ছিল এবং বাড়ির বাচ্চা কারা ছিল, এটা ছিল এক ধরনের--",তারা সবাই একমত যে তারা সবাই মাঠে কাজ করবে।,contradiction
"কিন্তু তারা বিভক্ত ছিল যেমন মাঠের হাত ছিল এবং বাড়ির বাচ্চা কারা ছিল, এটা ছিল এক ধরনের--",তারা একমত হতে পারছিল না কে মাঠের লোক আর কে বাড়ির লোক।,entailment
"কিন্তু তারা বিভক্ত ছিল যেমন মাঠের হাত ছিল এবং বাড়ির বাচ্চা কারা ছিল, এটা ছিল এক ধরনের--","তারা এই বিষয়ে একমত হতে পারেনি যে, কে তুলা ক্ষেতে কাজ করবে এবং কে মেঝে মুছবে।",'entailment'
"আমি বলতে চাচ্ছি, তাদের শুধু পাঁচটি সন্তান ছিল, তাদের মধ্যে একজন মারা গেছে।",তাদের সব সন্তানই বেঁচে আছে।,contradiction
"আমি বলতে চাচ্ছি, তাদের শুধু পাঁচটি সন্তান ছিল, তাদের মধ্যে একজন মারা গেছে।",এর মধ্যে একটি শিশু মারা গেছে।,entailment
"আমি বলতে চাচ্ছি, তাদের শুধু পাঁচটি সন্তান ছিল, তাদের মধ্যে একজন মারা গেছে।",যে শিশুটি মারা গেছে সে অসুস্থ হয়ে জন্মেছে।,neutral
"সে বললো তার চোখ দিয়ে পানি গড়িয়ে পড়ছে, তারপর সে বললো জো বারান্দায় উঠে এসেছে।",যখন তিনি তাকে বারান্দায় আসতে বলেন তখন তার চোখে জল চলে আসে।,contradiction
"সে বললো তার চোখ দিয়ে পানি গড়িয়ে পড়ছে, তারপর সে বললো জো বারান্দায় উঠে এসেছে।",তিনি জোকে বারান্দা থেকে ছুঁড়ে ফেলে দিয়ে দ্রুত চোখের জল মুছে ফেলেন।,contradiction
"সে বললো তার চোখ দিয়ে পানি গড়িয়ে পড়ছে, তারপর সে বললো জো বারান্দায় উঠে এসেছে।","জোকে দেখে তিনি এতটাই আনন্দিত হয়েছিলেন যে, তিনি কাঁদতে শুরু করেছিলেন।",'entailment'
"এমনকি যদি বিমানে আগুন লেগে যায়, কেন, এটা পুড়ে যাবে এবং বিকিরণ লিক করার জন্য এটি একটি সীসা উপাদানের মাধ্যমে গলে যাবে।",আগুন লাগার সময়ও বিকিরণ নিয়ন্ত্রণ করা যায়।,'contradiction'
"এমনকি যদি বিমানে আগুন লেগে যায়, কেন, এটা পুড়ে যাবে এবং বিকিরণ লিক করার জন্য এটি একটি সীসা উপাদানের মাধ্যমে গলে যাবে।",বিমানটি পুড়ে যাওয়ার পরে বিকিরণটি সীসা উপাদান থেকে বেরিয়ে আসবে।,'entailment'
"এমনকি যদি বিমানে আগুন লেগে যায়, কেন, এটা পুড়ে যাবে এবং বিকিরণ লিক করার জন্য এটি একটি সীসা উপাদানের মাধ্যমে গলে যাবে।",আগুন লাগার সময় বিকিরণ বের হবে না।,'entailment'
তিনি মার্কিন বিমান বাহিনী থেকে অবসরপ্রাপ্ত চিফ মাস্টার সার্জেন্ট ক্লেম ফ্রান্সিস।,মার্কিন বিমান বাহিনী থেকে অবসর নিয়েছেন তিনি।,entailment
তিনি মার্কিন বিমান বাহিনী থেকে অবসরপ্রাপ্ত চিফ মাস্টার সার্জেন্ট ক্লেম ফ্রান্সিস।,মাত্র কয়েক সপ্তাহ আগে অবসর নিয়েছেন প্রধানমন্ত্রী।,contradiction
তিনি মার্কিন বিমান বাহিনী থেকে অবসরপ্রাপ্ত চিফ মাস্টার সার্জেন্ট ক্লেম ফ্রান্সিস।,চলতি সপ্তাহেই ক্যারিয়ার শুরু করেছেন মার্কিন বিমানবাহিনীর প্রধান।,contradiction
এটা এমন জায়গায় পৌছায় যেখানে এক সপ্তাহের মধ্যে দুই বা তিনটি বিমান এসে পৌছায় এবং আমি জানতাম না তারা কোথায় উড়ে যাচ্ছে।,প্রতি সপ্তাহে একের পর এক বিমান আসে।,neutral
এটা এমন জায়গায় পৌছায় যেখানে এক সপ্তাহের মধ্যে দুই বা তিনটি বিমান এসে পৌছায় এবং আমি জানতাম না তারা কোথায় উড়ে যাচ্ছে।,বর্ধিত বিমান চলাচলের সমস্যা রয়েছে।,neutral
এটা এমন জায়গায় পৌছায় যেখানে এক সপ্তাহের মধ্যে দুই বা তিনটি বিমান এসে পৌছায় এবং আমি জানতাম না তারা কোথায় উড়ে যাচ্ছে।,কোনও বিমান ওঠানামা করছে না।,contradiction
তারা ইতিমধ্যে ফুল প্রেসার স্যুট নিয়ে ট্রেনিং নিয়েছে.... আর তুমি যদি ফুল প্রেসার স্যুট পরে থাকো তাহলে আমার একটু সময় লাগবে।,ফুল প্রেসার স্যুট ব্যবহারের প্রশিক্ষণ শেষ করতে তিন মাস সময় লাগে।,neutral
তারা ইতিমধ্যে ফুল প্রেসার স্যুট নিয়ে ট্রেনিং নিয়েছে.... আর তুমি যদি ফুল প্রেসার স্যুট পরে থাকো তাহলে আমার একটু সময় লাগবে।,পুরো চাপের স্যুট ব্যবহার করার জন্য প্রশিক্ষণের সময় লাগে।,neutral
তারা ইতিমধ্যে ফুল প্রেসার স্যুট নিয়ে ট্রেনিং নিয়েছে.... আর তুমি যদি ফুল প্রেসার স্যুট পরে থাকো তাহলে আমার একটু সময় লাগবে।,আমরা আপনাকে দিনের শেষে একটি পূর্ণ চাপ স্যুট ব্যবহার করার জন্য প্রশিক্ষণ দিতে পারেন.,neutral
"আমি বলতে চাই যে, বোমাটি যত জোরেই আঘাত করুক না কেন, বোমাটি বিস্ফোরিত হওয়ার কোন আশঙ্কা ছিল না।",বোমাটি নিষ্ক্রিয় করেছিলেন পাইলট।,neutral
"আমি বলতে চাই যে, বোমাটি যত জোরেই আঘাত করুক না কেন, বোমাটি বিস্ফোরিত হওয়ার কোন আশঙ্কা ছিল না।",বোমাটি ফেটে যাওয়ার কোনও সম্ভাবনা ছিল না।,entailment
"আমি বলতে চাই যে, বোমাটি যত জোরেই আঘাত করুক না কেন, বোমাটি বিস্ফোরিত হওয়ার কোন আশঙ্কা ছিল না।",বোমাটি ফেটে যাওয়ার আশঙ্কা ছিল।,contradiction
এবং আমি যা করার চেষ্টা করছি তা দেখে কেমন লাগছে।,আমি জানি না এটা তোমার কাছে কেমন দেখাচ্ছে।,neutral
এবং আমি যা করার চেষ্টা করছি তা দেখে কেমন লাগছে।,আমি অবশ্যই এটা করার চেষ্টা করছি।,entailment
এবং আমি যা করার চেষ্টা করছি তা দেখে কেমন লাগছে।,আগামী সপ্তাহে আমার প্রজেক্ট শেষ করার চেষ্টা করছি।,neutral
"কিন্তু যাই হোক, পশুগুলো সব সময়, বিশেষ করে ছাগলগুলো খোরপোশ হয়ে যেত।",ছাগলগুলো প্রতিদিন শস্যাগার থেকে পালিয়ে বেড়াত।,neutral
"কিন্তু যাই হোক, পশুগুলো সব সময়, বিশেষ করে ছাগলগুলো খোরপোশ হয়ে যেত।",ছাগলগুলো প্রায়ই পালিয়ে বেড়াত।,contradiction
"কিন্তু যাই হোক, পশুগুলো সব সময়, বিশেষ করে ছাগলগুলো খোরপোশ হয়ে যেত।",ছাগলগুলোকে নিরাপদে রাখা হয়েছিল।,neutral
যখন আমরা ভিতরে ঢুকলাম তখন দরজা বন্ধ ছিল।,সব দরজাই খোলা ছিল।,contradiction
যখন আমরা ভিতরে ঢুকলাম তখন দরজা বন্ধ ছিল।,আমাদের কাছে চাবি ছিল।,neutral
যখন আমরা ভিতরে ঢুকলাম তখন দরজা বন্ধ ছিল।,দরজা বন্ধ থাকলেও আমরা ভিতরে ঢুকেছিলাম।,entailment
তাই আমাকে শুধু টোটাল নিতে হয়েছিল এবং সেভাবে হিসাব করার চেষ্টা করতে হয়েছিল।,"আমি আত্মবিশ্বাসী যে, এই টোটালগুলো আমাকে খুঁজে বের করতে হবে।",neutral
তাই আমাকে শুধু টোটাল নিতে হয়েছিল এবং সেভাবে হিসাব করার চেষ্টা করতে হয়েছিল।,আমার কোন ধারণাই নেই যে এই টোটাল নিয়ে আমি কি করব.... দয়া করে আমাকে আরো বিস্তারিত জানাবেন এই বিশৃঙ্খলার কারণ বের করার জন্য।,neutral
