premise,hypothesis,gpt_reply
"Bua', kèq ye' kũ e' bikeitsök erë ye' chkénãwã tã ye' ujtémĩne ie' tã páxlĩnẽ.",Kèq ye' ùtẽnẽ ie' tã páxlĩ.,neutral
"Bua', kèq ye' kũ e' bikeitsök erë ye' chkénãwã tã ye' ujtémĩne ie' tã páxlĩnẽ.",Sulû ye' ulùnãwã e' wa tã ye' ujtémĩnẽ ie' tã páxlĩ.,neutral
"Bua', kèq ye' kũ e' bikeitsök erë ye' chkénãwã tã ye' ujtémĩne ie' tã páxlĩnẽ.",Sa' káxpake tãîx.,contradiction
"Ye' éxn tö irir íyi bua' ése, tã irir ĩã, ye' e'köl èq dör 922 Ex ö tso' ĩa wéx ye' yóqrke e' kéx ã AFFC Fuerza káx shùxã e' ã.",Kèq ye' éxn ã ĩàxnẽ tö irir ye' e'köl èq káx áie e' ã dìwö wa tã.,neutral
"Ye' éxn tö irir íyi bua' ése, tã irir ĩã, ye' e'köl èq dör 922 Ex ö tso' ĩa wéx ye' yóqrke e' kéx ã AFFC Fuerza káx shùxã e' ã.",Ye' i klòqwẽ tö irir ye' e'köl èq shtâwõ káx áie i' ã AFFC Air Force Career.,contradiction
"Ye' éxn tö irir íyi bua' ése, tã irir ĩã, ye' e'köl èq dör 922 Ex ö tso' ĩa wéx ye' yóqrke e' kéx ã AFFC Fuerza káx shùxã e' ã.","Ulìtãnẽ ã i shtâwõ étkèq yêqsyêqs ãmèxnã, kèq dör tö ì yéq irir tö i ãméxrke se' ã e' wà irir, séxjka irir káxche.",neutral
Ye' ã i yéqdak irir tö... e'köl se' dör ye' ichàkèke batà ie tã ãñìx sãwóx ie.,Kèq yì wã ye' ã i yèqnẽ tö yì sãwèxke sö.,contradiction
Ye' ã i yéqdak irir tö... e'köl se' dör ye' ichàkèke batà ie tã ãñìx sãwóx ie.,Ye' ã i yéqdak irir tö e'köl se' dör ichàkèke ye' sãwóx ie.,entailment
Ye' ã i yéqdak irir tö... e'köl se' dör ye' ichàkèke batà ie tã ãñìx sãwóx ie.,Pë' e' dé bërërpa tsáxlĩ.,neutral
"Tãîx íyi tso' e' yéqrmĩ íyi i' kĩ, tö bêqrë tö ye' túxrkeka e' tsáxka.",Ye' éxn ã íyi i' pàkak séxjka be' ã!,neutral
"Tãîx íyi tso' e' yéqrmĩ íyi i' kĩ, tö bêqrë tö ye' túxrkeka e' tsáxka.","Aû kèq íyi i' chèkũ yö, erë tã tãîx i kiànã pàbake.",neutral
"Tãîx íyi tso' e' yéqrmĩ íyi i' kĩ, tö bêqrë tö ye' túxrkeka e' tsáxka.",Aû kèq yö ì chèkũ ciudad káxpake i' kĩ e' wâ dör tö tãîx íyi tso' ĩã yéqnõ.,neutral
"E' dör i bua' ichóqkle, tsáxtkakak sa' éxn ã, tö kèq wèxs i tã bomba hidrógena úxyanũkmĩ dòqka 30, e't C124.",Aû kèq sa' wã ì balèqnẽ yéqs.,neutral
"E' dör i bua' ichóqkle, tsáxtkakak sa' éxn ã, tö kèq wèxs i tã bomba hidrógena úxyanũkmĩ dòqka 30, e't C124.",Sa' kĩ ét íyi kiànã tsáxtke i mãléxpa yòqki bua' ie.,neutral
"E' dör i bua' ichóqkle, tsáxtkakak sa' éxn ã, tö kèq wèxs i tã bomba hidrógena úxyanũkmĩ dòqka 30, e't C124.",Sa' kĩ bomba kiànã tsáxtke H e' wà dör tö darêqrêq i ñâxkè dör.,neutral
E' wa tö kèq ye' éxn ã ĩàxnẽ bua' ie tö ì kũẽkĩ.,Yö i klôwẽ yêqsyêqs tö ì kũẽkĩ irir.,neutral
E' wa tö kèq ye' éxn ã ĩàxnẽ bua' ie tö ì kũẽkĩ.,Aû kèq ye' éxn ã ĩàxnẽ tö ì kũẽkĩ ie' dör escuela méxtsã.,entailment
E' wa tö kèq ye' éxn ã ĩàxnẽ bua' ie tö ì kũẽkĩ.,Aû kèq ye' éxn ã ĩàxnẽ tö ì kũẽkĩ i wamblèqnã.,entailment
"I tso'rö Fannie Floro. I talànã Ag- Augusta, GA, tã i mĩke ujtóqk mĩk ĩàx alátsitsi tã káxpake wéx alê dör.",Fannie Floro káxwöta i ujtè mũkatnẽ tã kèq ie' ã káxpake pàkanũk îxñẽ yéqs.,neutral
"I tso'rö Fannie Floro. I talànã Ag- Augusta, GA, tã i mĩke ujtóqk mĩk ĩàx alátsitsi tã káxpake wéx alê dör.",Fannie Floro tso'rö íxẽ tã ie' káxpake pàkerâ se' ã tö wèxs ie' bak alátsitsi tã i talànẽ Augusta GA ã.,entailment
"I tso'rö Fannie Floro. I talànã Ag- Augusta, GA, tã i mĩke ujtóqk mĩk ĩàx alátsitsi tã káxpake wéx alê dör.",Fannie Floro ujté îxñẽ erë ie' kĩ íyi ujté tso' tãîx súxnõ.,neutral
Tã irir skéxl i wé U2 ése yéulur.,Ye' út U2 tã.,neutral
Tã irir skéxl i wé U2 ése yéulur.,Aû kèq ye' wòqtkèqnẽ U2 tã yéqska.,neutral
Tã irir skéxl i wé U2 ése yéulur.,I wé tã ye' kãnèxblë' U2 e' ã kéxkkrâë dòqka dawás dabòp tkéql.,entailment
Ye' dör e'köl èq e' dör tö mĩk alê tã i mâxwõ kũẽkĩ ri wòqóqknãmẽpa klòqwèxkewã cámara tsîr ése wa káxjkêx tã.,Aû kèq ye' kĩ i ãmèxnẽ tö ye' e'köl èq dör i wòqóqknãmẽpa klòqwẽkewã i mâxwẽ kũẽkĩ.,neutral
Ye' dör e'köl èq e' dör tö mĩk alê tã i mâxwõ kũẽkĩ ri wòqóqknãmẽpa klòqwèxkewã cámara tsîr ése wa káxjkêx tã.,I mâxwõ yòqnã cámara tsîr káxjkêx ése kĩ.,entailment
Ye' dör e'köl èq e' dör tö mĩk alê tã i mâxwõ kũẽkĩ ri wòqóqknãmẽpa klòqwèxkewã cámara tsîr ése wa káxjkêx tã.,Se' tso' íse alê e' dör i wòqóqknãmẽpa e' wóqstsẽ i mâxwõ.,contradiction
"Yö, i', sargento i wóqkir i yawóqkbla, jubilado, wèxs Rick dör i yéq e's.",I' tã ye' tso' ĩã kãnèxbalök káxwö i' ã.,neutral
"Yö, i', sargento i wóqkir i yawóqkbla, jubilado, wèxs Rick dör i yéq e's.",Ye' ẽ' yéqtsã 2002.,neutral
"Yö, i', sargento i wóqkir i yawóqkbla, jubilado, wèxs Rick dör i yéq e's.",Rick dör be' ã iche tö ye' yèqnẽtsa bak.,neutral
"I ujté tso' wèxs alê, caja flujo wa tã, e' dör ñẽ' ët e'köl ët Cutty, cliente ajkà kĩ.",Cliente kie Cutty e' ẽ' alòqke $10000 si' wa.,neutral
"I ujté tso' wèxs alê, caja flujo wa tã, e' dör ñẽ' ët e'köl ët Cutty, cliente ajkà kĩ.",Cliente tso' e'köl kie Cutty.,entailment
"I ujté tso' wèxs alê, caja flujo wa tã, e' dör ñẽ' ët e'köl ët Cutty, cliente ajkà kĩ.",Aû kèq sa' wã cliente tso' kie Cutty.,neutral
Bùsi wéx dör ye' kíxmèxmĩ e' tso'rö ciudad batà ã.,Bùsi wéx kiànã ye' kĩ ẽ' kĩmõ e' séxrke káxmîxë.,entailment
Bùsi wéx dör ye' kíxmèxmĩ e' tso'rö ciudad batà ã.,Tàyëla wéx dör ye' kĩmèxke e' tso' 5 millas i ulát wa.,neutral
Bùsi wéx dör ye' kíxmèxmĩ e' tso'rö ciudad batà ã.,Aû kèq yì kũ ã ye' kíxméxrmĩ.,neutral
"Erë tã ie'pa tso' balàtërule tö wéxëltë dör káx áie uléi tã yì dör ù ã alátsitsipa, irir íyi wèxs...",Sulìtãnẽ dör iche bua' irir tö séxjka se' kãnèxblö káx áie ã.,contradiction
"Erë tã ie'pa tso' balàtërule tö wéxëltë dör káx áie uléi tã yì dör ù ã alátsitsipa, irir íyi wèxs...",Aû kèq ie'pa dòqka ujtè wa ãñíxjkêqë tö yì éqltë ulà dör káx áie tã íxsie éqt dör ù icha.,neutral
