language_name,language_code,script,hrl/lrl,Joshi_class,Joshi_class_modfied,data_size_in_XLMR (GiB),coverage_in_XLM-R,coverage_in_GLOT,language_family,region,region_normalized,MLP (word-tokens),MLP (XLMR tokens),diff MLP,diff MLP-xlmr,xlmrbase,glot,xlmr,xlmr_zero_eng,xlmr_zero_fra,xlmr_zero_ara,xlmr_zero_zho,gpt-3.5,gpt-4,gpt-4o,gpt-4-low-scores,xlmr-zero-eng-low-scores,
Acehnese (Arabic script),ace_Arab,Arab,lrl,1,1,,,,Austronesian,Asia 3,Asia,60.77,56.58,-4.19,-8.58,35.7,27.2,48,34,32,32.5,33.2,9.1,14.2,75.5,TRUE,TRUE,
Acehnese (Latin script),ace_Latn,Latn,lrl,1,1,,,X,Austronesian,Asia 3,Asia,64.35,66.06,1.71,14.14,74,66.1,80.2,64.7,68.1,67.4,67.4,31.4,22.1,80.9,TRUE,TRUE,hrl= over 1M parallel sentences
Mesopotamian Arabic,acm_Arab,Arab,lrl,,2,,,X,Afro-Asiatic,Asia 1,Asia,68.16,63.82,-4.34,25.68,86.9,75,89.5,88.1,88.6,88.8,89.7,62.6,80.6,88.2,FALSE,FALSE,lrl = 100k-1M parallel sentences
Ta’izzi-Adeni Arabic,acq_Arab,Arab,lrl,,1,,,,Afro-Asiatic,Asia 1,Asia,65.97,61.14,-4.83,26.76,87.5,75.6,87.9,88.8,89.4,89.4,89.1,63,76,90.2,FALSE,FALSE,vlrl = less than 100k parallel sentences
Tunisian Arabic,aeb_Arab,Arab,lrl,,1,,,,Afro-Asiatic,Africa,Africa,66.85,58.01,-8.84,28.49,83.9,70.8,86.5,84.6,86.5,85.7,85.3,54.2,73.9,85.3,FALSE,FALSE,
Afrikaans,afr_Latn,Latn,hrl,3,3,1.3,X,X,Indo-European,Africa,Africa,57.55,63.56,6.01,26.24,87.8,68.1,89.8,88.7,89.1,88.6,89.8,63.6,68.6,87.7,TRUE,FALSE,"script: Latin, Arabic, Ethio, "
South Levantine Arabic,ajp_Arab,Arab,lrl,,1,,,X,Afro-Asiatic,Asia 1,Asia,60.28,63.28,3,23.02,83.1,74,86.3,86.2,86.4,87.1,87.1,63,75.4,86.3,FALSE,FALSE,
Akan,aka_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,61.33,58.21,-3.12,1.49,53.7,58.3,59.7,44.8,45.2,42.6,45,31.1,35,78.4,TRUE,TRUE,"region: European, Africa, Asia, Middle East, Americas"
Tosk Albanian,als_Latn,Latn,hrl,1,1,5.4,X,X,Indo-European,Europe 1,Europe,63.6,66.65,3.05,22.85,87.7,77.7,89.5,89.8,89.8,90.5,90.5,66.5,71.4,88.2,FALSE,FALSE,
Amharic,amh_Ethi,Ethi,lrl,2,2,0.8,X,X,Afro-Asiatic,Africa,Africa,66.87,51.56,-15.31,32.64,80.1,66.9,84.2,84.1,85,85.7,83.1,23.4,58.8,85.8,TRUE,FALSE,compare different MM PLMs vs Regional specific LLMs
