language_name,language_code,language_family,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-4o (mar 2025),Flores xx-eng gpt-4o (mar 2025),Flores eng-xx gpt-4o (mar 2025)
Acehnese (Arabic script),ace_Arab,Austronesian,9.1,14.2,60.3,34.3,13.7
Acehnese (Latin script),ace_Latn,Austronesian,31.4,22.1,68.6,43.7,28.8
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,62.6,80.6,88.7,59.4,46.6
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,63,76,81.4,60.8,48.8
Tunisian Arabic,aeb_Arab,Afro-Asiatic,54.2,73.9,82.4,57,42.1
Afrikaans,afr_Latn,Indo-European,63.6,68.6,80.9,76.9,67.3
South Levantine Arabic,ajp_Arab,Afro-Asiatic,63,75.4,81.9,64.8,48.5
Akan,aka_Latn,Atlantic-Congo,31.1,35,68.1,38.4,26.9
Amharic,amh_Ethi,Afro-Asiatic,23.4,58.8,80.4,52.9,22.4
North Levantine Arabic,apc_Arab,Afro-Asiatic,59.9,76,82.8,62.4,46.9
Modern Standard Arabic,arb_Arab,Afro-Asiatic,68.4,77.6,84.3,64.3,55.6
Modern Standard Arabic (Romanized),arb_Latn,Afro-Asiatic,44.7,61.5,78.9,57,29.9
Najdi Arabic,ars_Arab,Afro-Asiatic,67,75.9,83.8,62.9,49.4
Moroccan Arabic,ary_Arab,Afro-Asiatic,47.3,73.3,77,56,37.7
Egyptian Arabic,arz_Arab,Afro-Asiatic,58,81.1,82.4,57,45.4
Assamese,asm_Beng,Indo-European,51.8,49.2,77.9,54.9,33.5
Asturian,ast_Latn,Indo-European,58.5,70.6,76.5,65,54.7
Awadhi,awa_Deva,Indo-European,59.7,70.6,78.4,59.7,33.9
Central Aymara,ayr_Latn,Aymaran,15.9,6.6,51.5,29.8,24.1
South Azerbaijani,azb_Arab,Turkic,32.9,40.6,73,46.3,14.7
North Azerbaijani,azj_Latn,Turkic,57.2,64.8,80.4,50.1,45.1
Bashkir,bak_Cyrl,Turkic,45,55.6,79.4,56,45.8
Bambara,bam_Latn,Mande,23.6,17.2,47.5,27.3,18.9
Balinese,ban_Latn,Austronesian,51.7,47.4,71.1,54.4,35.2
Belarusian,bel_Cyrl,Indo-European,54.3,74.2,80.9,48.8,44.7
Bemba,bem_Latn,Atlantic-Congo,21.8,25.6,61.3,38.8,27.8
Bengali,ben_Beng,Indo-European,59.6,74.4,81.9,59.9,46.3
Bhojpuri,bho_Deva,Indo-European,49.4,67.4,77,53.4,35.2
Banjar (Arabic script),bjn_Arab,Austronesian,12.1,20.5,64.2,42.1,15.4
Banjar (Latin script),bjn_Latn,Austronesian,34.2,44.1,73.5,56.3,37.9
Standard Tibetan,bod_Tibt,Sino-Tibetan,5.8,13.6,71.6,30,18.5
Bosnian,bos_Latn,Indo-European,65.7,76.6,79.4,66.5,61.3
Buginese,bug_Latn,Austronesian,26.9,15.2,64.2,36.7,23.8
Bulgarian,bul_Cyrl,Indo-European,66.5,79.4,81.4,66,65.2
Catalan,cat_Latn,Indo-European,55.4,77.7,86.8,68.9,66.7
Cebuano,ceb_Latn,Austronesian,62.3,73.4,81.4,66.9,58.1
Czech,ces_Latn,Indo-European,62.4,70.9,86.8,64.7,59.4
Chokwe,cjk_Latn,Atlantic-Congo,14.3,8.2,43.1,25.3,18.9
Central Kurdish,ckb_Arab,Indo-European,45.6,45.6,75.5,50.6,29.6
Crimean Tatar,crh_Latn,Turkic,34.5,50.2,74,54,31.5
Welsh,cym_Latn,Indo-European,59.4,70.7,80.4,76.6,70.2
Danish,dan_Latn,Indo-European,69.6,76.3,79.9,70.2,70.5
German,deu_Latn,Indo-European,70.7,78.6,81.4,67.1,66
Southwestern Dinka,dik_Latn,Nilotic,24,14.9,46.6,25.4,14.9
Dyula,dyu_Latn,Mande,12.3,9.3,46.1,24.4,16.4
Dzongkha,dzo_Tibt,Sino-Tibetan,0,1.2,64.2,25.6,17.2
Greek,ell_Grek,Indo-European,65,78.3,85.8,60.1,54.7
English,eng_Latn,Indo-European,71.8,76.6,84.8,,
Esperanto,epo_Latn,Constructed,58.7,70.3,83.8,67.6,60.5
Estonian,est_Latn,Uralic,61.9,74.4,79.9,64.1,58.6
Basque,eus_Latn,Basque,55.3,53.1,78.9,58.1,51.6
Ewe,ewe_Latn,Atlantic-Congo,20.4,12.2,46.6,26.5,20.2
Faroese,fao_Latn,Indo-European,49.5,54.2,79.4,62.4,49.1
Fijian,fij_Latn,Austronesian,40.1,39.1,67.6,42.2,41
Finnish,fin_Latn,Uralic,65,74.9,80.4,60.5,58.4
Fon,fon_Latn,Atlantic-Congo,13.8,10.8,37.3,21.5,13.2
French,fra_Latn,Indo-European,73.2,77.5,80.4,67.6,71.6
Friulian,fur_Latn,Indo-European,41.8,40.2,70.6,63,44.2
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,15.5,13.4,51.5,27.2,17.1
Scottish Gaelic,gla_Latn,Indo-European,49.7,61.5,82.8,59.7,49.6
Irish,gle_Latn,Indo-European,52.3,71.4,82.4,64.7,57.2
Galician,glg_Latn,Indo-European,59.5,76.5,81.4,64.9,62.8
Guarani,grn_Latn,Tupian,32.3,28.2,70.1,46.4,27.8
Gujarati,guj_Gujr,Indo-European,65,69.2,80.9,63.4,41.6
Haitian Creole,hat_Latn,Indo-European,52.2,67.2,82.4,63.8,53.5
Hausa,hau_Latn,Afro-Asiatic,38.2,45.1,77.9,55.4,48.5
Hebrew,heb_Hebr,Afro-Asiatic,60.5,73.3,85.8,66.7,59.6
Hindi,hin_Deva,Indo-European,63.1,79.3,77.9,64.1,53.6
Chhattisgarhi,hne_Deva,Indo-European,52.7,63.6,77,63.5,33.1
Croatian,hrv_Latn,Indo-European,66.6,77.7,84.3,63.7,58.8
Hungarian,hun_Latn,Uralic,60.3,75,84.8,61.3,56.4
Armenian,hye_Armn,Indo-European,40.1,70,82.4,63.7,53
Igbo,ibo_Latn,Atlantic-Congo,31.3,38.4,75.5,50.4,38.5
Ilocano,ilo_Latn,Austronesian,59.6,58.9,78.9,55.8,42.5
Indonesian,ind_Latn,Austronesian,67.3,75.1,81.9,67.7,69.7
Icelandic,isl_Latn,Indo-European,62.5,72.1,83.8,60.3,52.9
Italian,ita_Latn,Indo-European,62.8,81,84.8,58.4,60
Javanese,jav_Latn,Austronesian,43,50.3,77,63.6,53.4
Japanese,jpn_Jpan,Japonic,63.4,75.8,81.4,54.1,34
