language_family,count,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-4o (mar 2025),Flores xx-eng gpt-4o (mar 2025),Flores eng-xx gpt-4o (mar 2025)
Indo-European,79,55.3,66.6,80.0,62.3,48.8
Atlantic-Congo,35,28.5,28.5,61.7,41.1,31.2
Afro-Asiatic,21,43.5,54.5,70.6,51.3,37.3
Austronesian,21,44.1,47.1,74.5,54.1,42.0
Turkic,11,50.1,59.1,78.8,55.5,43.0
Sino-Tibetan,9,30.7,40.6,70.0,40.3,23.3
Nilotic,5,16.1,10.1,44.7,25.4,16.5
Dravidian,4,57.2,69.6,82.4,59.2,41.0
Tai-Kadai,3,35.6,44.7,71.5,44.9,33.6
Uralic,3,62.4,74.8,81.7,62.0,57.8
Austroasiatic,3,34.8,48.7,62.9,44.4,31.6
Mande,2,18.0,13.2,46.8,25.8,17.6
Japonic,1,63.4,75.8,81.4,54.1,34.0
Koreanic,1,67.8,78.2,81.4,57.2,37.1
Mongolic-Khitan,1,57.7,67.6,81.4,56.8,46.0
Constructed,1,58.7,70.3,83.8,67.6,60.5
Quechuan,1,36.2,18.5,60.3,30.6,25.7
Basque,1,55.3,53.1,78.9,58.1,51.6
Aymaran,1,15.9,6.6,51.5,29.8,24.1
Tupian,1,32.3,28.2,70.1,46.4,27.8
Kartvelian,1,44.7,66.1,80.9,55.7,48.2
