language_family,count,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-3.5-turbo-1106 (Apr 2025),SIB gpt-4o (Apr 2025),Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025)
Indo-European,79,55.3,66.6,78.0,86.9,62.6,48.9
Atlantic-Congo,35,28.5,28.5,50.6,72.2,41.4,31.9
Afro-Asiatic,21,43.5,54.5,62.2,76.9,51.6,37.4
Austronesian,21,44.1,47.1,67.1,83.7,54.3,42.1
Turkic,11,50.1,59.1,70.5,86.4,55.7,42.4
Sino-Tibetan,9,30.7,40.6,51.4,77.8,40.9,24.0
Nilotic,5,16.1,10.1,32.2,50.3,25.7,17.2
Dravidian,4,57.2,69.6,75.8,86.4,59.6,38.8
Tai-Kadai,3,35.6,44.7,53.0,71.6,45.9,33.6
Uralic,3,62.4,74.8,85.0,88.1,62.0,57.9
Austroasiatic,3,34.8,48.7,49.8,64.9,44.6,30.5
Mande,2,18.0,13.2,44.2,57.4,26.0,17.8
Japonic,1,63.4,75.8,83.3,88.7,54.6,35.5
Koreanic,1,67.8,78.2,82.8,84.3,57.5,37.4
Mongolic-Khitan,1,57.7,67.6,66.2,83.8,57.3,46.7
Constructed,1,58.7,70.3,83.3,88.2,67.7,60.8
Quechuan,1,36.2,18.5,40.7,61.8,31.3,26.3
Basque,1,55.3,53.1,77.5,88.7,58.4,52.0
Aymaran,1,15.9,6.6,36.3,64.7,30.4,23.8
Tupian,1,32.3,28.2,62.7,80.9,46.0,28.1
Kartvelian,1,44.7,66.1,66.7,86.3,56.1,48.4
