language_name,language_code,language_family,SIB GPT-3.5-Turbo,Flores xx-eng GPT-3.5-Turbo,Flores eng-xx GPT-3.5-Turbo
Acehnese (Arabic script),ace_Arab,Austronesian,41.2,21.3,8.4
Acehnese (Latin script),ace_Latn,Austronesian,69.6,34.2,19.8
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,83.8,55.9,44.7
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,84.8,57.5,47.5
Tunisian Arabic,aeb_Arab,Afro-Asiatic,82.8,52.5,41.0
Afrikaans,afr_Latn,Indo-European,83.8,74.7,67.0
South Levantine Arabic,ajp_Arab,Afro-Asiatic,78.9,60.6,47.1
Akan,aka_Latn,Atlantic-Congo,51.5,29.0,13.3
Tosk Albanian,als_Latn,Indo-European,77.9,60.9,56.0
Amharic,amh_Ethi,Afro-Asiatic,37.3,21.5,10.0
North Levantine Arabic,apc_Arab,Afro-Asiatic,83.8,58.2,45.5
Modern Standard Arabic,arb_Arab,Afro-Asiatic,85.3,60.5,53.8
Modern Standard Arabic (Romanized),arb_Latn,Afro-Asiatic,66.2,39.1,20.3
Najdi Arabic,ars_Arab,Afro-Asiatic,85.8,59.3,52.4
Moroccan Arabic,ary_Arab,Afro-Asiatic,84.8,49.9,36.3
Egyptian Arabic,arz_Arab,Afro-Asiatic,80.4,53.5,42.3
Assamese,asm_Beng,Indo-European,71.6,38.8,23.2
Asturian,ast_Latn,Indo-European,86.8,63.4,53.8
Awadhi,awa_Deva,Indo-European,76.5,49.6,35.4
Central Aymara,ayr_Latn,Aymaran,36.3,23.2,4.7
South Azerbaijani,azb_Arab,Turkic,69.6,34.1,17.9
North Azerbaijani,azj_Latn,Turkic,79.4,46.2,38.4
Bashkir,bak_Cyrl,Turkic,67.2,33.6,20.1
Bambara,bam_Latn,Mande,42.2,23.9,6.1
Balinese,ban_Latn,Austronesian,73.5,45.5,30.7
Belarusian,bel_Cyrl,Indo-European,77.9,45.6,38.3
Bemba,bem_Latn,Atlantic-Congo,49.5,28.8,10.3
Bengali,ben_Beng,Indo-European,77.9,50.2,38.5
Bhojpuri,bho_Deva,Indo-European,73.0,43.4,29.7
Banjar (Arabic script),bjn_Arab,Austronesian,42.2,20.7,10.4
Banjar (Latin script),bjn_Latn,Austronesian,73.5,47.1,35.9
Standard Tibetan,bod_Tibt,Sino-Tibetan,18.6,16.9,12.7
Bosnian,bos_Latn,Indo-European,83.3,64.8,59.9
Buginese,bug_Latn,Austronesian,61.3,30.8,23.3
Bulgarian,bul_Cyrl,Indo-European,81.9,63.3,61.6
Catalan,cat_Latn,Indo-European,87.3,67.0,65.4
Cebuano,ceb_Latn,Austronesian,77.5,59.1,51.0
Czech,ces_Latn,Indo-European,83.8,63.2,57.6
Chokwe,cjk_Latn,Atlantic-Congo,33.8,24.4,4.4
Central Kurdish,ckb_Arab,Indo-European,65.7,30.7,19.7
Crimean Tatar,crh_Latn,Turkic,61.8,45.9,27.8
Welsh,cym_Latn,Indo-European,76.5,68.7,64.7
Danish,dan_Latn,Indo-European,84.8,69.5,69.7
German,deu_Latn,Indo-European,83.3,66.1,65.4
Southwestern Dinka,dik_Latn,Nilotic,34.3,24.6,4.6
Dyula,dyu_Latn,Mande,46.1,22.1,4.5
Dzongkha,dzo_Tibt,Sino-Tibetan,15.7,16.6,7.7
Greek,ell_Grek,Indo-European,82.8,57.6,51.6
English,eng_Latn,Indo-European,83.8,,
Esperanto,epo_Latn,Constructed,83.3,64.4,58.5
Estonian,est_Latn,Uralic,84.3,61.5,56.8
Basque,eus_Latn,Basque,77.5,50.2,44.2
Ewe,ewe_Latn,Atlantic-Congo,39.7,23.3,6.0
Faroese,fao_Latn,Indo-European,80.9,54.8,40.5
Fijian,fij_Latn,Austronesian,54.4,31.7,22.9
Finnish,fin_Latn,Uralic,85.3,58.8,56.2
Fon,fon_Latn,Atlantic-Congo,30.4,21.5,3.9
French,fra_Latn,Indo-European,86.3,66.2,71.1
Friulian,fur_Latn,Indo-European,77.9,57.5,40.6
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,41.7,23.7,8.5
West Central Oromo,gaz_Latn,Afro-Asiatic,40.2,22.0,8.0
Scottish Gaelic,gla_Latn,Indo-European,70.1,47.5,38.9
Irish,gle_Latn,Indo-European,75.0,55.4,47.1
Galician,glg_Latn,Indo-European,86.3,63.4,61.3
Guarani,grn_Latn,Tupian,62.7,30.6,6.3
Gujarati,guj_Gujr,Indo-European,75.5,49.5,37.4
Haitian Creole,hat_Latn,Indo-European,78.4,55.7,47.0
Hausa,hau_Latn,Afro-Asiatic,60.3,34.6,22.2
Hebrew,heb_Hebr,Afro-Asiatic,80.4,60.4,51.2
Hindi,hin_Deva,Indo-European,80.9,57.5,48.7
Chhattisgarhi,hne_Deva,Indo-European,76.0,48.4,34.0
Croatian,hrv_Latn,Indo-European,86.8,61.5,57.0
Hungarian,hun_Latn,Uralic,85.3,59.3,54.6
Armenian,hye_Armn,Indo-European,66.2,40.5,33.2
Igbo,ibo_Latn,Atlantic-Congo,54.9,27.8,14.7
Ilocano,ilo_Latn,Austronesian,73.0,44.6,33.6
Indonesian,ind_Latn,Austronesian,82.4,65.4,68.5
Icelandic,isl_Latn,Indo-European,78.4,55.6,44.8
Italian,ita_Latn,Indo-European,84.3,58.0,59.4
Javanese,jav_Latn,Austronesian,75.5,51.3,41.2
Japanese,jpn_Jpan,Japonic,83.3,52.5,33.1
Kabyle,kab_Latn,Afro-Asiatic,20.1,22.2,11.9
Jingpho,kac_Latn,Sino-Tibetan,34.3,22.7,2.9
Kamba,kam_Latn,Atlantic-Congo,45.1,26.8,8.9
Kannada,kan_Knda,Dravidian,76.5,47.0,37.9
Kashmiri (Arabic script),kas_Arab,Indo-European,66.2,32.7,15.5
Kashmiri (Devanagari script),kas_Deva,Indo-European,59.8,30.9,12.9
Georgian,kat_Geor,Kartvelian,66.7,39.1,32.5
Kazakh,kaz_Cyrl,Turkic,72.5,42.6,33.9
Kabiyè,kbp_Latn,Atlantic-Congo,33.8,21.4,4.0
Kabuverdianu,kea_Latn,Indo-European,78.4,62.9,37.6
Halh Mongolian,khk_Cyrl,Mongolic-Khitan,66.2,33.8,26.1
Khmer,khm_Khmr,Austroasiatic,59.3,30.6,21.5
Kikuyu,kik_Latn,Atlantic-Congo,49.0,26.6,8.8
Kinyarwanda,kin_Latn,Atlantic-Congo,65.2,36.8,18.7
Kyrgyz,kir_Cyrl,Turkic,68.1,34.6,25.8
Kimbundu,kmb_Latn,Atlantic-Congo,37.7,24.3,4.9
Northern Kurdish,kmr_Latn,Indo-European,60.8,40.9,25.3
Central Kanuri (Arabic script),knc_Arab,Nilotic,20.6,18.1,5.3
Central Kanuri (Latin script),knc_Latn,Nilotic,38.2,24.5,13.4
Kikongo,kon_Latn,Atlantic-Congo,57.4,26.3,8.5
Korean,kor_Hang,Koreanic,82.8,53.7,34.4
