language_name,language_code,language_family,SIB gpt-4o (Apr 2025),Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025)
Acehnese (Arabic script),ace_Arab,Austronesian,75.5,34.5,12.4
Acehnese (Latin script),ace_Latn,Austronesian,80.9,44.3,29.0
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,88.2,59.4,45.2
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,90.2,61.2,48.7
Tunisian Arabic,aeb_Arab,Afro-Asiatic,85.3,57.5,41.7
Afrikaans,afr_Latn,Indo-European,87.7,77.0,67.6
South Levantine Arabic,ajp_Arab,Afro-Asiatic,86.3,65.3,48.8
Akan,aka_Latn,Atlantic-Congo,78.4,39.0,27.9
Tosk Albanian,als_Latn,Indo-European,88.2,64.6,60.3
Amharic,amh_Ethi,Afro-Asiatic,85.8,53.6,23.8
North Levantine Arabic,apc_Arab,Afro-Asiatic,88.7,62.7,47.8
Modern Standard Arabic,arb_Arab,Afro-Asiatic,87.7,64.2,55.9
Modern Standard Arabic (Romanized),arb_Latn,Afro-Asiatic,87.7,57.8,29.7
Najdi Arabic,ars_Arab,Afro-Asiatic,88.7,63.1,47.5
Moroccan Arabic,ary_Arab,Afro-Asiatic,88.2,56.3,37.7
Egyptian Arabic,arz_Arab,Afro-Asiatic,85.8,57.2,45.9
Assamese,asm_Beng,Indo-European,87.3,55.1,34.3
Asturian,ast_Latn,Indo-European,87.3,65.2,54.9
Awadhi,awa_Deva,Indo-European,84.3,60.1,33.1
Central Aymara,ayr_Latn,Aymaran,64.7,30.4,23.8
South Azerbaijani,azb_Arab,Turkic,84.3,46.5,5.4
North Azerbaijani,azj_Latn,Turkic,88.7,50.6,44.6
Bashkir,bak_Cyrl,Turkic,86.8,56.3,46.4
Bambara,bam_Latn,Mande,58.3,27.2,19.1
Balinese,ban_Latn,Austronesian,85.3,54.8,35.8
Belarusian,bel_Cyrl,Indo-European,90.7,49.1,45.2
Bemba,bem_Latn,Atlantic-Congo,77.0,38.8,28.6
Bengali,ben_Beng,Indo-European,86.3,60.2,46.5
Bhojpuri,bho_Deva,Indo-European,84.8,53.5,33.0
Banjar (Arabic script),bjn_Arab,Austronesian,74.5,42.7,13.6
Banjar (Latin script),bjn_Latn,Austronesian,85.8,56.9,38.0
Standard Tibetan,bod_Tibt,Sino-Tibetan,75.0,30.9,18.2
Bosnian,bos_Latn,Indo-European,87.7,66.7,61.8
Buginese,bug_Latn,Austronesian,75.0,36.5,23.8
Bulgarian,bul_Cyrl,Indo-European,88.7,66.3,65.6
Catalan,cat_Latn,Indo-European,89.2,69.0,67.0
Cebuano,ceb_Latn,Austronesian,89.7,66.7,58.1
Czech,ces_Latn,Indo-European,88.2,65.2,59.4
Chokwe,cjk_Latn,Atlantic-Congo,52.5,25.7,19.4
Central Kurdish,ckb_Arab,Indo-European,84.8,51.3,28.8
Crimean Tatar,crh_Latn,Turkic,82.4,54.5,32.3
Welsh,cym_Latn,Indo-European,87.7,76.5,70.0
Danish,dan_Latn,Indo-European,86.8,70.3,70.6
German,deu_Latn,Indo-European,88.7,67.5,66.0
Southwestern Dinka,dik_Latn,Nilotic,45.1,25.8,16.0
Dyula,dyu_Latn,Mande,56.4,24.9,16.5
Dzongkha,dzo_Tibt,Sino-Tibetan,72.5,26.8,17.8
Greek,ell_Grek,Indo-European,89.2,60.3,54.7
English,eng_Latn,Indo-European,88.2,,
Esperanto,epo_Latn,Constructed,88.2,67.7,60.8
Estonian,est_Latn,Uralic,87.3,63.7,58.3
Basque,eus_Latn,Basque,88.7,58.4,52.0
Ewe,ewe_Latn,Atlantic-Congo,53.4,27.1,20.7
Faroese,fao_Latn,Indo-European,87.3,62.6,49.5
Fijian,fij_Latn,Austronesian,82.8,42.5,41.7
Finnish,fin_Latn,Uralic,87.7,60.7,58.4
Fon,fon_Latn,Atlantic-Congo,45.6,21.7,13.7
French,fra_Latn,Indo-European,86.8,67.7,71.5
Friulian,fur_Latn,Indo-European,87.3,62.9,44.4
Nigerian Fulfulde,fuv_Latn,Atlantic-Congo,65.7,27.7,17.6
West Central Oromo,gaz_Latn,Afro-Asiatic,85.8,46.9,32.1
Scottish Gaelic,gla_Latn,Indo-European,88.7,60.0,50.1
Irish,gle_Latn,Indo-European,87.7,64.8,57.0
Galician,glg_Latn,Indo-European,89.2,65.1,62.7
Guarani,grn_Latn,Tupian,80.9,46.0,28.1
Gujarati,guj_Gujr,Indo-European,85.8,63.5,39.3
Haitian Creole,hat_Latn,Indo-European,87.3,64.0,53.4
Hausa,hau_Latn,Afro-Asiatic,82.8,56.0,49.0
