language_name,language_code,language_family,Accuracy gpt-4o,Accuracy gemini2-Flash,Accuracy Gemma3-27B,region
Acehnese (Arabic script),ace_Arab,Austronesian,99.5,98.5,97.8,Asia 3
Acehnese (Latin script),ace_Latn,Austronesian,93.6,99.6,96.9,Asia 3
Mesopotamian Arabic,acm_Arab,Afro-Asiatic,100.0,100.0,99.8,Asia 1
Ta’izzi-Adeni Arabic,acq_Arab,Afro-Asiatic,100.0,99.9,99.8,Asia 1
Tunisian Arabic,aeb_Arab,Afro-Asiatic,100.0,99.9,99.9,Africa
Afrikaans,afr_Latn,Indo-European,100.0,99.9,99.7,Africa
South Levantine Arabic,ajp_Arab,Afro-Asiatic,100.0,100.0,99.9,Asia 1
Akan,aka_Latn,Atlantic-Congo,46.8,53.0,33.4,Africa
Tosk Albanian,als_Latn,Indo-European,100.0,100.0,100.0,Europe 1
Amharic,amh_Ethi,Afro-Asiatic,100.0,100.0,99.8,Africa
North Levantine Arabic,apc_Arab,Afro-Asiatic,100.0,99.9,99.9,Asia 1
Modern Standard Arabic,arb_Arab,Afro-Asiatic,100.0,100.0,99.8,Asia 1
Modern Standard Arabic (Romanized),arb_Latn,Afro-Asiatic,100.0,99.8,99.9,Asia 1
Najdi Arabic,ars_Arab,Afro-Asiatic,100.0,100.0,99.8,Asia 1
Moroccan Arabic,ary_Arab,Afro-Asiatic,100.0,98.7,98.7,Africa
Egyptian Arabic,arz_Arab,Afro-Asiatic,100.0,100.0,99.9,Africa
Assamese,asm_Beng,Indo-European,98.5,100.0,99.8,Asia 2
Asturian,ast_Latn,Indo-European,97.3,90.6,62.3,Europe 1
Awadhi,awa_Deva,Indo-European,4.9,32.7,0.3,Asia 2
Central Aymara,ayr_Latn,Aymaran,99.7,99.7,12.8,Americas/Oceania
South Azerbaijani,azb_Arab,Turkic,91.4,91.4,92.0,Asia 1
North Azerbaijani,azj_Latn,Turkic,100.0,99.9,99.4,Asia 1
Bashkir,bak_Cyrl,Turkic,88.1,98.6,98.7,Europe 2
Bambara,bam_Latn,Mande,89.0,91.9,87.9,Africa
Balinese,ban_Latn,Austronesian,86.6,91.4,86.7,Asia 3
Belarusian,bel_Cyrl,Indo-European,92.8,99.9,100.0,Europe 2
Bemba,bem_Latn,Atlantic-Congo,93.9,98.7,82.3,Africa
Bengali,ben_Beng,Indo-European,99.9,100.0,100.0,Asia 2
Bhojpuri,bho_Deva,Indo-European,84.3,92.8,42.3,Asia 2
Banjar (Arabic script),bjn_Arab,Austronesian,0.0,0.0,0.0,Asia 3
Banjar (Latin script),bjn_Latn,Austronesian,54.4,72.9,29.8,Asia 3
Standard Tibetan,bod_Tibt,Sino-Tibetan,100.0,99.9,99.9,Asia 3
Bosnian,bos_Latn,Indo-European,100.0,100.0,99.8,Europe 1
Buginese,bug_Latn,Austronesian,3.7,82.8,79.7,Asia 3
Bulgarian,bul_Cyrl,Indo-European,100.0,100.0,99.8,Europe 2
Catalan,cat_Latn,Indo-European,100.0,99.7,99.8,Europe 1
Cebuano,ceb_Latn,Austronesian,99.9,99.6,99.1,Asia 3
Czech,ces_Latn,Indo-European,99.8,99.9,100.0,Europe 2
Chokwe,cjk_Latn,Atlantic-Congo,8.6,4.2,1.0,Africa
Central Kurdish,ckb_Arab,Indo-European,100.0,99.4,100.0,Asia 1
Crimean Tatar,crh_Latn,Turkic,76.1,88.7,27.4,Europe 2
Welsh,cym_Latn,Indo-European,100.0,100.0,100.0,Europe 1
Danish,dan_Latn,Indo-European,99.7,98.7,99.2,Europe 1
German,deu_Latn,Indo-European,97.5,100.0,100.0,Europe 1
Southwestern Dinka,dik_Latn,Nilotic,82.2,98.9,93.7,Africa
Dyula,dyu_Latn,Mande,0.0,0.5,0.0,Africa
Dzongkha,dzo_Tibt,Sino-Tibetan,0.2,77.9,6.0,Asia 2
Greek,ell_Grek,Indo-European,100.0,100.0,100.0,Europe 1
English,eng_Latn,Indo-European,99.9,99.2,98.1,Europe 1
Esperanto,epo_Latn,Constructed,100.0,100.0,100.0,Europe 2
Estonian,est_Latn,Uralic,100.0,100.0,99.9,Europe 1
Basque,eus_Latn,Basque,99.9,99.9,99.8,Europe 1
Ewe,ewe_Latn,Atlantic-Congo,100.0,100.0,99.6,Africa
Faroese,fao_Latn,Indo-European,98.6,97.3,91.2,Europe 1
Fijian,fij_Latn,Austronesian,100.0,99.8,99.5,Americas/Oceania
Finnish,fin_Latn,Uralic,100.0,100.0,100.0,Europe 1
Fon,fon_Latn,Atlantic-Congo,2.6,68.6,11.9,Africa
